8386-T,東証1部,百十四,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,438,438,427,436,228000,99002000
2015-10-01,432,440,425,437,237000,102934000
2015-09-30,424,433,424,430,262000,112586000
2015-09-29,421,423,414,420,409000,171189000
2015-09-28,424,431,421,427,383000,163200000
2015-09-25,416,433,416,432,590000,250039000
2015-09-24,413,426,413,415,348000,145000000
2015-09-18,427,427,418,420,373000,157060000
2015-09-17,433,433,424,430,248000,106315000
2015-09-16,433,433,425,433,170000,73092000
2015-09-15,426,434,426,429,255000,109514000
2015-09-14,427,429,420,424,369000,156789000
2015-09-11,406,428,406,426,713000,295960000
2015-09-10,412,418,407,414,234000,96445000
2015-09-09,418,425,414,424,277000,116225000
2015-09-08,405,412,404,405,375000,152588000
2015-09-07,399,410,392,407,389000,156471000
2015-09-04,405,408,393,399,465000,186106000
2015-09-03,410,414,398,400,431000,173841000
2015-09-02,403,418,400,407,398000,162565000
2015-09-01,416,424,410,410,393000,163309000
2015-08-31,421,423,409,421,637000,266160000
2015-08-28,415,426,412,423,543000,228550000
2015-08-27,408,415,400,403,605000,245602000
2015-08-26,389,402,389,400,507000,200616000
2015-08-25,386,406,386,389,732000,288560000
2015-08-24,425,427,406,406,523000,217745000
2015-08-21,443,446,432,435,519000,226690000
2015-08-20,467,467,452,453,278000,127301000
2015-08-19,466,470,465,466,212000,98982000
2015-08-18,472,475,467,470,188000,88422000
2015-08-17,466,472,464,470,241000,112686000
2015-08-14,472,472,465,466,377000,176239000
2015-08-13,471,476,466,471,442000,208080000
2015-08-12,473,479,468,476,515000,243822000
2015-08-11,476,483,466,474,538000,254359000
2015-08-10,460,470,456,470,349000,162084000
2015-08-07,456,460,452,460,308000,140987000
2015-08-06,454,465,454,456,523000,240554000
2015-08-05,450,462,450,452,679000,309111000
2015-08-04,437,463,434,449,1312000,590693000
2015-08-03,416,418,411,418,148000,61497000
2015-07-31,414,418,412,417,469000,194794000
2015-07-30,413,417,411,414,170000,70331000
2015-07-29,416,418,410,411,236000,97374000
2015-07-28,417,420,412,416,285000,118621000
2015-07-27,419,422,417,420,202000,84815000
2015-07-24,433,437,422,425,246000,105075000
2015-07-23,431,436,431,436,94000,40821000
2015-07-22,433,437,431,431,161000,69639000
2015-07-21,439,442,434,438,169000,73920000
2015-07-17,439,439,434,437,165000,71941000
2015-07-16,437,440,435,440,199000,87186000
2015-07-15,437,437,428,436,368000,159362000
2015-07-14,433,437,431,435,290000,125926000
2015-07-13,418,426,415,426,200000,84574000
2015-07-10,410,423,410,413,455000,189088000
2015-07-09,415,416,403,411,525000,214606000
2015-07-08,437,442,422,423,607000,259978000
2015-07-07,442,451,438,440,268000,118557000
2015-07-06,444,447,436,437,364000,159938000
2015-07-03,450,455,449,451,206000,92952000
2015-07-02,450,453,445,451,352000,158297000
2015-07-01,439,445,434,444,324000,142854000
2015-06-30,435,439,428,438,407000,177035000
2015-06-29,434,439,431,434,313000,136060000
2015-06-26,443,447,437,445,328000,145020000
2015-06-25,450,456,445,446,351000,157249000
2015-06-24,455,459,451,457,408000,185998000
2015-06-23,450,457,447,454,387000,175010000
2015-06-22,439,449,438,446,444000,197209000
2015-06-19,440,443,437,440,347000,152760000
2015-06-18,441,441,430,435,360000,156997000
2015-06-17,440,445,434,440,214000,93993000
2015-06-16,448,448,436,439,500000,219853000
2015-06-15,445,451,445,450,313000,140130000
2015-06-12,458,458,449,452,733000,333850000
2015-06-11,447,454,447,453,339000,153269000
2015-06-10,452,452,445,446,373000,167020000
2015-06-09,452,454,445,446,447000,200776000
2015-06-08,458,464,453,458,508000,233122000
2015-06-05,445,450,445,450,408000,183242000
2015-06-04,448,457,447,451,288000,129651000
2015-06-03,449,454,446,451,417000,187724000
2015-06-02,457,460,447,448,704000,318684000
2015-06-01,453,461,453,459,392000,179206000
2015-05-29,452,456,450,453,350000,158825000
2015-05-28,444,452,444,452,602000,270079000
2015-05-27,446,446,440,444,294000,130311000
2015-05-26,446,447,444,446,243000,108243000
2015-05-25,447,452,444,446,381000,170399000
2015-05-22,441,446,439,444,532000,235941000
2015-05-21,438,444,435,441,499000,219152000
2015-05-20,441,444,436,438,498000,219156000
2015-05-19,436,444,433,441,533000,234272000
2015-05-18,430,440,427,440,601000,261289000
2015-05-15,426,433,421,432,671000,286476000
2015-05-14,421,429,417,425,601000,254491000
2015-05-13,422,428,418,421,210000,88442000
2015-05-12,421,429,416,427,345000,145811000
2015-05-11,430,435,422,423,279000,119004000
2015-05-08,418,426,418,425,402000,169916000
2015-05-07,412,419,412,415,421000,175019000
2015-05-01,406,417,403,409,371000,151184000
2015-04-30,420,423,409,413,441000,182414000
2015-04-28,430,432,423,427,210000,89936000
2015-04-27,428,428,418,424,194000,82105000
2015-04-24,430,431,425,428,179000,76554000
2015-04-23,435,440,420,430,504000,217642000
2015-04-22,429,437,420,432,516000,221755000
2015-04-21,411,428,411,423,304000,128125000
2015-04-20,415,421,410,413,254000,105590000
2015-04-17,415,422,412,416,506000,211696000
2015-04-16,397,414,397,414,419000,170622000
2015-04-15,405,405,396,398,169000,67509000
2015-04-14,398,407,398,405,221000,89151000
2015-04-13,402,402,396,398,126000,50173000
2015-04-10,404,404,396,400,306000,122704000
2015-04-09,406,407,399,401,216000,87008000
2015-04-08,407,411,403,406,279000,113536000
2015-04-07,400,408,397,404,209000,84501000
2015-04-06,400,402,397,399,203000,81091000
2015-04-03,409,411,397,400,392000,157272000
2015-04-02,404,418,402,413,418000,172195000
2015-04-01,394,403,391,398,677000,268917000
2015-03-31,408,409,396,397,266000,106884000
2015-03-30,399,405,394,403,327000,131421000
2015-03-27,407,413,395,398,443000,177798000
2015-03-26,412,413,403,410,321000,131298000
2015-03-25,412,415,409,414,340000,140089000
2015-03-24,414,415,407,415,327000,134753000
2015-03-23,419,419,411,415,316000,130743000
2015-03-20,422,422,413,418,395000,164444000
2015-03-19,428,432,419,422,396000,167749000
2015-03-18,432,434,426,433,293000,126206000
2015-03-17,437,439,432,434,215000,93450000
2015-03-16,438,444,433,437,308000,134947000
2015-03-13,437,438,428,433,797000,346645000
2015-03-12,427,433,426,431,314000,135160000
2015-03-11,410,426,410,424,375000,158176000
2015-03-10,419,421,410,412,215000,88866000
2015-03-09,421,422,413,417,223000,92831000
2015-03-06,425,429,422,425,266000,113194000
2015-03-05,421,426,420,425,176000,74490000
2015-03-04,417,421,414,419,311000,129968000
2015-03-03,420,423,414,419,621000,259924000
2015-03-02,424,429,418,420,385000,162616000
2015-02-27,430,435,421,426,577000,246518000
2015-02-26,427,430,425,429,265000,113409000
2015-02-25,427,430,423,429,301000,128691000
2015-02-24,424,429,421,425,391000,166192000
2015-02-23,430,434,420,424,547000,233495000
2015-02-20,440,440,431,434,470000,203991000
2015-02-19,422,438,422,436,632000,273637000
2015-02-18,419,428,418,426,575000,244211000
2015-02-17,412,419,409,416,571000,236874000
2015-02-16,400,415,400,413,820000,335574000
2015-02-13,397,400,394,397,608000,241479000
2015-02-12,388,397,385,396,1837000,719234000
2015-02-10,395,399,382,384,1182000,459098000
2015-02-09,401,405,399,400,445000,178536000
2015-02-06,397,402,397,400,326000,130408000
2015-02-05,398,403,391,396,383000,151845000
2015-02-04,389,405,389,399,377000,150852000
2015-02-03,399,399,385,386,200000,78088000
2015-02-02,393,395,389,392,187000,73170000
2015-01-30,396,400,393,398,278000,110556000
2015-01-29,394,395,390,390,214000,83908000
2015-01-28,388,398,383,396,300000,117871000
2015-01-27,381,392,381,392,239000,92648000
2015-01-26,370,377,370,376,118000,44025000
2015-01-23,375,377,374,376,162000,60767000
2015-01-22,377,377,368,373,276000,102533000
2015-01-21,384,384,374,377,280000,105885000
2015-01-20,380,388,379,388,232000,89251000
2015-01-19,376,380,375,379,266000,100422000
2015-01-16,379,379,367,372,329000,122672000
2015-01-15,378,388,378,386,273000,104490000
2015-01-14,380,383,376,379,377000,142922000
2015-01-13,390,390,378,384,467000,178623000
2015-01-09,391,398,391,395,287000,112984000
2015-01-08,395,396,390,391,305000,119969000
2015-01-07,387,394,383,392,464000,180216000
2015-01-06,397,398,386,390,758000,297078000
2015-01-05,396,405,390,402,265000,105798000
2014-12-30,402,402,395,396,134000,53292000
2014-12-29,403,405,395,399,203000,81212000
2014-12-26,401,403,400,402,141000,56615000
2014-12-25,400,403,396,401,158000,63398000
2014-12-24,400,404,399,403,297000,119316000
2014-12-22,402,402,391,394,248000,97917000
2014-12-19,400,403,398,402,303000,121348000
2014-12-18,388,398,388,392,418000,164643000
2014-12-17,374,389,374,381,341000,129981000
2014-12-16,377,379,372,374,347000,130041000
2014-12-15,381,388,381,381,235000,90213000
2014-12-12,386,395,386,388,715000,277527000
2014-12-11,389,394,389,389,198000,77300000
2014-12-10,397,402,394,394,413000,163770000
2014-12-09,397,402,396,400,162000,64561000
2014-12-08,402,407,393,398,325000,129120000
2014-12-05,396,400,391,399,270000,106891000
2014-12-04,398,403,395,396,544000,216799000
2014-12-03,395,400,394,396,322000,127781000
2014-12-02,393,397,390,395,413000,162860000
2014-12-01,390,394,389,393,330000,129258000
2014-11-28,377,391,377,390,442000,171220000
2014-11-27,383,388,376,376,373000,141927000
2014-11-26,385,390,385,387,293000,113662000
2014-11-25,387,389,386,386,431000,166950000
2014-11-21,380,385,377,383,522000,198696000
2014-11-20,380,382,377,380,623000,236138000
2014-11-19,379,384,378,380,559000,212978000
2014-11-18,375,381,375,380,507000,191521000
2014-11-17,382,382,371,372,546000,205397000
2014-11-14,380,384,377,382,623000,236563000
2014-11-13,370,379,370,377,590000,221268000
2014-11-12,373,380,370,371,694000,259837000
2014-11-11,356,380,355,373,1644000,611534000
2014-11-10,356,357,346,350,700000,246772000
2014-11-07,349,359,347,357,501000,177425000
2014-11-06,360,362,348,348,524000,185661000
2014-11-05,365,366,358,361,428000,154816000
2014-11-04,374,374,362,365,919000,337187000
2014-10-31,341,360,340,358,937000,328255000
2014-10-30,339,344,332,336,832000,279901000
2014-10-29,333,340,333,339,251000,84906000
2014-10-28,330,332,329,330,93000,30704000
2014-10-27,329,332,325,331,131000,43144000
2014-10-24,330,332,324,325,302000,98696000
2014-10-23,319,326,317,323,206000,66378000
2014-10-22,319,322,316,322,148000,47286000
2014-10-21,320,320,310,311,216000,67612000
2014-10-20,317,334,314,320,412000,131409000
2014-10-17,312,312,301,306,652000,199220000
2014-10-16,315,315,309,311,354000,110421000
2014-10-15,322,325,318,321,191000,61279000
2014-10-14,320,323,318,319,260000,83243000
2014-10-10,326,331,325,326,252000,82363000
2014-10-09,340,341,333,333,243000,81567000
2014-10-08,339,342,337,340,228000,77460000
2014-10-07,346,349,341,344,325000,112029000
2014-10-06,349,349,345,345,157000,54401000
2014-10-03,340,345,340,343,262000,89768000
2014-10-02,349,349,341,343,409000,140915000
2014-10-01,352,353,347,352,281000,98615000
2014-09-30,357,357,351,351,140000,49287000
2014-09-29,360,360,355,356,183000,65161000
2014-09-26,353,357,352,357,225000,79881000
2014-09-25,356,362,354,362,276000,98813000
