8387-T,東証1部,四国銀,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,255,255,247,250,89000,22270000
2015-10-01,257,257,251,255,103000,26187000
2015-09-30,243,257,243,253,273000,68640000
2015-09-29,242,244,238,243,235000,56745000
2015-09-28,242,245,240,244,167000,40597000
2015-09-25,237,244,237,244,241000,58246000
2015-09-24,240,244,237,237,307000,73586000
2015-09-18,253,253,241,242,406000,99189000
2015-09-17,253,254,248,254,123000,30985000
2015-09-16,254,254,249,251,108000,27063000
2015-09-15,252,259,251,252,161000,40819000
2015-09-14,253,256,249,252,160000,40297000
2015-09-11,244,254,243,253,361000,88788000
2015-09-10,244,249,243,246,148000,36408000
2015-09-09,245,251,240,251,244000,60030000
2015-09-08,239,243,238,239,99000,23707000
2015-09-07,239,242,234,241,71000,16977000
2015-09-04,243,244,236,239,240000,57527000
2015-09-03,240,243,238,241,206000,49514000
2015-09-02,240,247,238,238,196000,47233000
2015-09-01,250,255,242,242,335000,82945000
2015-08-31,247,251,245,250,165000,41108000
2015-08-28,241,250,240,250,239000,58982000
2015-08-27,237,238,232,233,236000,55573000
2015-08-26,226,232,225,229,376000,85979000
2015-08-25,221,242,221,225,384000,87916000
2015-08-24,246,247,240,240,265000,64298000
2015-08-21,256,258,251,252,257000,65127000
2015-08-20,269,269,263,263,165000,43770000
2015-08-19,270,273,268,268,92000,24808000
2015-08-18,268,272,268,271,125000,33707000
2015-08-17,272,273,266,268,184000,49326000
2015-08-14,270,271,267,269,138000,37144000
2015-08-13,269,270,265,270,198000,53106000
2015-08-12,272,273,262,269,288000,77021000
2015-08-11,276,277,271,275,159000,43419000
2015-08-10,269,277,268,276,450000,122080000
2015-08-07,265,266,263,264,130000,34367000
2015-08-06,266,269,264,265,179000,47676000
2015-08-05,263,268,263,265,156000,41453000
2015-08-04,271,271,263,265,94000,24963000
2015-08-03,266,271,262,271,113000,30139000
2015-07-31,267,271,266,268,139000,37333000
2015-07-30,268,270,264,266,177000,47205000
2015-07-29,266,268,265,266,94000,25049000
2015-07-28,265,269,264,266,151000,40225000
2015-07-27,271,272,269,269,81000,21901000
2015-07-24,276,281,272,275,171000,47104000
2015-07-23,274,280,274,279,86000,23820000
2015-07-22,275,277,274,274,108000,29747000
2015-07-21,274,277,273,277,159000,43728000
2015-07-17,276,277,272,274,108000,29653000
2015-07-16,275,276,273,276,182000,50027000
2015-07-15,273,277,271,275,462000,126736000
2015-07-14,276,277,272,274,192000,52749000
2015-07-13,268,273,267,271,144000,38977000
2015-07-10,259,267,258,264,360000,95030000
2015-07-09,261,262,253,260,346000,89569000
2015-07-08,273,276,266,266,535000,144469000
2015-07-07,273,275,271,271,277000,75427000
2015-07-06,277,279,271,271,217000,59322000
2015-07-03,285,290,277,282,225000,63613000
2015-07-02,286,289,283,288,177000,50658000
2015-07-01,281,284,278,283,170000,47880000
2015-06-30,280,280,273,279,160000,44306000
2015-06-29,277,280,276,278,222000,61766000
2015-06-26,285,289,281,288,234000,66533000
2015-06-25,288,292,286,290,167000,48222000
2015-06-24,291,293,287,291,338000,98406000
2015-06-23,287,291,285,290,400000,115309000
2015-06-22,274,285,274,284,394000,110590000
2015-06-19,267,275,267,274,343000,93185000
2015-06-18,268,270,263,267,208000,55512000
2015-06-17,266,270,266,268,151000,40469000
2015-06-16,275,275,264,266,279000,74919000
2015-06-15,273,278,271,277,174000,47893000
2015-06-12,271,273,268,272,559000,151408000
2015-06-11,267,270,264,266,232000,62145000
2015-06-10,265,267,264,267,295000,78421000
2015-06-09,265,266,261,264,288000,75951000
2015-06-08,264,267,263,267,189000,50052000
2015-06-05,263,263,261,261,164000,42965000
2015-06-04,258,264,258,263,151000,39441000
2015-06-03,255,258,254,257,175000,44861000
2015-06-02,260,260,254,255,382000,98032000
2015-06-01,260,263,259,261,112000,29189000
2015-05-29,263,263,259,262,134000,35001000
2015-05-28,258,263,258,263,235000,61223000
2015-05-27,257,257,255,256,153000,39119000
2015-05-26,258,258,256,256,60000,15382000
2015-05-25,260,260,256,257,96000,24745000
2015-05-22,258,258,255,256,113000,28999000
2015-05-21,258,260,255,256,163000,41894000
2015-05-20,263,263,258,259,258000,67038000
2015-05-19,263,264,261,263,231000,60677000
2015-05-18,258,265,258,264,397000,104240000
2015-05-15,259,265,256,265,154000,40110000
2015-05-14,261,263,259,260,152000,39532000
2015-05-13,264,266,260,265,183000,48210000
2015-05-12,261,265,261,264,108000,28475000
2015-05-11,265,267,264,265,140000,37113000
2015-05-08,260,264,260,263,217000,56790000
2015-05-07,255,260,253,258,288000,74195000
2015-05-01,256,256,250,253,198000,50143000
2015-04-30,256,261,253,256,318000,81423000
2015-04-28,259,262,259,262,130000,33896000
2015-04-27,258,260,257,259,109000,28166000
2015-04-24,260,261,258,258,98000,25369000
2015-04-23,262,264,257,260,195000,50933000
2015-04-22,260,263,258,262,349000,90904000
2015-04-21,255,260,254,258,159000,40990000
2015-04-20,257,260,253,255,167000,42904000
2015-04-17,254,260,254,256,253000,64886000
2015-04-16,247,257,246,257,261000,65573000
2015-04-15,246,249,246,247,114000,28151000
2015-04-14,248,251,246,250,99000,24579000
2015-04-13,250,250,247,248,57000,14116000
2015-04-10,250,251,248,248,121000,30181000
2015-04-09,251,251,247,248,107000,26566000
2015-04-08,246,250,245,249,143000,35485000
2015-04-07,244,247,243,246,132000,32409000
