8399-T,東証1部,琉球銀,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1726,1743,1697,1726,95900,164249400
2015-10-01,1750,1760,1714,1735,86200,149635500
2015-09-30,1715,1768,1706,1754,110600,192042200
2015-09-29,1717,1740,1680,1698,128500,218776200
2015-09-28,1748,1764,1725,1739,84000,146552600
2015-09-25,1711,1759,1692,1748,181200,314368500
2015-09-24,1701,1733,1682,1682,196200,334121200
2015-09-18,1754,1755,1716,1727,169500,294189800
2015-09-17,1779,1779,1743,1754,125600,220605000
2015-09-16,1769,1781,1751,1778,150200,266002000
2015-09-15,1755,1780,1745,1761,110700,195353800
2015-09-14,1749,1758,1714,1741,177600,308695400
2015-09-11,1696,1759,1696,1744,264600,456613200
2015-09-10,1698,1735,1670,1732,182000,311380700
2015-09-09,1723,1737,1689,1736,159600,274286800
2015-09-08,1688,1718,1678,1683,123200,208898300
2015-09-07,1667,1696,1643,1689,176200,294841400
2015-09-04,1684,1714,1660,1688,218200,368308500
2015-09-03,1670,1698,1657,1660,146400,244348600
2015-09-02,1658,1704,1639,1666,147800,246957500
2015-09-01,1710,1733,1688,1688,162800,278204500
2015-08-31,1738,1738,1690,1722,149800,256629800
2015-08-28,1720,1746,1688,1738,175300,302169500
2015-08-27,1679,1707,1656,1669,148600,249999900
2015-08-26,1613,1657,1602,1653,182700,297445700
2015-08-25,1594,1678,1575,1613,224800,366549000
2015-08-24,1776,1778,1683,1685,215800,373462500
2015-08-21,1838,1852,1822,1826,125200,229430500
2015-08-20,1909,1917,1878,1878,118400,224326600
2015-08-19,1929,1934,1912,1916,85000,163187200
2015-08-18,1920,1938,1920,1934,56300,108763300
2015-08-17,1935,1950,1906,1922,118200,227550500
2015-08-14,1937,1940,1916,1925,90800,175065600
2015-08-13,1911,1939,1905,1933,141900,273152300
2015-08-12,1907,1927,1905,1924,143200,274263100
2015-08-11,1919,1927,1906,1919,110100,211205400
2015-08-10,1878,1915,1851,1915,176900,332963600
2015-08-07,1860,1877,1844,1868,102400,191058400
2015-08-06,1868,1896,1863,1869,140300,264346300
2015-08-05,1857,1875,1843,1868,80800,150644900
2015-08-04,1860,1890,1852,1857,174500,325344900
2015-08-03,1835,1849,1825,1849,99400,182661800
2015-07-31,1850,1850,1830,1843,91600,168726400
2015-07-30,1836,1858,1836,1850,192900,356487300
2015-07-29,1845,1845,1821,1836,109300,200484400
2015-07-28,1817,1839,1795,1829,135900,246409400
2015-07-27,1832,1833,1822,1830,95500,174420100
2015-07-24,1842,1845,1811,1822,93400,170663800
2015-07-23,1841,1846,1832,1842,58100,106921900
2015-07-22,1855,1855,1836,1838,97300,179258000
2015-07-21,1875,1875,1841,1855,92000,170312100
2015-07-17,1864,1864,1845,1853,75500,139842200
2015-07-16,1846,1864,1843,1864,106300,197134000
2015-07-15,1819,1840,1804,1840,161500,295640700
2015-07-14,1810,1822,1794,1812,140900,255040200
2015-07-13,1769,1792,1753,1787,86000,152803900
2015-07-10,1780,1804,1750,1753,248700,440756700
2015-07-09,1756,1765,1708,1762,219400,381979100
2015-07-08,1821,1825,1773,1773,277800,497546500
2015-07-07,1840,1860,1821,1833,132500,243223200
2015-07-06,1827,1849,1810,1817,168200,306479900
2015-07-03,1851,1875,1841,1852,125900,233555900
2015-07-02,1845,1868,1838,1847,124900,231525200
2015-07-01,1832,1838,1810,1825,138500,252628100
2015-06-30,1816,1828,1788,1826,162100,293531400
2015-06-29,1817,1841,1811,1816,150700,274314600
2015-06-26,1845,1891,1835,1889,210000,392980500
2015-06-25,1852,1858,1824,1846,100300,184852500
2015-06-24,1860,1868,1848,1852,100900,187220900
2015-06-23,1839,1873,1838,1847,87300,161344700
2015-06-22,1810,1835,1803,1826,130100,236550400
2015-06-19,1805,1837,1801,1809,159700,289595400
2015-06-18,1786,1827,1763,1802,235000,422897400
2015-06-17,1797,1810,1781,1794,122700,220076500
2015-06-16,1830,1830,1787,1798,168100,303167600
2015-06-15,1817,1842,1812,1837,135700,247847500
2015-06-12,1820,1834,1819,1831,210800,384724000
2015-06-11,1834,1842,1808,1816,196500,357753700
2015-06-10,1819,1855,1819,1827,209600,385251100
2015-06-09,1861,1866,1813,1813,176500,323702100
2015-06-08,1895,1926,1866,1870,177200,334734300
2015-06-05,1865,1880,1856,1866,118500,221288800
2015-06-04,1890,1899,1863,1865,257700,483914600
2015-06-03,1920,1924,1890,1895,203200,386601400
2015-06-02,1948,1956,1927,1932,203900,396175500
2015-06-01,1940,1959,1931,1951,192900,375360800
