8424-T,東証1部,芙蓉リース,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,4710,4745,4660,4730,57500,270864000
2015-10-01,4620,4760,4590,4735,54100,254629500
2015-09-30,4510,4620,4505,4575,51500,235444000
2015-09-29,4490,4530,4395,4440,80100,356355000
2015-09-28,4520,4585,4480,4555,35200,159904500
2015-09-25,4460,4550,4415,4535,86800,388802500
2015-09-24,4400,4520,4380,4460,71200,317976000
2015-09-18,4480,4520,4395,4450,49800,221809000
2015-09-17,4405,4480,4375,4480,36000,160098000
2015-09-16,4490,4500,4325,4340,48500,212380000
2015-09-15,4510,4585,4465,4475,42300,190664500
2015-09-14,4585,4605,4460,4495,31900,143889000
2015-09-11,4375,4610,4375,4585,96700,431537000
2015-09-10,4330,4540,4330,4515,73600,327130500
2015-09-09,4275,4435,4275,4435,122200,535952000
2015-09-08,4350,4395,4200,4205,97100,414161000
2015-09-07,4325,4425,4285,4385,83900,366464500
2015-09-04,4430,4430,4290,4405,94800,413096000
2015-09-03,4455,4490,4360,4365,40900,180487000
2015-09-02,4440,4555,4375,4385,89000,397390000
2015-09-01,4730,4755,4570,4570,42500,197352500
2015-08-31,4785,4785,4690,4740,64200,303296500
2015-08-28,4740,4805,4685,4790,60300,286924500
2015-08-27,4570,4630,4530,4560,65800,301096500
2015-08-26,4265,4475,4265,4435,70900,310086000
2015-08-25,4255,4470,4215,4240,92600,401284500
2015-08-24,4705,4780,4460,4465,72500,334513500
2015-08-21,4905,4930,4835,4845,94600,461056500
2015-08-20,4995,5060,4975,5020,70400,353965500
2015-08-19,5040,5080,4995,5000,77400,389144500
2015-08-18,5110,5120,5040,5080,71200,361888000
2015-08-17,5140,5180,5100,5170,50000,257533000
2015-08-14,5120,5170,5110,5130,24200,124157000
2015-08-13,5140,5160,5080,5120,43200,220811000
2015-08-12,5260,5260,5150,5170,61600,319513000
2015-08-11,5240,5320,5230,5300,97700,515935000
2015-08-10,5040,5240,5010,5210,79900,409362000
2015-08-07,5110,5130,5020,5110,73800,374220000
2015-08-06,5270,5270,5160,5170,61100,318145000
2015-08-05,5260,5280,5180,5270,43600,228207000
2015-08-04,5220,5280,5180,5260,37700,197926000
2015-08-03,5150,5230,5120,5220,35100,181462000
2015-07-31,5160,5210,5070,5200,48700,251920000
2015-07-30,5160,5170,5070,5100,34800,178161000
2015-07-29,5090,5120,5040,5110,34200,174337000
2015-07-28,4950,5100,4900,5070,49400,248085000
2015-07-27,5020,5050,4950,4965,59000,293410500
2015-07-24,5110,5140,5050,5090,31400,159630000
2015-07-23,5150,5190,5090,5120,40400,206701000
2015-07-22,5180,5180,5110,5140,54500,280123000
2015-07-21,5290,5290,5210,5230,32500,170184000
2015-07-17,5310,5310,5210,5220,41500,217446000
2015-07-16,5260,5290,5220,5280,61600,324204000
