8425-T,東証1部,興銀リース,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2370,2371,2311,2335,121500,283439100
2015-10-01,2352,2390,2321,2379,173500,408968400
2015-09-30,2336,2352,2303,2324,127600,297058800
2015-09-29,2341,2355,2281,2306,113800,263343900
2015-09-28,2387,2415,2355,2383,72900,174015400
2015-09-25,2364,2419,2350,2394,131700,313169000
2015-09-24,2360,2387,2358,2361,85800,203219800
2015-09-18,2418,2468,2372,2396,98100,235454700
2015-09-17,2447,2465,2423,2457,95900,234630200
2015-09-16,2491,2491,2416,2422,66000,161036500
2015-09-15,2501,2567,2451,2454,126500,317230200
2015-09-14,2500,2520,2469,2492,102800,256827900
2015-09-11,2344,2492,2344,2483,210000,504818100
2015-09-10,2422,2451,2401,2444,89600,217623600
2015-09-09,2399,2488,2374,2488,106800,260833200
2015-09-08,2348,2380,2317,2320,77800,182129800
2015-09-07,2308,2361,2281,2347,83600,194417600
2015-09-04,2400,2401,2295,2325,134600,314248400
2015-09-03,2411,2451,2362,2368,67500,161659200
2015-09-02,2380,2452,2371,2385,80100,192957400
2015-09-01,2481,2491,2438,2444,109200,268882400
2015-08-31,2526,2528,2468,2507,81600,203396600
2015-08-28,2532,2558,2504,2535,103700,262641700
2015-08-27,2482,2504,2450,2458,97400,240412200
2015-08-26,2365,2442,2350,2432,142500,342109600
2015-08-25,2313,2438,2291,2319,164900,388518900
2015-08-24,2490,2522,2410,2411,137100,337446400
2015-08-21,2576,2591,2540,2546,186900,478724200
2015-08-20,2675,2680,2637,2639,115600,306943600
2015-08-19,2800,2800,2678,2683,207400,562510400
2015-08-18,2836,2883,2800,2819,98300,278997700
2015-08-17,2839,2869,2822,2843,62500,177624800
2015-08-14,2818,2828,2791,2821,56800,159675600
2015-08-13,2819,2845,2770,2812,117400,328528600
2015-08-12,2887,2897,2813,2826,126700,359276200
2015-08-11,2907,2947,2858,2895,124900,360548600
2015-08-10,2874,2898,2837,2898,102400,293914600
2015-08-07,2871,2879,2821,2867,158800,452033800
2015-08-06,2923,2929,2888,2900,80600,233941800
2015-08-05,2938,2947,2911,2936,51900,152147300
2015-08-04,2896,2950,2894,2950,64300,188434200
2015-08-03,2909,2917,2872,2902,32300,93524900
2015-07-31,2911,2929,2875,2915,77500,225258500
2015-07-30,2870,2921,2870,2911,73000,211897500
2015-07-29,2854,2878,2827,2865,40500,115757400
2015-07-28,2790,2867,2781,2849,67700,191474100
2015-07-27,2919,2919,2808,2823,120900,344939700
2015-07-24,2907,2937,2907,2931,62300,182129800
2015-07-23,2905,2910,2855,2906,106700,307612100
2015-07-22,2925,2927,2878,2904,125100,363019300
2015-07-21,2933,2984,2933,2957,130900,386447700
2015-07-17,2939,2939,2910,2932,52400,153261900
2015-07-16,2910,2950,2881,2943,143900,421872600
2015-07-15,2883,2913,2858,2888,99800,288160400
2015-07-14,2850,2906,2849,2883,104400,300370700
2015-07-13,2798,2835,2781,2819,66800,187681900
2015-07-10,2706,2777,2698,2773,168400,463400900
2015-07-09,2651,2694,2603,2685,132400,350237100
2015-07-08,2827,2830,2715,2715,143900,395760700
2015-07-07,2845,2880,2831,2851,72500,207261800
2015-07-06,2835,2861,2801,2812,75400,213062400
2015-07-03,2928,2928,2868,2885,61600,178291400
2015-07-02,2866,2932,2838,2916,156600,454508800
2015-07-01,2850,2874,2823,2854,88500,252910000
2015-06-30,2790,2848,2733,2845,114200,321185000
2015-06-29,2745,2823,2744,2793,141500,394920500
2015-06-26,2806,2807,2769,2801,50800,141766800
2015-06-25,2833,2833,2782,2790,100400,280953700
2015-06-24,2900,2900,2827,2833,122000,347192400
2015-06-23,2840,2917,2840,2893,166900,481787400
2015-06-22,2762,2830,2755,2830,127300,357035700
2015-06-19,2722,2773,2722,2762,130300,358556300
2015-06-18,2770,2780,2722,2722,129400,356166200
2015-06-17,2775,2786,2752,2776,165000,457451900
2015-06-16,2764,2811,2761,2765,187600,522077700
2015-06-15,2731,2787,2730,2784,196300,542017900
2015-06-12,2740,2740,2681,2731,226700,617955400
2015-06-11,2720,2757,2671,2723,272400,743424700
2015-06-10,2662,2719,2647,2698,225100,607026600
2015-06-09,2670,2678,2639,2642,127900,339736500
2015-06-08,2690,2709,2675,2688,71400,192026600
2015-06-05,2680,2711,2675,2685,75300,202410800
2015-06-04,2720,2740,2698,2709,72800,197987400
2015-06-03,2697,2707,2667,2695,99000,266246100
2015-06-02,2700,2729,2683,2702,108400,293103400
2015-06-01,2640,2684,2634,2676,64700,172327000
2015-05-29,2639,2717,2623,2650,131800,349167400
2015-05-28,2649,2659,2631,2639,110500,292174400
2015-05-27,2651,2659,2622,2648,136400,361006400
2015-05-26,2713,2713,2668,2670,117100,313961100
2015-05-25,2707,2723,2700,2712,107400,291467900
2015-05-22,2701,2712,2681,2707,92400,249203400
2015-05-21,2733,2733,2699,2700,94900,257075100
2015-05-20,2760,2766,2729,2745,125700,345747700
2015-05-19,2771,2780,2745,2764,86700,239341800
2015-05-18,2745,2798,2739,2774,146200,405501800
2015-05-15,2725,2756,2710,2723,63200,172196800
2015-05-14,2720,2741,2696,2732,80800,219922100
2015-05-13,2699,2770,2677,2752,158600,434738800
2015-05-12,2670,2718,2653,2694,162400,436282400
2015-05-11,2681,2703,2668,2680,78300,210038300
2015-05-08,2631,2648,2617,2625,96500,253912400
2015-05-07,2622,2684,2622,2631,95600,253357700
2015-05-01,2656,2667,2630,2652,90600,240160600
2015-04-30,2712,2732,2679,2690,129800,349657700
2015-04-28,2758,2762,2710,2752,87700,240229700
2015-04-27,2730,2764,2700,2756,75900,208274600
2015-04-24,2734,2740,2706,2732,66300,180519400
2015-04-23,2746,2776,2717,2735,136500,375368100
2015-04-22,2720,2766,2710,2746,121200,333131800
2015-04-21,2658,2720,2658,2704,177900,479484300
2015-04-20,2664,2665,2619,2640,101100,267323000
2015-04-17,2688,2709,2665,2669,98500,264250800
2015-04-16,2650,2695,2644,2695,90300,241460200
2015-04-15,2703,2706,2661,2661,106600,285598600
2015-04-14,2651,2739,2647,2731,248800,671709800
2015-04-13,2645,2657,2610,2645,152400,402568300
2015-04-10,2637,2647,2611,2632,118700,312134000
2015-04-09,2629,2675,2629,2638,228300,604754600
2015-04-08,2611,2627,2602,2615,97900,256181500
2015-04-07,2589,2629,2573,2590,190600,496437900
2015-04-06,2536,2599,2535,2570,145500,374827800
2015-04-03,2530,2559,2502,2557,181000,460469900
2015-04-02,2491,2545,2491,2528,152300,385188000
2015-04-01,2483,2506,2465,2486,150800,374363600
2015-03-31,2509,2536,2475,2485,146200,366938400
2015-03-30,2464,2494,2434,2493,138400,341725000
2015-03-27,2464,2506,2425,2448,261400,645006600
2015-03-26,2510,2535,2501,2514,547200,1374519400
2015-03-25,2540,2564,2503,2530,227400,575915700
2015-03-24,2554,2554,2525,2554,159000,404841000
2015-03-23,2547,2574,2536,2567,146100,373509000
2015-03-20,2545,2547,2501,2545,171000,431980400
2015-03-19,2550,2554,2522,2549,94300,239388600
2015-03-18,2558,2560,2526,2560,147100,374509600
2015-03-17,2553,2556,2525,2545,83900,213647600
2015-03-16,2541,2554,2516,2531,95800,242921400
2015-03-13,2512,2558,2499,2539,283300,717167500
2015-03-12,2489,2503,2474,2492,102300,254991700
2015-03-11,2482,2498,2471,2478,123500,306997500
2015-03-10,2495,2505,2478,2485,193700,482511400
2015-03-09,2462,2485,2438,2484,174100,429884200
2015-03-06,2438,2468,2427,2467,136500,335025800
2015-03-05,2427,2450,2423,2428,70000,170186300
2015-03-04,2430,2453,2416,2446,109800,267802400
2015-03-03,2450,2460,2420,2435,104800,255302400
2015-03-02,2475,2506,2442,2445,180600,447247800
2015-02-27,2425,2482,2425,2468,260900,643074400
2015-02-26,2390,2415,2388,2413,239500,575048900
2015-02-25,2420,2437,2396,2417,206400,499184400
2015-02-24,2447,2458,2422,2431,231100,561988600
2015-02-23,2499,2509,2468,2480,120100,298832300
2015-02-20,2488,2490,2473,2486,94700,235257600
2015-02-19,2460,2486,2457,2473,102100,252347300
2015-02-18,2495,2495,2446,2450,142200,350845100
2015-02-17,2460,2508,2454,2484,239000,594877600
2015-02-16,2405,2460,2405,2453,150600,368208400
2015-02-13,2410,2434,2400,2420,160500,388557300
2015-02-12,2395,2418,2385,2395,227600,546714600
2015-02-10,2362,2386,2351,2363,82500,195306700
2015-02-09,2345,2395,2341,2380,216900,515477800
2015-02-06,2280,2340,2279,2331,156500,362827300
2015-02-05,2293,2325,2260,2308,149800,344071400
2015-02-04,2254,2295,2254,2288,219900,501331100
2015-02-03,2232,2254,2213,2226,194900,435583200
2015-02-02,2222,2227,2207,2223,91600,202995800
2015-01-30,2254,2255,2215,2231,104800,233613800
2015-01-29,2245,2252,2226,2231,75800,169737300
2015-01-28,2245,2257,2232,2247,126900,284533500
2015-01-27,2241,2256,2232,2248,85000,190736200
2015-01-26,2221,2235,2200,2226,113400,250703500
2015-01-23,2220,2258,2219,2247,164200,368523600
2015-01-22,2202,2208,2180,2207,110600,242777300
2015-01-21,2214,2214,2175,2202,139800,306488600
2015-01-20,2182,2208,2171,2205,146700,321479800
2015-01-19,2201,2209,2168,2173,240100,523544200
2015-01-16,2220,2220,2170,2196,302500,662319600
2015-01-15,2224,2247,2211,2235,159200,353772000
2015-01-14,2266,2266,2212,2224,272400,607710300
2015-01-13,2308,2310,2248,2279,282200,640267800
2015-01-09,2331,2341,2306,2315,112400,260510800
2015-01-08,2326,2341,2313,2323,102800,239085700
2015-01-07,2312,2330,2293,2293,160500,369719800
2015-01-06,2340,2346,2316,2321,159400,371497400
2015-01-05,2395,2396,2353,2365,115600,274004000
2014-12-30,2400,2418,2396,2403,58100,139810200
2014-12-29,2422,2428,2386,2414,92800,223827500
2014-12-26,2388,2427,2388,2420,85300,206054400
2014-12-25,2411,2413,2381,2388,81300,194350700
2014-12-24,2391,2413,2389,2404,132100,317658700
