8522-T,東証1部,名銀,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,463,463,448,453,440000,199505000
2015-10-01,463,469,452,465,212000,98008000
2015-09-30,453,465,447,458,252000,115886000
2015-09-29,448,455,440,445,259000,115763000
2015-09-28,456,460,448,454,338000,153343000
2015-09-25,438,456,438,452,287000,128652000
2015-09-24,431,443,430,434,341000,148811000
2015-09-18,456,456,430,440,433000,190661000
2015-09-17,460,461,446,452,203000,91915000
2015-09-16,452,458,448,456,120000,54514000
2015-09-15,455,461,449,450,137000,62125000
2015-09-14,462,462,448,454,143000,65035000
2015-09-11,444,461,444,460,398000,178407000
2015-09-10,447,457,445,452,149000,67129000
2015-09-09,449,464,443,461,324000,147389000
2015-09-08,444,448,440,441,164000,72705000
2015-09-07,433,447,433,445,338000,149221000
2015-09-04,443,445,431,438,242000,105747000
2015-09-03,441,446,436,438,205000,90498000
2015-09-02,441,450,435,438,553000,243648000
2015-09-01,458,462,443,446,422000,190365000
2015-08-31,467,467,457,464,314000,144827000
2015-08-28,475,475,463,472,193000,90740000
2015-08-27,468,479,457,459,305000,141883000
2015-08-26,440,470,440,466,594000,271967000
2015-08-25,415,460,415,440,649000,286227000
2015-08-24,445,462,435,442,897000,404217000
2015-08-21,467,467,453,453,375000,171866000
2015-08-20,491,491,474,475,268000,128937000
2015-08-19,499,501,491,492,190000,94149000
2015-08-18,505,506,500,504,154000,77537000
2015-08-17,498,508,498,504,285000,143077000
2015-08-14,498,505,495,501,221000,110643000
2015-08-13,492,500,487,498,255000,126155000
2015-08-12,499,505,494,498,137000,68303000
2015-08-11,509,515,497,504,270000,136393000
2015-08-10,507,509,499,509,169000,85188000
2015-08-07,502,507,498,504,316000,158951000
2015-08-06,500,514,500,505,438000,220866000
2015-08-05,487,499,487,497,306000,151502000
2015-08-04,494,496,486,489,322000,158241000
2015-08-03,485,495,482,493,302000,147947000
2015-07-31,483,487,477,485,381000,184057000
2015-07-30,474,479,474,478,223000,106388000
2015-07-29,474,474,467,472,111000,52290000
2015-07-28,468,476,464,471,208000,97701000
2015-07-27,480,480,473,474,181000,86103000
2015-07-24,484,490,476,482,279000,134574000
2015-07-23,487,490,486,489,85000,41491000
2015-07-22,485,491,481,483,141000,68471000
2015-07-21,490,492,483,489,196000,95605000
2015-07-17,491,491,485,488,132000,64432000
2015-07-16,490,493,487,492,222000,108951000
2015-07-15,483,490,481,489,215000,104593000
2015-07-14,490,490,473,482,294000,141719000
2015-07-13,475,485,472,481,295000,141255000
2015-07-10,462,478,462,470,445000,209970000
2015-07-09,458,462,454,460,423000,193658000
2015-07-08,477,481,462,465,576000,269374000
2015-07-07,483,493,479,481,212000,102460000
2015-07-06,475,481,475,476,223000,106321000
2015-07-03,486,489,483,485,154000,74872000
2015-07-02,494,496,485,487,359000,175987000
2015-07-01,483,488,477,488,249000,120525000
2015-06-30,482,483,473,479,239000,114095000
2015-06-29,477,486,472,479,289000,138222000
2015-06-26,483,488,476,487,385000,186041000
2015-06-25,493,498,488,488,209000,102668000
2015-06-24,497,499,491,498,311000,154513000
2015-06-23,500,501,492,494,466000,231190000
2015-06-22,478,498,478,497,385000,188920000
2015-06-19,476,481,475,481,382000,182940000
2015-06-18,482,482,473,476,284000,135695000
2015-06-17,484,485,477,482,330000,158722000
2015-06-16,487,487,477,481,340000,163645000
2015-06-15,481,487,479,487,220000,106342000
2015-06-12,489,490,479,484,738000,359160000
2015-06-11,476,485,476,481,696000,333741000
2015-06-10,473,479,470,476,632000,300836000
2015-06-09,465,472,461,466,525000,245442000
2015-06-08,469,484,467,471,572000,271627000
2015-06-05,464,469,463,467,184000,85692000
2015-06-04,456,475,456,468,301000,140770000
2015-06-03,454,460,452,457,255000,116463000
2015-06-02,466,466,455,456,470000,216147000
2015-06-01,465,468,456,468,233000,108229000
2015-05-29,459,466,458,463,372000,172084000
2015-05-28,452,465,452,465,461000,211325000
2015-05-27,453,454,447,451,304000,137169000
2015-05-26,455,455,451,451,90000,40716000
2015-05-25,459,459,452,454,175000,79537000
2015-05-22,453,459,451,455,309000,140472000
2015-05-21,450,458,448,453,383000,173628000
2015-05-20,455,458,449,454,465000,210672000
2015-05-19,450,458,449,453,668000,302531000
2015-05-18,437,458,437,458,686000,308132000
2015-05-15,431,444,429,443,666000,289498000
2015-05-14,433,436,426,429,546000,234720000
2015-05-13,438,442,434,436,237000,103694000
2015-05-12,436,445,436,443,265000,116792000
2015-05-11,445,449,440,441,325000,144254000
2015-05-08,436,442,436,442,323000,142134000
2015-05-07,438,444,435,438,632000,278195000
2015-05-01,436,443,429,436,371000,161275000
2015-04-30,440,443,436,441,539000,237250000
2015-04-28,441,444,439,443,220000,97217000
2015-04-27,441,442,433,439,274000,119787000
2015-04-24,442,444,440,441,480000,212039000
2015-04-23,436,445,432,437,373000,163756000
2015-04-22,433,439,431,437,530000,230543000
2015-04-21,425,434,424,428,429000,184110000
2015-04-20,432,433,421,426,417000,178812000
2015-04-17,426,437,425,433,776000,335658000
2015-04-16,414,425,414,425,576000,241976000
2015-04-15,412,414,410,414,272000,112133000
2015-04-14,410,415,409,414,311000,128496000
2015-04-13,407,409,402,408,401000,163036000
2015-04-10,408,410,404,407,430000,175167000
2015-04-09,408,408,401,404,259000,104860000
2015-04-08,410,411,405,407,475000,193818000
2015-04-07,397,407,397,404,607000,244549000
2015-04-06,399,399,394,395,486000,192010000
2015-04-03,400,402,393,397,614000,243457000
2015-04-02,399,409,397,402,631000,254497000
2015-04-01,397,402,396,400,595000,237274000
2015-03-31,409,411,397,399,866000,348448000
2015-03-30,407,410,402,407,393000,159427000
2015-03-27,411,418,400,404,646000,264063000
2015-03-26,422,422,407,412,874000,361435000
2015-03-25,426,429,422,424,480000,204103000
2015-03-24,428,428,421,425,435000,184700000
2015-03-23,427,428,423,425,361000,153207000
2015-03-20,423,429,421,427,417000,177523000
2015-03-19,429,430,423,423,350000,148755000
2015-03-18,430,435,428,429,621000,267651000
2015-03-17,441,441,431,432,380000,164682000
2015-03-16,437,445,433,437,416000,182643000
2015-03-13,449,449,435,437,1041000,460503000
2015-03-12,423,439,423,438,1063000,459885000
2015-03-11,429,435,422,423,4121000,1760721000
2015-03-10,454,454,442,445,157000,69966000
2015-03-09,450,452,447,449,91000,40861000
2015-03-06,449,456,448,453,138000,62494000
2015-03-05,449,455,447,451,167000,75306000
2015-03-04,453,453,444,445,175000,78406000
2015-03-03,455,457,448,449,187000,84571000
2015-03-02,458,463,453,457,126000,57533000
2015-02-27,462,472,447,458,286000,132011000
2015-02-26,467,467,461,465,237000,110065000
2015-02-25,466,469,460,467,120000,55789000
2015-02-24,468,469,462,463,159000,74024000
2015-02-23,474,474,460,466,203000,94787000
2015-02-20,479,479,468,472,274000,129624000
2015-02-19,463,480,463,475,455000,215918000
2015-02-18,461,477,460,469,411000,192618000
2015-02-17,453,457,453,454,232000,105533000
2015-02-16,447,459,446,455,272000,123601000
2015-02-13,443,445,438,442,245000,108255000
2015-02-12,434,450,428,443,273000,120910000
2015-02-10,430,434,425,427,94000,40362000
2015-02-09,433,434,429,431,70000,30208000
2015-02-06,432,433,427,431,117000,50365000
2015-02-05,427,429,419,427,145000,61631000
2015-02-04,419,432,419,424,190000,80747000
2015-02-03,421,426,412,414,153000,64003000
2015-02-02,423,424,418,423,125000,52631000
2015-01-30,429,430,424,427,149000,63683000
2015-01-29,423,428,422,422,88000,37353000
2015-01-28,419,427,419,426,120000,50827000
2015-01-27,412,423,411,423,143000,59894000
2015-01-26,401,408,401,407,80000,32397000
2015-01-23,410,411,408,409,104000,42579000
2015-01-22,405,406,399,406,151000,60883000
2015-01-21,420,420,409,409,235000,96904000
2015-01-20,414,420,411,420,147000,61255000
2015-01-19,415,415,406,412,150000,61777000
2015-01-16,410,412,402,408,228000,92717000
2015-01-15,411,421,410,419,174000,72478000
2015-01-14,417,420,411,411,126000,52145000
2015-01-13,420,423,412,420,199000,82933000
2015-01-09,433,434,425,429,223000,95925000
2015-01-08,431,436,424,433,153000,66081000
2015-01-07,430,433,422,427,173000,73862000
2015-01-06,443,443,432,432,339000,148078000
2015-01-05,450,455,442,453,220000,98912000
2014-12-30,449,451,445,449,189000,84828000
2014-12-29,448,450,441,448,196000,87558000
2014-12-26,441,446,441,444,98000,43533000
2014-12-25,443,444,438,441,132000,58165000
2014-12-24,449,451,440,442,409000,181663000
2014-12-22,451,451,438,441,173000,76488000
2014-12-19,442,449,442,448,197000,87712000
2014-12-18,442,450,433,434,317000,139492000
2014-12-17,422,435,422,431,245000,105333000
2014-12-16,417,426,417,422,322000,135547000
2014-12-15,427,433,425,425,193000,82672000
2014-12-12,436,441,431,431,653000,284080000
2014-12-11,442,446,439,440,180000,79541000
2014-12-10,457,457,446,448,297000,134141000
2014-12-09,455,464,455,457,269000,123457000
2014-12-08,462,463,455,461,189000,86826000
2014-12-05,455,457,451,457,112000,50926000
2014-12-04,450,457,449,457,238000,108083000
2014-12-03,450,453,446,449,187000,83942000
2014-12-02,453,453,449,452,183000,82696000
2014-12-01,446,454,446,454,212000,95623000
2014-11-28,435,449,435,449,236000,104895000
2014-11-27,441,443,432,432,187000,81215000
2014-11-26,431,448,431,443,349000,154110000
2014-11-25,444,444,434,434,259000,113344000
2014-11-21,441,442,434,438,207000,90736000
2014-11-20,449,449,438,440,129000,57143000
2014-11-19,450,452,440,443,227000,100865000
2014-11-18,443,446,441,446,224000,99415000
2014-11-17,453,453,437,437,278000,123232000
2014-11-14,455,458,445,450,431000,194548000
2014-11-13,446,453,444,453,301000,135396000
2014-11-12,449,454,446,447,235000,105673000
2014-11-11,449,450,439,448,138000,61310000
2014-11-10,445,446,441,442,145000,64256000
2014-11-07,445,450,438,448,263000,116935000
2014-11-06,451,455,437,437,387000,172187000
2014-11-05,450,455,444,453,309000,138897000
2014-11-04,451,458,449,449,582000,263072000
2014-10-31,424,448,422,447,701000,304630000
2014-10-30,411,424,410,420,379000,158857000
2014-10-29,390,423,390,414,546000,224600000
2014-10-28,383,387,382,384,84000,32264000
2014-10-27,377,387,374,386,180000,68752000
2014-10-24,372,377,371,372,112000,41747000
2014-10-23,367,374,366,370,148000,54606000
2014-10-22,366,373,366,371,173000,63927000
2014-10-21,368,368,359,359,123000,44539000
2014-10-20,374,374,366,369,221000,81812000
2014-10-17,370,370,356,358,345000,124682000
2014-10-16,375,376,369,371,239000,89135000
2014-10-15,373,384,373,380,141000,53350000
2014-10-14,374,381,374,375,239000,89903000
2014-10-10,380,386,380,382,231000,88300000
2014-10-09,403,404,393,393,111000,43920000
2014-10-08,406,406,400,402,186000,74842000
2014-10-07,412,414,405,405,185000,75780000
2014-10-06,407,413,407,411,73000,30006000
2014-10-03,404,411,404,406,146000,59407000
2014-10-02,423,424,407,408,296000,122841000
2014-10-01,423,427,418,427,172000,73027000
2014-09-30,427,427,414,419,205000,85855000
2014-09-29,428,430,422,425,98000,41621000
2014-09-26,428,433,426,428,130000,55744000
2014-09-25,424,435,424,435,222000,95640000
