8591-T,東証1部,オリックス,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1628.0,1664.5,1604.5,1652.0,7982300,13125547350
2015-10-01,1559.5,1646.0,1559.0,1628.0,11118300,18004739850
2015-09-30,1511.0,1552.0,1506.5,1532.0,7397300,11357334450
2015-09-29,1528.5,1531.0,1453.0,1475.5,10523800,15634981250
2015-09-28,1578.0,1608.0,1552.5,1562.5,5737600,9031629150
2015-09-25,1571.0,1599.5,1545.5,1596.0,6527100,10315236850
2015-09-24,1554.0,1584.0,1544.0,1548.0,7513500,11722753400
2015-09-18,1620.0,1625.0,1572.0,1594.0,6413900,10227302600
2015-09-17,1621.0,1647.5,1608.5,1633.5,6287000,10241399450
2015-09-16,1590.0,1606.5,1572.0,1594.0,4897400,7804803150
2015-09-15,1583.0,1611.5,1553.5,1554.5,4845200,7635834400
2015-09-14,1597.5,1598.0,1558.0,1569.0,4050700,6387544250
2015-09-11,1582.0,1615.5,1566.5,1598.0,6871100,10953750050
2015-09-10,1558.0,1590.5,1550.0,1588.0,6458700,10168232650
2015-09-09,1537.5,1598.0,1525.5,1593.5,9123800,14275554550
2015-09-08,1486.0,1497.5,1459.0,1464.0,5665200,8348633350
2015-09-07,1499.5,1508.0,1465.0,1487.5,8207800,12191370750
2015-09-04,1570.0,1574.5,1501.0,1514.0,7253900,11060348050
2015-09-03,1574.0,1618.0,1563.0,1564.5,5648000,8924585550
2015-09-02,1529.0,1590.5,1526.0,1548.5,5958100,9293394300
2015-09-01,1628.0,1628.0,1561.5,1561.5,7245500,11514168950
2015-08-31,1650.0,1651.5,1616.0,1634.0,5729600,9348038600
2015-08-28,1668.0,1673.0,1638.0,1651.5,6274000,10377757300
2015-08-27,1655.0,1663.0,1593.0,1603.5,8291000,13399200650
2015-08-26,1531.0,1618.0,1525.0,1601.0,10257100,16121566950
2015-08-25,1510.0,1623.5,1496.5,1519.0,14508000,22463917150
2015-08-24,1630.0,1643.5,1573.5,1578.5,10650000,17105117750
2015-08-21,1690.0,1713.0,1681.0,1689.0,8106700,13740364700
2015-08-20,1792.0,1794.5,1753.0,1755.0,4538100,8052300250
2015-08-19,1804.0,1824.0,1790.5,1791.5,4106900,7397911150
2015-08-18,1805.0,1831.5,1798.5,1816.0,3902800,7099389200
2015-08-17,1819.5,1831.5,1786.0,1800.5,4909000,8844318750
2015-08-14,1810.0,1824.5,1798.5,1815.5,4843500,8774722200
2015-08-13,1843.0,1855.5,1805.5,1818.5,6040700,10990619750
2015-08-12,1860.0,1877.0,1829.0,1847.0,6813100,12601890850
2015-08-11,1866.0,1888.5,1840.0,1865.0,6520800,12152302250
2015-08-10,1855.0,1862.0,1828.5,1857.5,3892000,7197963150
2015-08-07,1829.0,1857.5,1801.0,1855.0,5525200,10152261250
2015-08-06,1871.5,1874.0,1834.0,1838.0,5966600,11051593550
2015-08-05,1829.0,1859.0,1818.0,1850.5,6013000,11076902550
2015-08-04,1827.0,1871.0,1818.5,1834.5,9717800,17883588450
2015-08-03,1853.0,1864.5,1801.0,1823.0,10021400,18233808800
2015-07-31,1814.5,1886.0,1790.0,1853.0,22288100,40967157000
2015-07-30,1680.5,1700.5,1676.0,1694.5,10015400,16930474450
2015-07-29,1674.0,1675.0,1636.0,1651.0,10739300,17748718000
2015-07-28,1660.0,1685.0,1637.5,1669.0,9722600,16174737050
2015-07-27,1695.0,1705.0,1678.0,1689.0,6975500,11786135550
2015-07-24,1735.0,1739.5,1698.5,1709.5,9281300,15904508350
2015-07-23,1755.5,1756.0,1732.0,1751.0,8357000,14606553950
2015-07-22,1765.0,1765.0,1718.0,1729.0,10518600,18251563050
2015-07-21,1810.0,1811.5,1762.5,1782.5,8779300,15628962100
2015-07-17,1802.0,1810.0,1791.5,1806.0,4480000,8084074050
2015-07-16,1801.0,1806.5,1793.5,1801.0,4250300,7649360350
2015-07-15,1811.0,1813.0,1776.0,1786.0,5880200,10525648500
2015-07-14,1810.0,1821.5,1792.5,1804.0,5957200,10758144600
2015-07-13,1780.0,1783.0,1760.0,1765.0,5742200,10157963050
2015-07-10,1722.0,1760.5,1702.0,1745.5,9105400,15849625000
2015-07-09,1661.0,1727.5,1643.0,1714.5,12783000,21587982100
