8609-T,東証1部,岡三,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,732,734,719,728,452000,328749000
2015-10-01,727,746,716,740,714000,526005000
2015-09-30,700,726,699,717,700000,501699000
2015-09-29,703,703,681,686,706000,486847000
2015-09-28,716,731,705,710,586000,419093000
2015-09-25,700,716,694,716,838000,592017000
2015-09-24,717,730,700,700,585000,413054000
2015-09-18,744,744,727,734,552000,405688000
2015-09-17,735,753,732,751,554000,413359000
2015-09-16,735,736,724,729,346000,252118000
2015-09-15,729,740,721,723,392000,285709000
2015-09-14,737,741,721,725,449000,326811000
2015-09-11,716,744,716,737,807000,588885000
2015-09-10,711,734,711,728,1003000,726272000
2015-09-09,715,739,713,739,850000,618439000
2015-09-08,693,704,685,688,502000,347842000
2015-09-07,690,700,680,698,537000,371101000
2015-09-04,716,719,687,699,891000,622980000
2015-09-03,727,737,714,716,560000,404013000
2015-09-02,707,732,700,717,944000,679092000
2015-09-01,747,750,716,717,902000,655562000
2015-08-31,763,766,738,750,931000,696873000
2015-08-28,760,770,754,768,864000,658617000
2015-08-27,760,767,730,732,982000,730617000
2015-08-26,711,742,710,735,885000,640640000
2015-08-25,701,750,680,703,1005000,716885000
2015-08-24,774,776,732,734,1094000,821871000
2015-08-21,802,807,790,794,873000,696612000
2015-08-20,836,841,825,828,367000,305813000
2015-08-19,855,858,843,844,378000,321069000
2015-08-18,862,863,853,861,326000,280063000
2015-08-17,854,861,854,859,237000,203190000
2015-08-14,865,867,849,852,449000,383705000
2015-08-13,869,871,858,869,551000,476783000
2015-08-12,876,882,869,873,577000,504573000
2015-08-11,896,903,876,886,560000,498128000
2015-08-10,882,895,875,892,362000,320654000
2015-08-07,876,886,873,885,355000,313065000
2015-08-06,887,892,876,881,460000,407220000
2015-08-05,868,884,862,880,372000,326412000
2015-08-04,864,876,862,867,325000,281772000
2015-08-03,880,881,863,874,458000,399133000
2015-07-31,902,902,881,887,551000,489292000
2015-07-30,859,915,855,900,1368000,1215411000
2015-07-29,857,864,844,846,526000,447483000
2015-07-28,844,864,839,857,767000,653276000
2015-07-27,857,861,846,851,518000,441531000
2015-07-24,865,876,865,868,433000,376790000
2015-07-23,866,873,861,872,350000,304183000
2015-07-22,867,869,862,866,371000,321474000
2015-07-21,880,880,869,875,345000,301470000
2015-07-17,878,881,868,872,349000,304832000
2015-07-16,874,878,868,875,451000,394056000
2015-07-15,877,880,862,871,652000,566913000
2015-07-14,872,879,868,872,620000,541576000
2015-07-13,850,860,850,854,320000,273649000
2015-07-10,831,848,827,839,587000,491788000
2015-07-09,820,833,800,832,1091000,890713000
2015-07-08,865,869,840,842,1027000,871737000
2015-07-07,872,882,869,871,577000,504554000
2015-07-06,877,881,859,862,649000,563064000
2015-07-03,883,896,883,893,449000,400294000
2015-07-02,896,900,888,889,546000,488094000
2015-07-01,869,887,865,886,555000,487192000
2015-06-30,859,865,851,861,700000,599742000
2015-06-29,855,874,855,859,813000,701823000
2015-06-26,888,899,882,898,435000,387848000
2015-06-25,894,897,887,890,454000,404967000
2015-06-24,907,912,904,904,687000,623575000
2015-06-23,900,905,896,903,631000,568917000
2015-06-22,880,893,880,892,481000,426819000
2015-06-19,878,882,870,881,376000,329544000
2015-06-18,874,877,866,867,715000,622318000
2015-06-17,874,879,871,874,510000,446112000
2015-06-16,880,881,866,872,946000,825283000
2015-06-15,885,891,882,885,622000,550997000
2015-06-12,895,897,886,895,783000,699849000
2015-06-11,889,900,889,895,470000,420402000
2015-06-10,892,898,882,884,790000,702164000
2015-06-09,906,906,893,893,587000,528042000
2015-06-08,911,914,901,909,440000,399613000
2015-06-05,902,907,896,905,533000,480448000
2015-06-04,905,916,901,910,681000,619408000
2015-06-03,896,904,893,899,640000,575100000
2015-06-02,909,909,895,896,586000,527099000
2015-06-01,905,911,897,905,597000,539552000
2015-05-29,916,920,905,910,721000,656928000
2015-05-28,920,928,915,924,605000,557842000
2015-05-27,912,914,908,912,462000,421079000
2015-05-26,928,929,915,919,442000,406988000
2015-05-25,925,936,923,930,722000,672038000
2015-05-22,917,917,905,914,553000,504094000
2015-05-21,932,938,915,916,476000,439909000
2015-05-20,917,936,917,928,886000,822829000
2015-05-19,911,920,908,916,538000,492640000
2015-05-18,904,916,904,908,455000,413140000
2015-05-15,906,918,903,906,555000,504327000
2015-05-14,905,911,898,901,735000,663258000
2015-05-13,910,917,903,916,525000,478570000
2015-05-12,920,925,908,919,619000,566636000
2015-05-11,935,939,924,925,800000,744208000
2015-05-08,913,921,906,920,491000,450244000
2015-05-07,897,917,889,913,1081000,982561000
2015-05-01,904,909,883,899,1743000,1560538000
2015-04-30,930,932,911,916,1278000,1174208000
2015-04-28,942,944,922,939,1128000,1055471000
2015-04-27,942,947,932,939,874000,820622000
2015-04-24,999,1002,941,944,1973000,1891265000
2015-04-23,1000,1014,987,996,2147000,2154685000
2015-04-22,966,995,965,992,1442000,1420638000
2015-04-21,948,971,943,971,666000,638773000
2015-04-20,952,958,941,943,617000,585787000
2015-04-17,966,977,963,967,435000,421628000
2015-04-16,957,976,957,975,650000,628496000
2015-04-15,967,974,952,956,562000,541020000
2015-04-14,977,981,972,978,513000,501024000
2015-04-13,973,978,965,977,520000,506022000
2015-04-10,966,977,961,965,568000,549438000
2015-04-09,961,966,956,962,517000,496712000
2015-04-08,965,968,954,959,547000,525495000
2015-04-07,960,969,955,961,512000,493169000
2015-04-06,943,956,938,955,496000,471245000
2015-04-03,952,958,932,955,715000,678681000
2015-04-02,944,962,944,948,746000,710028000
2015-04-01,943,955,930,942,853000,803928000
2015-03-31,965,980,952,955,1224000,1184881000
2015-03-30,932,952,922,949,867000,814184000
2015-03-27,945,960,931,941,1069000,1010666000
2015-03-26,982,985,964,967,1623000,1578437000
2015-03-25,991,1005,990,1005,907000,903589000
2015-03-24,1016,1016,993,998,1059000,1061084000
2015-03-23,1020,1032,1018,1022,1185000,1213832000
2015-03-20,1005,1010,993,1008,946000,947646000
2015-03-19,1008,1009,985,1005,1122000,1120218000
2015-03-18,983,1005,970,1002,1083000,1074362000
2015-03-17,960,995,960,987,1689000,1659004000
2015-03-16,945,954,942,947,466000,441803000
2015-03-13,946,955,943,946,925000,877054000
2015-03-12,935,950,935,943,657000,619602000
2015-03-11,917,934,915,932,448000,416205000
2015-03-10,930,938,924,929,536000,498202000
2015-03-09,931,938,924,932,503000,469176000
2015-03-06,920,939,920,939,723000,674840000
2015-03-05,918,927,914,916,455000,418142000
2015-03-04,909,928,908,923,529000,485279000
2015-03-03,925,929,916,919,492000,452891000
2015-03-02,924,931,923,925,406000,376434000
2015-02-27,931,935,921,928,678000,628328000
2015-02-26,932,936,924,935,587000,546662000
2015-02-25,937,939,928,932,578000,539538000
2015-02-24,924,938,921,933,531000,494303000
2015-02-23,935,940,912,923,1092000,1010983000
2015-02-20,931,939,922,935,755000,702065000
2015-02-19,921,932,916,930,719000,664885000
2015-02-18,899,922,897,918,865000,789836000
2015-02-17,890,898,883,893,630000,562415000
2015-02-16,871,890,871,888,871000,770915000
2015-02-13,861,867,860,863,460000,397118000
2015-02-12,852,865,849,861,703000,604057000
2015-02-10,835,840,834,838,328000,274581000
2015-02-09,846,846,834,840,350000,294042000
2015-02-06,828,841,828,836,581000,485001000
2015-02-05,825,831,816,824,505000,416103000
2015-02-04,827,847,825,835,654000,546976000
2015-02-03,828,828,809,813,891000,725770000
2015-02-02,830,835,803,820,843000,686151000
2015-01-30,881,881,834,836,920000,782357000
2015-01-29,875,885,868,870,473000,413577000
2015-01-28,880,891,874,886,406000,358345000
2015-01-27,874,887,874,886,406000,358587000
2015-01-26,864,871,860,870,397000,343477000
2015-01-23,876,879,866,871,498000,434171000
2015-01-22,866,868,851,861,560000,480474000
2015-01-21,880,891,863,871,1163000,1018905000
2015-01-20,842,884,842,883,804000,699396000
2015-01-19,853,862,834,847,1048000,890956000
2015-01-16,853,862,841,852,1402000,1194226000
2015-01-15,855,875,854,873,695000,600733000
2015-01-14,863,870,855,857,418000,359919000
2015-01-13,875,876,852,875,650000,560620000
2015-01-09,894,894,875,880,622000,548888000
2015-01-08,885,898,882,887,627000,556328000
2015-01-07,871,885,868,872,698000,610970000
2015-01-06,895,899,881,883,726000,645901000
2015-01-05,910,924,900,914,494000,449717000
2014-12-30,928,928,914,915,350000,321162000
2014-12-29,938,940,911,927,457000,423506000
2014-12-26,920,937,920,934,283000,263461000
2014-12-25,929,931,920,923,455000,420620000
2014-12-24,941,947,930,934,483000,453388000
2014-12-22,943,946,927,933,514000,479442000
2014-12-19,940,944,929,943,773000,724758000
2014-12-18,920,931,909,910,732000,672675000
2014-12-17,873,903,873,894,762000,679246000
2014-12-16,885,888,875,881,732000,645920000
2014-12-15,915,917,900,902,701000,637170000
2014-12-12,930,946,903,930,1142000,1062584000
2014-12-11,924,936,908,933,615000,568275000
2014-12-10,947,964,937,944,808000,763787000
2014-12-09,982,997,962,962,812000,793108000
2014-12-08,1013,1019,997,1003,759000,764615000
2014-12-05,999,1005,985,1002,817000,816795000
2014-12-04,1000,1018,995,997,1168000,1171609000
2014-12-03,975,1000,975,985,2133000,2110150000
2014-12-02,950,964,945,963,622000,595583000
2014-12-01,946,960,946,956,557000,531973000
2014-11-28,938,953,938,950,723000,685043000
2014-11-27,945,949,938,938,578000,544710000
2014-11-26,950,956,946,950,653000,621104000
2014-11-25,958,966,951,956,758000,725266000
2014-11-21,936,955,932,950,857000,809326000
2014-11-20,950,951,932,936,662000,621907000
2014-11-19,947,964,938,941,772000,732881000
2014-11-18,943,948,938,943,733000,690611000
2014-11-17,950,954,930,935,1172000,1100713000
2014-11-14,959,966,943,958,1158000,1105690000
2014-11-13,938,952,933,952,934000,883324000
2014-11-12,950,955,933,936,1211000,1144401000
2014-11-11,939,947,932,941,1387000,1303344000
2014-11-10,911,940,908,935,1459000,1356871000
2014-11-07,930,930,918,922,848000,782800000
2014-11-06,943,953,914,918,2037000,1899878000
2014-11-05,914,947,912,946,3096000,2888905000
2014-11-04,900,935,882,927,5518000,5033853000
2014-10-31,750,835,750,823,2337000,1855557000
2014-10-30,767,769,735,737,1736000,1294409000
2014-10-29,752,770,750,768,757000,579053000
2014-10-28,745,749,738,743,328000,243536000
2014-10-27,750,750,744,748,321000,239959000
2014-10-24,761,761,744,745,618000,464360000
2014-10-23,753,756,745,747,479000,358994000
2014-10-22,753,765,753,762,690000,523776000
2014-10-21,759,761,741,743,654000,490321000
2014-10-20,737,759,737,756,811000,609124000
2014-10-17,715,722,710,711,719000,513384000
2014-10-16,715,717,711,713,845000,603002000
2014-10-15,730,737,726,734,451000,330067000
2014-10-14,727,736,725,728,714000,521466000
2014-10-10,727,743,726,742,777000,571779000
2014-10-09,761,764,743,745,704000,530058000
2014-10-08,743,756,742,755,643000,481299000
2014-10-07,766,769,757,759,720000,548939000
2014-10-06,763,771,758,766,564000,431843000
2014-10-03,743,754,741,749,825000,615952000
2014-10-02,762,762,747,750,924000,697582000
2014-10-01,775,781,772,772,733000,568618000
2014-09-30,786,793,772,780,721000,561743000
2014-09-29,787,789,779,786,706000,553830000
2014-09-26,778,782,771,777,1063000,826124000
2014-09-25,797,800,791,796,746000,592990000
