8628-T,東証1部,松井証,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1068,1079,1060,1070,1032100,1102655300
2015-10-01,1032,1084,1026,1073,1844400,1964850200
2015-09-30,1008,1044,1006,1032,1344800,1386892300
2015-09-29,1010,1012,990,993,1509600,1508017300
2015-09-28,1035,1044,1022,1026,1147400,1183586700
2015-09-25,1040,1063,1032,1058,2204300,2309146600
2015-09-24,1053,1060,1035,1037,1395000,1453613000
2015-09-18,1077,1082,1067,1073,1435700,1543313900
2015-09-17,1080,1086,1072,1085,1297100,1401727400
2015-09-16,1076,1078,1067,1075,722500,775100700
2015-09-15,1070,1083,1064,1066,930800,997318300
2015-09-14,1081,1082,1059,1066,1033400,1102850200
2015-09-11,1042,1081,1042,1076,2625100,2765953700
2015-09-10,1030,1055,1023,1050,1366000,1424085300
2015-09-09,1020,1059,1006,1059,2027700,2105840500
2015-09-08,1000,1007,983,986,1251000,1242177900
2015-09-07,983,996,967,991,1157900,1138932500
2015-09-04,1011,1012,980,991,1561800,1550840600
2015-09-03,1027,1034,1004,1007,930800,942070700
2015-09-02,1000,1031,998,1009,1214200,1230940200
2015-09-01,1046,1049,1019,1021,1982300,2047499000
2015-08-31,1050,1057,1039,1054,1216100,1276197400
2015-08-28,1039,1055,1031,1055,1664800,1743287300
2015-08-27,1030,1039,1007,1015,1685900,1718896000
2015-08-26,972,1007,965,1004,2090900,2056660600
2015-08-25,988,1019,954,973,3188100,3153026800
2015-08-24,1030,1059,1011,1018,2702900,2784550400
2015-08-21,1031,1069,1030,1053,2576900,2714661100
2015-08-20,1085,1089,1060,1061,1222900,1308398500
2015-08-19,1102,1108,1086,1086,1005600,1100507100
2015-08-18,1105,1106,1095,1100,613000,674974100
2015-08-17,1098,1103,1094,1103,520100,571804200
2015-08-14,1098,1101,1092,1095,738900,809861400
2015-08-13,1103,1107,1088,1106,1289400,1416792000
2015-08-12,1111,1117,1091,1099,1217400,1339680600
2015-08-11,1123,1132,1108,1117,1139700,1273360700
2015-08-10,1113,1122,1110,1114,769600,857833300
2015-08-07,1118,1122,1110,1120,840100,938032600
2015-08-06,1129,1132,1119,1120,707800,794866400
2015-08-05,1114,1127,1114,1120,857600,961124400
2015-08-04,1116,1120,1110,1113,557600,621057900
2015-08-03,1126,1130,1110,1118,756400,844492000
2015-07-31,1143,1143,1130,1135,642500,730200500
2015-07-30,1126,1151,1125,1143,1771800,2024859500
2015-07-29,1126,1130,1111,1115,581800,650767600
2015-07-28,1100,1123,1096,1117,973700,1077810000
2015-07-27,1122,1130,1115,1120,849800,952998300
2015-07-24,1124,1133,1124,1127,517100,583065600
2015-07-23,1119,1133,1115,1130,671700,756698000
2015-07-22,1121,1127,1118,1119,630900,708074500
2015-07-21,1143,1143,1130,1137,908000,1032442500
2015-07-17,1130,1134,1125,1132,791600,894986500
2015-07-16,1129,1131,1115,1125,813900,916418800
2015-07-15,1120,1129,1114,1123,776300,869547100
2015-07-14,1107,1119,1103,1119,1225100,1363855000
2015-07-13,1077,1092,1071,1092,753900,819178800
2015-07-10,1056,1085,1046,1067,1208400,1288015800
2015-07-09,1026,1060,1014,1057,1607900,1664074800
2015-07-08,1097,1098,1056,1056,1541400,1647351100
2015-07-07,1100,1109,1098,1101,850200,937838500
2015-07-06,1090,1099,1077,1083,1111900,1207511600
2015-07-03,1102,1116,1102,1116,651600,724361700
2015-07-02,1108,1114,1101,1104,676300,749130900
2015-07-01,1084,1097,1078,1094,673700,733967900
2015-06-30,1071,1077,1063,1075,986800,1056478800
2015-06-29,1080,1087,1066,1068,1443300,1552901100
2015-06-26,1101,1120,1101,1114,702400,781625400
2015-06-25,1111,1116,1106,1112,501200,557437300
2015-06-24,1125,1129,1119,1119,982000,1103650900
2015-06-23,1098,1123,1098,1122,1826400,2039148200
2015-06-22,1080,1098,1080,1098,974200,1063569100
2015-06-19,1068,1087,1064,1087,1909600,2062329200
2015-06-18,1080,1081,1064,1066,862900,923889300
2015-06-17,1080,1088,1078,1083,852900,923968700
2015-06-16,1080,1087,1076,1078,602400,650996400
2015-06-15,1078,1088,1075,1086,622300,674206200
2015-06-12,1089,1091,1081,1085,1656400,1801425500
2015-06-11,1071,1087,1069,1087,761100,823904700
2015-06-10,1081,1083,1061,1061,1609200,1720849700
2015-06-09,1089,1095,1081,1081,1085100,1180535500
