8703-T,東証1部,KABU.COM,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,403,403,392,393,1242400,492046200
2015-10-01,387,407,386,404,1501600,601576300
2015-09-30,375,389,375,386,884100,339358200
2015-09-29,388,388,370,373,855000,322760200
2015-09-28,392,398,385,393,1239500,488276300
2015-09-25,384,391,381,390,1143200,441906900
2015-09-24,390,393,384,384,898800,347829900
2015-09-18,397,400,391,398,994500,394561600
2015-09-17,388,399,383,397,1033900,404382700
2015-09-16,397,397,385,387,658100,255683200
2015-09-15,401,401,391,393,861800,340833900
2015-09-14,400,404,393,396,939800,374313300
2015-09-11,389,400,384,397,1444800,567686800
2015-09-10,384,390,379,389,1389200,534672000
2015-09-09,369,392,365,391,1830700,694939200
2015-09-08,362,364,354,355,792400,284184700
2015-09-07,363,366,353,362,996500,359187300
2015-09-04,380,380,359,365,1434400,526118200
2015-09-03,387,390,375,376,1168000,444738700
2015-09-02,375,394,373,383,2001800,769968300
2015-09-01,394,398,385,388,2528400,989434600
2015-08-31,391,397,386,397,1566400,614978900
2015-08-28,380,395,378,388,3231800,1254657400
2015-08-27,383,384,367,369,2037000,763238900
2015-08-26,360,369,356,367,2357400,855524800
2015-08-25,348,378,337,352,3002500,1075754800
2015-08-24,379,393,371,372,2334200,887828200
2015-08-21,391,402,391,394,1626400,643177000
2015-08-20,409,409,401,402,1325800,535675300
2015-08-19,418,418,409,409,1052900,433226500
2015-08-18,416,418,413,417,786300,327353600
2015-08-17,414,416,411,415,493500,204141600
2015-08-14,411,414,411,413,427400,176306300
2015-08-13,411,415,410,414,792800,326858700
2015-08-12,414,417,410,414,1266600,523832700
2015-08-11,422,425,416,421,937400,393708100
2015-08-10,415,419,414,419,763100,317823100
2015-08-07,420,420,412,415,926100,383795600
2015-08-06,421,423,417,417,992600,417088700
2015-08-05,416,421,411,417,1068400,445070500
2015-08-04,418,422,414,421,677400,283658700
2015-08-03,418,421,413,420,878900,366935200
