8707-T,東証1部,岩井コスモ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1373,1391,1352,1367,50600,69370400
2015-10-01,1347,1406,1347,1392,61500,84990200
2015-09-30,1340,1379,1338,1360,41400,56318700
2015-09-29,1350,1350,1304,1315,75900,100631500
2015-09-28,1378,1394,1352,1380,56600,78045600
2015-09-25,1339,1399,1339,1381,83600,113780900
2015-09-24,1414,1422,1356,1359,109100,150091500
2015-09-18,1430,1448,1393,1438,105100,150094100
2015-09-17,1432,1472,1387,1387,85000,122897500
2015-09-16,1442,1448,1361,1423,106800,151136200
2015-09-15,1432,1475,1420,1427,53800,77629700
2015-09-14,1466,1466,1417,1428,38800,55681900
2015-09-11,1392,1466,1392,1449,77200,109748300
2015-09-10,1378,1425,1370,1420,71100,99617300
2015-09-09,1350,1422,1350,1422,126400,176204200
2015-09-08,1322,1343,1296,1305,121900,160258400
2015-09-07,1349,1349,1303,1312,196400,259571800
2015-09-04,1443,1443,1360,1372,139900,194272600
2015-09-03,1466,1481,1438,1443,59900,87048400
2015-09-02,1408,1482,1406,1440,139500,201679400
2015-09-01,1470,1478,1425,1426,91600,132420100
2015-08-31,1485,1514,1472,1485,94900,141295900
2015-08-28,1450,1495,1450,1492,108800,160933500
2015-08-27,1425,1445,1401,1410,100400,142930200
2015-08-26,1323,1403,1323,1397,90100,123013900
2015-08-25,1275,1394,1275,1315,196300,261017000
2015-08-24,1452,1460,1360,1363,191300,268802400
2015-08-21,1520,1525,1495,1502,118200,178152400
2015-08-20,1557,1567,1545,1545,55000,85342000
2015-08-19,1584,1592,1571,1571,55900,88223600
2015-08-18,1601,1609,1592,1600,59100,94534100
2015-08-17,1600,1605,1584,1605,62900,100452600
2015-08-14,1605,1608,1584,1588,41200,65555800
2015-08-13,1603,1616,1587,1612,60600,96901500
2015-08-12,1619,1633,1600,1610,71500,115244700
2015-08-11,1639,1647,1619,1637,70700,115788800
2015-08-10,1603,1633,1598,1631,81100,131122200
2015-08-07,1595,1607,1580,1604,53200,84930000
2015-08-06,1620,1623,1602,1602,44000,71078600
2015-08-05,1608,1623,1599,1615,59400,95791700
2015-08-04,1591,1610,1591,1608,46200,73962800
2015-08-03,1598,1611,1586,1606,43200,69178000
2015-07-31,1633,1640,1608,1612,56000,90545300
2015-07-30,1625,1663,1625,1640,188600,310543000
2015-07-29,1580,1618,1572,1613,122700,197016600
2015-07-28,1539,1584,1527,1575,65400,101594500
