8713-T,東証1部,フィデアHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,246,246,240,243,309100,75071300
2015-10-01,242,245,238,243,574800,139118300
2015-09-30,237,240,234,239,793000,188064500
2015-09-29,237,239,229,233,1460600,339535600
2015-09-28,241,244,237,241,566600,136328400
2015-09-25,239,244,234,239,945400,224790200
2015-09-24,243,246,238,240,667400,161085900
2015-09-18,244,245,239,245,544200,132147800
2015-09-17,245,247,242,247,441400,107805900
2015-09-16,246,246,242,245,252500,61643400
2015-09-15,245,248,242,243,340100,83049900
2015-09-14,249,250,242,243,452500,110864400
2015-09-11,242,248,239,247,1348600,329831500
2015-09-10,234,237,229,235,815900,190564100
2015-09-09,237,240,233,238,1299100,306871000
2015-09-08,233,234,226,226,547700,125770600
2015-09-07,226,236,223,232,1006000,231700400
2015-09-04,233,234,224,227,582300,132907800
2015-09-03,234,237,231,232,804400,188155300
2015-09-02,227,238,223,232,1153900,267954100
2015-09-01,237,239,229,230,1079200,252955800
2015-08-31,238,239,234,236,970400,229821600
2015-08-28,237,241,235,240,812300,193914800
2015-08-27,235,237,228,230,895400,208076700
2015-08-26,225,229,221,228,1021000,229561500
2015-08-25,220,234,210,219,2102600,470291000
2015-08-24,244,247,229,232,1964900,465288800
2015-08-21,257,260,251,252,1322900,337456500
2015-08-20,267,269,263,264,736000,195723800
2015-08-19,274,275,268,270,1255900,341331900
2015-08-18,272,276,272,274,405800,111271900
2015-08-17,273,277,271,272,651500,178005000
2015-08-14,271,274,270,272,710700,193317700
2015-08-13,273,277,270,271,1258000,343650500
2015-08-12,275,276,271,273,847800,232045700
2015-08-11,272,277,270,277,1141600,313437400
2015-08-10,264,272,263,272,760500,203364000
2015-08-07,267,268,262,264,812400,215351500
2015-08-06,266,272,264,268,1000100,269094300
2015-08-05,260,266,257,266,676000,177453500
2015-08-04,263,264,259,263,760500,198977600
2015-08-03,265,265,260,263,507800,133223100
2015-07-31,265,266,263,266,416500,110191500
2015-07-30,264,265,261,265,1065700,281290800
2015-07-29,261,264,260,263,438400,114839300
2015-07-28,255,262,254,258,936100,240713700
2015-07-27,260,263,256,259,1045000,270726000
2015-07-24,268,269,260,264,1090200,286938600
2015-07-23,269,270,265,268,586900,156767400
2015-07-22,269,271,266,266,686700,184162300
2015-07-21,272,272,267,270,828000,223281600
2015-07-17,272,273,269,270,330900,89552900
2015-07-16,272,273,270,273,626200,170162700
2015-07-15,272,273,269,273,513500,139052900
2015-07-14,273,273,269,272,719700,195331000
