8729-T,東証1部,ソニーFH,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1982,1998,1964,1985,579700,1149181100
2015-10-01,1966,2011,1941,1994,801400,1590697500
2015-09-30,1943,1983,1943,1958,1401800,2752821600
2015-09-29,1965,1981,1906,1915,1520800,2939417500
2015-09-28,2038,2048,1989,2005,953000,1909692200
2015-09-25,2017,2041,1970,2038,1227100,2473661000
2015-09-24,1994,2035,1982,2020,1364200,2756463500
2015-09-18,2052,2052,1990,2014,1592900,3224952100
2015-09-17,2094,2097,2044,2081,1433300,2968091400
2015-09-16,2119,2119,2062,2075,954700,1990014700
2015-09-15,2112,2157,2098,2100,764400,1619694500
2015-09-14,2138,2143,2085,2093,1244000,2610822700
2015-09-11,2125,2151,2112,2139,1355600,2888498700
2015-09-10,2152,2173,2124,2162,1423100,3065832900
2015-09-09,2163,2224,2120,2224,1775500,3859167600
2015-09-08,2139,2156,2081,2097,1317000,2770745300
2015-09-07,2155,2174,2123,2147,948700,2031384900
2015-09-04,2206,2217,2138,2158,1248300,2712158800
2015-09-03,2224,2250,2202,2205,686800,1527476100
2015-09-02,2182,2226,2160,2188,1345200,2949349700
2015-09-01,2249,2288,2218,2226,1884300,4239530000
2015-08-31,2252,2276,2228,2274,1460600,3285281200
2015-08-28,2250,2270,2226,2269,1762900,3966102600
2015-08-27,2191,2243,2168,2200,1475000,3259369400
2015-08-26,2070,2177,2068,2169,1811100,3834436700
2015-08-25,2080,2205,2059,2087,2403100,5103325200
2015-08-24,2202,2244,2163,2164,1966300,4317067300
2015-08-21,2250,2279,2232,2260,1770700,4008505400
2015-08-20,2373,2396,2320,2320,1154500,2706475000
2015-08-19,2420,2436,2379,2390,1266500,3039303000
2015-08-18,2454,2463,2423,2436,847600,2066719900
2015-08-17,2436,2462,2422,2433,628200,1532638400
2015-08-14,2437,2438,2397,2426,1129200,2730664900
2015-08-13,2394,2483,2391,2455,2532600,6187753900
2015-08-12,2398,2428,2340,2366,1887700,4473344800
2015-08-11,2392,2419,2351,2381,1523300,3631844000
2015-08-10,2371,2395,2354,2393,916500,2177538200
2015-08-07,2340,2418,2340,2414,686000,1643470600
2015-08-06,2390,2413,2376,2386,979500,2342239700
2015-08-05,2349,2378,2346,2352,812900,1916831600
2015-08-04,2350,2365,2335,2349,961400,2261188400
2015-08-03,2394,2409,2338,2355,1811000,4262708500
2015-07-31,2378,2392,2360,2371,1628500,3858486800
2015-07-30,2410,2436,2393,2398,1075500,2595759100
2015-07-29,2389,2409,2376,2376,601000,1435616500
2015-07-28,2380,2393,2347,2370,1088900,2578936200
2015-07-27,2356,2395,2344,2376,2370000,5611080100
2015-07-24,2392,2395,2370,2371,1151100,2739056500
2015-07-23,2341,2388,2333,2375,1422600,3374622400
2015-07-22,2375,2381,2345,2369,1527300,3616774000
2015-07-21,2427,2450,2385,2401,2148900,5164525500
2015-07-17,2388,2435,2373,2427,1753000,4214383100
2015-07-16,2349,2416,2348,2414,2511500,6018530200
2015-07-15,2337,2344,2308,2323,1764100,4103310900
2015-07-14,2330,2337,2294,2311,1896900,4394264000
2015-07-13,2278,2316,2278,2309,1452000,3341179900
2015-07-10,2221,2302,2212,2271,3951400,8944487700
2015-07-09,2104,2198,2090,2196,2233300,4796833200
2015-07-08,2219,2230,2131,2134,2489100,5400769200
2015-07-07,2255,2264,2222,2233,2582100,5799779700
2015-07-06,2238,2275,2230,2250,3387600,7635063700
2015-07-03,2280,2296,2254,2288,2149700,4907397300
2015-07-02,2321,2347,2271,2307,2946100,6808747800
2015-07-01,2169,2265,2151,2221,3671400,8166140000
2015-06-30,2076,2193,2050,2146,3521000,7478799500
2015-06-29,2062,2094,2053,2075,946900,1967492400
2015-06-26,2100,2121,2081,2113,763600,1607796800
2015-06-25,2115,2126,2094,2099,916900,1931299500
2015-06-24,2137,2138,2111,2115,902800,1914431600
2015-06-23,2147,2170,2119,2134,1004000,2148071600
2015-06-22,2077,2125,2073,2119,714500,1508648800
2015-06-19,2090,2108,2070,2077,804400,1673652100
2015-06-18,2113,2117,2070,2082,809300,1688358500
2015-06-17,2130,2141,2107,2113,595900,1264191500
2015-06-16,2148,2155,2110,2118,662500,1407179200
2015-06-15,2106,2178,2100,2156,1305000,2798198000
2015-06-12,2090,2112,2074,2107,1537300,3221467300
2015-06-11,2106,2116,2071,2086,1547300,3228181800
2015-06-10,2091,2119,2068,2088,1434000,3003490400
2015-06-09,2138,2143,2092,2097,1519800,3217442800
2015-06-08,2150,2179,2145,2169,1375200,2975436200
2015-06-05,2141,2149,2120,2142,1303900,2785800500
2015-06-04,2180,2229,2166,2171,2790400,6116234100
2015-06-03,2155,2180,2129,2139,1579800,3399330400
2015-06-02,2222,2246,2171,2180,1419200,3102898500
2015-06-01,2182,2222,2170,2215,1314200,2895863800
2015-05-29,2170,2208,2161,2176,1398100,3047850900
2015-05-28,2185,2229,2159,2190,1536100,3375199300
2015-05-27,2140,2179,2109,2168,1375000,2960070900
2015-05-26,2154,2160,2121,2142,1857600,3976164500
2015-05-25,2210,2211,2167,2175,1187100,2585226600
2015-05-22,2219,2235,2178,2188,1374000,3016784300
2015-05-21,2218,2267,2211,2234,1288100,2887026600
2015-05-20,2280,2293,2197,2203,1768600,3928035800
2015-05-19,2255,2280,2233,2250,1334800,3003315000
2015-05-18,2208,2276,2192,2239,1994300,4482583700
2015-05-15,2195,2204,2120,2158,1070900,2320045500
2015-05-14,2179,2216,2154,2165,617200,1340290100
2015-05-13,2194,2200,2163,2172,553400,1203999500
2015-05-12,2198,2239,2174,2207,890900,1960204500
2015-05-11,2200,2225,2172,2172,1124900,2467930500
2015-05-08,2155,2173,2136,2166,784000,1691999100
2015-05-07,2152,2193,2140,2155,1299300,2804366500
2015-05-01,2187,2187,2118,2144,1401600,2999886000
2015-04-30,2168,2189,2155,2160,1500300,3249404400
2015-04-28,2170,2193,2165,2188,2025400,4419134800
2015-04-27,2173,2196,2167,2177,1791300,3900692600
2015-04-24,2199,2237,2181,2212,1112900,2459980300
2015-04-23,2251,2268,2192,2208,2120600,4690598600
2015-04-22,2244,2285,2222,2234,2720900,6103350700
2015-04-21,2097,2100,2070,2094,1271300,2660601700
2015-04-20,2055,2082,2040,2072,533600,1105107900
2015-04-17,2093,2115,2076,2078,934000,1952205300
2015-04-16,2058,2091,2053,2091,919200,1907171400
2015-04-15,2055,2079,2053,2066,944700,1953445900
2015-04-14,2041,2081,2040,2068,559400,1157605100
2015-04-13,2070,2072,2036,2050,1088800,2231060200
2015-04-10,2061,2077,2047,2073,1117700,2308838800
