8801-T,東証1部,三井不,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,3401,3426,3358,3402,2658000,9011738000
2015-10-01,3320,3459,3312,3430,6549000,22265146000
2015-09-30,3248,3267,3194,3263,4615000,14981730000
2015-09-29,3274,3278,3183,3210,5636000,18174543000
2015-09-28,3309,3368,3289,3320,4662000,15501950000
2015-09-25,3148,3320,3130,3315,6442000,20925334000
2015-09-24,3118,3201,3109,3119,5688000,17875410000
2015-09-18,3261.0,3268.5,3183.0,3186.0,5387000,17288263500
2015-09-17,3258.5,3260.0,3214.0,3248.0,3563000,11541498000
2015-09-16,3296.0,3308.0,3226.0,3243.0,2876000,9368748500
2015-09-15,3305.0,3345.0,3262.5,3264.0,3649000,12027100000
2015-09-14,3305.5,3337.5,3279.0,3279.0,2938000,9714736500
2015-09-11,3200.0,3331.5,3199.0,3291.0,6221000,20221883500
2015-09-10,3209.5,3260.0,3180.5,3253.0,3531000,11400902500
2015-09-09,3199.5,3309.0,3152.0,3300.0,5181000,16816022000
2015-09-08,3142.0,3174.0,3073.0,3076.0,3067000,9521109000
2015-09-07,3145.0,3171.5,3061.5,3129.5,5095000,15929440500
2015-09-04,3255.5,3273.5,3144.0,3184.0,4617000,14748250000
2015-09-03,3298.0,3327.0,3216.5,3220.5,3638000,11863761500
2015-09-02,3197.5,3350.0,3190.0,3232.0,3903000,12692380000
2015-09-01,3339.5,3359.0,3241.5,3241.5,4508000,14830450500
2015-08-31,3345.0,3378.0,3330.0,3360.0,3957000,13277345000
2015-08-28,3422.5,3442.0,3396.0,3432.0,4622000,15811614500
2015-08-27,3361.0,3388.0,3311.5,3316.0,4417000,14791184000
2015-08-26,3242.5,3304.5,3166.5,3272.0,5479000,17745291500
2015-08-25,3220.0,3432.5,3123.0,3200.0,8160000,26636652500
2015-08-24,3466.0,3492.0,3261.0,3317.0,10864000,36825739500
2015-08-21,3713.5,3734.5,3598.0,3616.0,6974000,25429974500
2015-08-20,3780.0,3831.0,3763.0,3783.5,3601000,13681627000
2015-08-19,3780.0,3864.5,3748.0,3750.5,3889000,14797712500
2015-08-18,3805.0,3809.0,3765.0,3778.5,2611000,9874680000
2015-08-17,3830.0,3844.5,3761.0,3794.0,3497000,13267837500
2015-08-14,3780.0,3879.0,3765.5,3815.0,8113000,31020560000
2015-08-13,3674.0,3732.5,3663.0,3720.5,3412000,12666622500
2015-08-12,3702.5,3752.0,3666.0,3700.5,4385000,16244494500
2015-08-11,3719.5,3765.5,3681.5,3710.5,4535000,16870523500
2015-08-10,3674.0,3699.0,3660.0,3694.5,3218000,11846735000
2015-08-07,3711.5,3713.5,3622.5,3674.0,5243000,19197591500
2015-08-06,3758.5,3758.5,3634.0,3641.5,5586000,20569814500
2015-08-05,3518.5,3650.5,3508.0,3636.0,7729000,27948764500
2015-08-04,3440.0,3488.0,3431.0,3485.5,2556000,8854876000
2015-08-03,3523.0,3540.0,3452.0,3464.5,3157000,10972287000
2015-07-31,3520.0,3545.0,3506.0,3528.5,3140000,11089887000
2015-07-30,3480.0,3524.5,3468.0,3513.0,2737000,9591718500
2015-07-29,3508.0,3514.0,3442.5,3445.0,2341000,8100791500
2015-07-28,3453.5,3515.0,3420.5,3477.5,3800000,13174603000
2015-07-27,3478.0,3509.5,3443.0,3500.0,2447000,8524508500
2015-07-24,3513.0,3544.0,3505.0,3512.5,2105000,7413871000
2015-07-23,3509.0,3532.0,3496.0,3510.0,2188000,7687748000
2015-07-22,3513.0,3527.5,3484.0,3501.5,2147000,7526032000
2015-07-21,3551.0,3551.0,3520.0,3542.0,2452000,8666433500
2015-07-17,3544.0,3556.0,3524.5,3534.5,2582000,9138519500
2015-07-16,3500.0,3525.5,3467.0,3525.5,4678000,16409708000
2015-07-15,3521.0,3523.5,3462.0,3480.5,3902000,13622045500
2015-07-14,3489.0,3506.0,3439.5,3468.0,4924000,17119842000
2015-07-13,3365.5,3427.0,3349.5,3403.0,3660000,12417718000
2015-07-10,3318.5,3446.0,3306.5,3354.0,6399000,21577165000
2015-07-09,3228.5,3339.5,3192.5,3332.0,6173000,20195715500
2015-07-08,3385.5,3409.0,3295.0,3295.0,5554000,18544129000
2015-07-07,3451.5,3463.0,3408.0,3411.5,2648000,9076403000
2015-07-06,3399.0,3404.5,3368.5,3393.5,3495000,11832843500
2015-07-03,3494.0,3503.5,3432.5,3455.0,2981000,10324082000
2015-07-02,3488.0,3492.0,3443.0,3443.0,4106000,14225650000
2015-07-01,3444.5,3445.0,3402.0,3442.0,2642000,9053951000
2015-06-30,3439.5,3453.5,3397.5,3427.0,3837000,13115825000
2015-06-29,3424.5,3451.5,3411.5,3417.5,4269000,14621378000
2015-06-26,3539.0,3553.5,3465.0,3509.5,5616000,19667002000
2015-06-25,3585.5,3598.5,3538.5,3538.5,5813000,20703854500
2015-06-24,3644.5,3683.0,3634.5,3640.0,5496000,20071329000
2015-06-23,3582.5,3623.5,3562.0,3622.5,5514000,19825365500
2015-06-22,3472.5,3568.5,3472.5,3550.0,3072000,10871688500
2015-06-19,3500.0,3527.5,3471.0,3489.0,6309000,22065863000
2015-06-18,3535.5,3545.0,3481.5,3488.0,3626000,12691258000
2015-06-17,3629.0,3629.0,3551.0,3566.5,2705000,9690157000
2015-06-16,3570.0,3612.0,3570.0,3600.5,3567000,12824659500
2015-06-15,3558.5,3598.0,3538.5,3592.0,2787000,9969002000
2015-06-12,3608.5,3608.5,3564.5,3584.0,5482000,19704513000
2015-06-11,3589.0,3607.0,3548.0,3569.0,5268000,18820042000
2015-06-10,3540.0,3629.0,3526.0,3533.5,9016000,32202417000
2015-06-09,3502.0,3538.0,3474.0,3483.5,4560000,15959044500
2015-06-08,3554.0,3556.0,3488.5,3526.5,3650000,12846369000
2015-06-05,3521.0,3547.0,3501.0,3531.5,4323000,15241308500
2015-06-04,3590.0,3592.5,3512.0,3554.0,4295000,15250306500
2015-06-03,3558.0,3563.0,3525.0,3552.0,5756000,20406448000
2015-06-02,3608.0,3629.5,3574.0,3598.0,3568000,12844756500
2015-06-01,3592.0,3614.0,3555.0,3607.5,3877000,13922114000
2015-05-29,3647.5,3672.0,3605.5,3626.5,6304000,22876840500
2015-05-28,3724.0,3728.5,3632.5,3662.0,6321000,23202359000
2015-05-27,3729.0,3739.0,3706.0,3713.5,3370000,12543750500
2015-05-26,3770.0,3776.0,3715.0,3730.0,3356000,12550920500
