8806-T,東証1部,ダイビル,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,942,957,920,929,121500,113112900
2015-10-01,931,962,925,953,210700,199858700
2015-09-30,929,945,918,928,166900,155482300
2015-09-29,948,948,905,915,171300,157304800
2015-09-28,951,976,940,965,135000,129809800
2015-09-25,931,950,923,943,275800,258269700
2015-09-24,933,953,925,931,215500,201535900
2015-09-18,964,967,942,948,161600,154411100
2015-09-17,926,965,925,963,260400,248050600
2015-09-16,938,938,917,919,77200,71351100
2015-09-15,935,952,929,929,161100,150831700
2015-09-14,925,953,925,940,216300,203725000
2015-09-11,904,930,902,916,409600,375572900
2015-09-10,920,923,908,917,269700,247650500
2015-09-09,940,951,933,940,308000,289207400
2015-09-08,940,947,920,920,119700,111500100
2015-09-07,949,954,931,944,185600,174749300
2015-09-04,966,973,947,956,306300,292772600
2015-09-03,974,987,953,955,176600,170268500
2015-09-02,959,991,953,963,183500,177579700
2015-09-01,1022,1028,970,970,238200,235681400
2015-08-31,1003,1032,994,1032,165200,168421000
2015-08-28,1007,1013,991,1006,172300,172675700
2015-08-27,1000,1005,975,976,196100,193263300
2015-08-26,968,991,959,985,225800,219708300
2015-08-25,970,1018,951,968,239700,236274400
2015-08-24,1039,1055,1011,1013,205000,210828800
2015-08-21,1073,1084,1062,1069,139400,149363000
2015-08-20,1138,1138,1100,1102,132800,147905200
2015-08-19,1130,1159,1129,1141,99800,114637800
2015-08-18,1126,1137,1119,1131,79300,89385300
2015-08-17,1149,1150,1119,1128,117300,132424700
2015-08-14,1136,1154,1125,1145,179700,205552700
2015-08-13,1100,1130,1100,1129,145500,163247400
2015-08-12,1108,1121,1103,1110,174400,193872900
2015-08-11,1100,1120,1091,1115,177900,197600900
2015-08-10,1086,1094,1067,1091,306000,330844500
2015-08-07,1112,1115,1091,1099,231500,254283300
2015-08-06,1149,1158,1124,1126,116700,132485300
2015-08-05,1130,1164,1130,1143,174700,200325700
2015-08-04,1115,1130,1111,1128,78400,87918000
2015-08-03,1141,1148,1107,1114,129800,145391600
2015-07-31,1107,1142,1106,1132,344400,388927700
2015-07-30,1087,1104,1079,1097,147800,161884700
2015-07-29,1082,1092,1051,1082,423400,453145600
2015-07-28,1070,1071,1051,1061,299700,317700900
2015-07-27,1076,1082,1062,1076,149100,159798800
2015-07-24,1090,1093,1074,1076,333200,360785500
2015-07-23,1104,1109,1086,1095,169500,186048300
2015-07-22,1135,1135,1091,1099,470800,523537700
2015-07-21,1142,1152,1129,1147,308800,351240300
2015-07-17,1129,1146,1127,1132,162500,184387000
2015-07-16,1121,1123,1094,1121,241500,267910200
2015-07-15,1110,1139,1109,1115,193400,217043000
2015-07-14,1120,1140,1116,1135,351800,397186000
2015-07-13,1087,1107,1080,1102,138600,152423500
2015-07-10,1091,1098,1063,1077,262100,282699500
2015-07-09,1056,1097,1052,1094,290200,311323900
2015-07-08,1105,1109,1080,1080,201300,219783300
2015-07-07,1121,1135,1111,1111,149400,166942200
2015-07-06,1112,1121,1101,1106,145900,161738900
2015-07-03,1135,1154,1120,1127,157900,178842700
2015-07-02,1135,1147,1129,1136,403400,460501200
2015-07-01,1133,1134,1114,1121,143400,160721300
2015-06-30,1118,1147,1118,1133,373000,424635600
2015-06-29,1112,1127,1105,1115,191200,213284800
2015-06-26,1140,1155,1130,1142,160900,183457300
