8830-T,東証1部,住友不,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,4006,4068,3938,3996,1813000,7223963000
2015-10-01,3851,4116,3832,4037,3695000,14853196000
2015-09-30,3833,3850,3702,3791,2593000,9788124000
2015-09-29,3880,3881,3714,3771,2529000,9559076000
2015-09-28,3932,4020,3904,3950,1826000,7235016000
2015-09-25,3772,3944,3770,3936,3189000,12382868000
2015-09-24,3780,3846,3780,3797,2059000,7851892000
2015-09-18,3943.0,3951.5,3835.0,3849.5,2333000,9033666500
2015-09-17,3929.0,3947.0,3890.0,3941.5,1420000,5569403500
2015-09-16,3950.0,3972.0,3862.0,3885.5,1167000,4544506000
2015-09-15,3963.0,3997.5,3880.0,3896.5,1755000,6893964000
2015-09-14,3964.5,3996.5,3897.0,3918.5,1502000,5913539000
2015-09-11,3898.5,3999.5,3852.0,3951.0,4642000,18255902500
2015-09-10,3794.5,3879.0,3766.0,3871.0,1919000,7357320000
2015-09-09,3771.5,3905.5,3716.0,3895.0,3383000,12956996000
2015-09-08,3698.0,3747.5,3620.5,3631.5,1823000,6678080500
2015-09-07,3701.0,3739.0,3601.0,3698.0,2628000,9660543000
2015-09-04,3872.5,3892.5,3702.0,3750.5,4066000,15306303000
2015-09-03,3940.0,3980.5,3861.5,3872.0,2164000,8447334500
2015-09-02,3866.5,3995.5,3853.5,3910.5,1929000,7580932500
2015-09-01,4081.5,4099.0,3953.0,3953.0,2264000,9077623000
2015-08-31,4050.0,4118.0,4035.0,4101.0,1916000,7819954500
2015-08-28,4163.0,4178.0,4118.0,4165.5,2083000,8644187000
2015-08-27,4050.0,4149.5,4032.0,4071.5,2795000,11440901500
2015-08-26,3890.0,4024.0,3814.0,3986.5,2849000,11151170500
2015-08-25,3910.0,4160.0,3800.0,3917.0,4327000,17256750500
2015-08-24,4240.5,4286.5,3982.0,4050.0,7030000,28954034500
2015-08-21,4513.5,4530.0,4370.0,4423.0,3905000,17347517000
2015-08-20,4601.0,4684.5,4592.0,4621.0,2575000,11936380500
2015-08-19,4578.5,4675.0,4558.0,4571.0,1691000,7808728000
2015-08-18,4606.0,4618.5,4557.5,4578.5,1338000,6125075500
2015-08-17,4630.5,4651.5,4551.5,4598.5,1697000,7794405500
2015-08-14,4620.0,4748.0,4599.5,4643.0,3912000,18296025500
2015-08-13,4521.0,4572.5,4476.0,4565.0,1864000,8474303000
2015-08-12,4565.0,4630.0,4494.0,4537.5,2500000,11402859000
2015-08-11,4498.5,4625.0,4487.5,4565.0,3616000,16549466500
2015-08-10,4498.0,4498.0,4423.0,4468.0,1750000,7810861000
2015-08-07,4462.0,4479.0,4402.0,4449.5,2014000,8954485500
2015-08-06,4550.0,4565.0,4426.5,4437.0,2903000,13000758000
2015-08-05,4302.5,4470.0,4302.5,4415.0,2569000,11378203000
2015-08-04,4300.0,4338.0,4285.0,4324.0,1522000,6560900000
2015-08-03,4335.0,4355.5,4267.0,4300.0,2184000,9389330500
2015-07-31,4280.0,4378.5,4249.0,4349.0,3496000,15152925000
2015-07-30,4135.0,4242.5,4134.0,4223.0,1928000,8117211500
2015-07-29,4174.0,4180.0,4105.5,4131.0,1331000,5505460000
2015-07-28,4100.0,4187.0,4081.5,4141.5,2065000,8546427500
2015-07-27,4110.0,4173.5,4067.0,4147.0,2134000,8833924500
2015-07-24,4158.0,4228.5,4125.5,4135.5,1799000,7501160500
2015-07-23,4183.0,4190.0,4124.0,4159.5,1718000,7135553000
2015-07-22,4224.0,4224.0,4115.0,4173.0,2409000,10035270500
2015-07-21,4265.5,4265.5,4220.5,4241.5,1504000,6377269500
2015-07-17,4258.0,4291.0,4252.0,4262.5,1316000,5616644500
2015-07-16,4339.0,4344.0,4236.0,4271.5,2847000,12139079000
2015-07-15,4375.0,4399.5,4284.0,4300.5,1965000,8499971500
2015-07-14,4359.0,4390.0,4313.5,4331.0,1638000,7125808000
2015-07-13,4215.0,4307.0,4205.0,4269.0,1741000,7416918500
2015-07-10,4161.0,4315.5,4118.0,4219.5,3330000,14070251500
2015-07-09,4049.0,4150.5,3982.0,4150.0,3213000,13110074000
2015-07-08,4260.0,4263.0,4118.0,4118.0,3387000,14134824000
2015-07-07,4295.5,4331.0,4286.5,4307.5,1505000,6488012500
2015-07-06,4251.0,4280.0,4224.0,4262.5,2021000,8596570500
2015-07-03,4336.0,4375.0,4316.0,4338.5,1327000,5752901000
2015-07-02,4370.5,4377.5,4319.5,4324.5,2084000,9075273000
2015-07-01,4328.0,4337.5,4280.5,4327.5,1656000,7151025500
2015-06-30,4329.0,4329.0,4240.5,4293.5,2886000,12364839500
2015-06-29,4380.0,4399.5,4305.5,4325.0,2612000,11349218000
2015-06-26,4499.5,4512.5,4441.0,4480.0,1437000,6426670500
2015-06-25,4534.0,4537.5,4473.0,4489.5,2025000,9104796500
2015-06-24,4588.0,4617.0,4529.5,4534.0,2052000,9371013500
2015-06-23,4495.0,4567.0,4477.5,4558.5,2230000,10108861000
2015-06-22,4436.0,4525.0,4436.0,4493.0,2071000,9302136000
2015-06-19,4431.5,4473.5,4401.0,4446.5,2575000,11440677500
2015-06-18,4490.0,4490.0,4381.5,4403.0,3615000,15959848000
2015-06-17,4608.5,4610.0,4521.0,4545.0,1715000,7817480500
2015-06-16,4569.5,4603.0,4548.0,4575.0,1599000,7317113000
2015-06-15,4520.0,4611.0,4507.0,4600.0,1625000,7429585500
2015-06-12,4514.5,4562.5,4500.5,4554.0,4054000,18353067500
2015-06-11,4558.0,4612.0,4517.5,4530.0,2992000,13634340000
2015-06-10,4647.5,4733.0,4525.5,4525.5,5549000,25597367500
2015-06-09,4633.0,4687.5,4590.5,4591.0,2958000,13708529000
2015-06-08,4638.5,4654.0,4585.0,4633.0,1695000,7841271000
2015-06-05,4631.0,4639.5,4562.5,4626.5,3083000,14214742000
2015-06-04,4678.0,4690.5,4614.0,4677.0,3498000,16268379500
