8841-T,東証1部,テーオーシー,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,872,886,857,880,105500,92549900
2015-10-01,846,880,834,872,123600,107011500
2015-09-30,825,851,820,836,99600,83457100
2015-09-29,811,823,796,816,113900,92694100
2015-09-28,809,834,802,826,131100,107937700
2015-09-25,781,809,781,809,115400,92279600
2015-09-24,775,790,765,784,192500,150237900
2015-09-18,801,809,782,788,141100,111315700
2015-09-17,796,818,787,816,79400,63836700
2015-09-16,834,834,793,796,54000,43508100
2015-09-15,837,842,822,823,88000,72997600
2015-09-14,850,875,837,837,131200,112284000
2015-09-11,785,845,785,835,230200,185724000
2015-09-10,810,824,796,799,128000,103094100
2015-09-09,790,832,787,831,137400,111909900
2015-09-08,804,812,774,774,111200,87366500
2015-09-07,799,804,781,804,71900,57277900
2015-09-04,800,806,782,803,97900,77831300
2015-09-03,787,801,777,796,133700,105196200
2015-09-02,777,800,773,783,161200,126602400
2015-09-01,816,816,782,793,223900,179484700
2015-08-31,801,823,788,818,94500,76289600
2015-08-28,813,819,796,804,64100,51659300
2015-08-27,789,802,778,794,160300,127239600
2015-08-26,761,783,759,779,162300,125255300
2015-08-25,706,795,706,773,186900,141329000
2015-08-24,741,784,728,751,202200,151015800
2015-08-21,770,787,761,767,126700,97428800
2015-08-20,790,808,785,788,49500,39348300
2015-08-19,815,821,801,804,43100,34756700
2015-08-18,817,826,804,823,60700,49509000
2015-08-17,811,824,786,817,111900,90077100
2015-08-14,799,830,799,809,100600,81742500
2015-08-13,795,800,782,786,45500,35844100
2015-08-12,819,830,792,804,46800,38078400
2015-08-11,819,844,810,831,86000,71181400
2015-08-10,779,815,766,811,82800,66045600
2015-08-07,782,782,763,764,76600,58878600
2015-08-06,793,816,789,791,69000,55412500
2015-08-05,779,801,777,782,82500,65035300
2015-08-04,790,790,775,785,45100,35284800
2015-08-03,785,794,774,792,39200,30779100
2015-07-31,783,792,775,788,72600,57182600
2015-07-30,782,793,775,777,52700,41157200
2015-07-29,784,784,772,778,50700,39420400
2015-07-28,751,793,751,783,73800,57240200
2015-07-27,767,772,762,762,61900,47423800
2015-07-24,772,782,770,776,27700,21537900
2015-07-23,770,779,765,775,47000,36280100
2015-07-22,785,785,767,769,57100,44173600
2015-07-21,801,804,789,794,38700,30779200
2015-07-17,814,816,796,797,43400,34735000
2015-07-16,830,830,808,810,58000,47170000
2015-07-15,812,825,812,819,81700,66944500
2015-07-14,818,823,812,818,107500,87994900
2015-07-13,794,803,783,800,65400,52016100
2015-07-10,779,813,774,788,85900,67999600
2015-07-09,754,779,732,766,105700,80040200
2015-07-08,809,809,769,769,130700,102039400
2015-07-07,796,813,794,794,124300,99341800
2015-07-06,837,837,795,796,174400,140571100
2015-07-03,860,861,844,848,36300,30882800
2015-07-02,868,880,861,861,70000,60746500
2015-07-01,855,861,847,856,46200,39536700
2015-06-30,872,875,840,856,144600,123213400
2015-06-29,899,899,871,871,161700,141863800
2015-06-26,907,918,905,905,74400,67625800
2015-06-25,957,957,912,916,91400,85400100
2015-06-24,985,985,947,960,82800,79991000
2015-06-23,945,960,932,960,87700,83560500
2015-06-22,916,940,916,935,44200,41185500
2015-06-19,922,937,913,914,64000,58812800
2015-06-18,911,935,907,907,41700,38012600
2015-06-17,927,930,901,918,46300,42491400
2015-06-16,961,970,926,928,46300,43549900
2015-06-15,950,984,936,963,73900,71167300
2015-06-12,941,943,934,941,126400,118910800
2015-06-11,921,940,919,923,31800,29610500
2015-06-10,923,943,914,915,47900,44429500
2015-06-09,931,938,910,913,41700,38395000
2015-06-08,952,952,933,946,29400,27768500
2015-06-05,932,953,932,946,36500,34466700
2015-06-04,949,958,943,945,39200,37199000
2015-06-03,932,945,921,945,63800,59615500
2015-06-02,952,952,933,941,41100,38694200
2015-06-01,965,980,946,952,51500,49401700
2015-05-29,942,972,941,972,156700,150884100
2015-05-28,944,944,923,927,36100,33595000
2015-05-27,942,945,928,934,36300,33920400
2015-05-26,948,955,941,944,37600,35588700
2015-05-25,960,960,935,938,53400,50424800
2015-05-22,968,968,943,955,34500,32836200
2015-05-21,970,991,957,959,52800,51205600
2015-05-20,950,984,950,976,98400,95500700
2015-05-19,941,954,929,935,69700,65540300
2015-05-18,985,985,937,949,79400,75799800
2015-05-15,930,960,924,949,95200,89862200
2015-05-14,927,932,912,926,127700,117960200
2015-05-13,920,949,918,940,108000,100792100
2015-05-12,910,930,906,928,78300,72191600
2015-05-11,920,941,915,916,69800,64552000
2015-05-08,900,916,900,906,50800,46150500
2015-05-07,889,918,879,906,118300,106694300
2015-05-01,902,917,897,906,61500,55650400
2015-04-30,942,949,912,916,82500,76253300
2015-04-28,972,980,956,957,67500,65149200
2015-04-27,975,980,957,963,53400,51570200
2015-04-24,997,997,969,974,45900,44923400
2015-04-23,1018,1023,986,988,65900,65806400
2015-04-22,1000,1028,982,1008,85900,87045300
2015-04-21,952,989,952,985,51100,50017300
2015-04-20,981,989,964,965,72200,70245300
2015-04-17,990,1015,990,1001,57200,57420100
2015-04-16,1005,1023,994,1008,56000,56359600
2015-04-15,1020,1030,1002,1004,66700,67442300
2015-04-14,1025,1045,1018,1042,42800,44440500
2015-04-13,1031,1044,1013,1016,65700,67166500
2015-04-10,1078,1078,1032,1034,122200,128292600
2015-04-09,1079,1087,1061,1062,74100,79559100
2015-04-08,1085,1092,1068,1079,124500,134619400
2015-04-07,1059,1092,1034,1053,198400,210343400
2015-04-06,975,1056,970,1043,150600,153446400
2015-04-03,962,987,962,972,72100,70101200
2015-04-02,947,979,947,972,142900,137898300
2015-04-01,927,944,909,927,137100,127002500
2015-03-31,975,975,933,942,88000,84013600
2015-03-30,940,963,932,945,85400,80996800
2015-03-27,965,986,927,939,194000,185800600
2015-03-26,973,974,950,966,265700,256665600
2015-03-25,971,982,960,978,90000,87696600
2015-03-24,980,988,959,970,138200,134416900
2015-03-23,1037,1050,972,973,228500,230010500
2015-03-20,1042,1050,1019,1044,120500,124834200
2015-03-19,1011,1041,1003,1034,166400,170091500
2015-03-18,998,1045,990,1040,230600,236288600
2015-03-17,950,984,946,982,200700,194273500
2015-03-16,900,924,899,920,101600,92813200
2015-03-13,901,920,890,907,227400,206042900
2015-03-12,870,895,867,895,203200,180436000
2015-03-11,854,863,835,862,115500,98563800
2015-03-10,841,853,834,850,228800,193905200
2015-03-09,838,841,815,841,139500,116044400
2015-03-06,819,837,818,836,127900,106007800
2015-03-05,794,813,790,810,101300,81441400
2015-03-04,799,799,779,788,39200,30893100
2015-03-03,804,806,792,794,42400,33805300
2015-03-02,794,810,792,797,68100,54577300
2015-02-27,795,797,789,793,69900,55404600
2015-02-26,782,790,778,790,73500,57863200
2015-02-25,780,785,776,782,47000,36743400
2015-02-24,760,779,759,775,59600,46087900
2015-02-23,773,773,750,760,42200,32063600
