8918-T,東証1部,ランド,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,16,16,15,16,377100,5940600
2015-10-01,15,16,15,16,746000,11357100
2015-09-30,15,16,14,15,1512700,22703900
2015-09-29,15,16,14,15,2928700,43995700
2015-09-28,15,16,15,15,883000,13319400
2015-09-25,16,16,15,15,425700,6575900
2015-09-24,16,16,15,15,904600,14068500
2015-09-18,16,17,15,16,2565100,40781500
2015-09-17,16,17,16,16,1214200,19459300
2015-09-16,17,17,16,16,513800,8385700
2015-09-15,16,17,16,16,850800,14067400
2015-09-14,16,17,16,16,946500,15296100
2015-09-11,17,17,16,16,662700,10824400
2015-09-10,16,17,16,16,543600,8748300
2015-09-09,16,17,16,17,1045700,17490900
2015-09-08,16,17,16,16,898400,14453600
2015-09-07,16,17,16,16,564800,9060200
2015-09-04,17,17,16,17,1155400,19547100
2015-09-03,17,18,17,17,1622800,27606100
2015-09-02,17,17,16,17,2049300,34482300
2015-09-01,17,18,17,17,908800,15476800
2015-08-31,18,19,17,17,2397800,41897800
2015-08-28,18,18,17,18,2044000,36573800
2015-08-27,17,18,16,17,2648300,45264400
2015-08-26,16,18,15,18,3104600,51568700
2015-08-25,14,17,14,16,7002200,105579700
2015-08-24,16,17,15,16,6565000,105285900
2015-08-21,18,18,17,17,2419800,42995200
2015-08-20,18,19,18,18,1890400,34102700
2015-08-19,18,19,18,18,789600,14300000
2015-08-18,18,19,18,18,722100,13164900
2015-08-17,18,19,18,18,744700,13446500
2015-08-14,18,19,18,18,779400,14128800
2015-08-13,19,19,18,18,654200,12128700
2015-08-12,18,19,18,18,950600,17559700
2015-08-11,18,19,18,18,974600,18090900
2015-08-10,18,19,18,18,941000,17304200
2015-08-07,19,19,18,18,1409500,25567900
2015-08-06,19,19,18,19,738600,13785100
2015-08-05,18,19,18,19,2929000,53250400
2015-08-04,19,20,18,19,6665200,126805200
2015-08-03,19,20,19,19,602400,11688700
2015-07-31,19,20,19,20,667500,13053000
2015-07-30,20,20,19,20,775400,15199700
2015-07-29,20,20,19,20,861800,17052100
2015-07-28,20,20,19,20,694600,13756400
2015-07-27,20,21,19,20,3247500,64903400
2015-07-24,21,21,20,20,713100,14489300
2015-07-23,20,21,19,21,1710200,34198800
2015-07-22,20,21,19,20,5133400,102625500
2015-07-21,20,21,20,20,1675500,33545700
2015-07-17,20,21,19,20,4412100,88187000
2015-07-16,20,21,20,20,4049000,81132300
2015-07-15,20,21,20,20,3159200,63404700
2015-07-14,20,21,20,20,2278100,45938500
2015-07-13,20,21,20,20,2341900,47299700
2015-07-10,20,21,20,20,4172800,84093200
2015-07-09,21,22,20,22,8310300,174476200
2015-07-08,22,22,21,21,1326000,28236200
2015-07-07,22,22,21,22,2307100,49945600
2015-07-06,22,23,21,22,6867500,148985800
2015-07-03,22,23,22,23,1618400,36040400
2015-07-02,22,23,22,22,671500,14822400
2015-07-01,23,23,22,22,1032700,22979000
2015-06-30,21,23,21,22,5464400,118934900
2015-06-29,21,22,21,21,4061900,85729300
2015-06-26,22,23,22,22,1205100,26703100
2015-06-25,22,23,22,22,1161700,25658800
2015-06-24,22,23,22,22,1906800,42116600
2015-06-23,22,23,22,23,4202300,93625700
2015-06-22,22,23,22,23,1372500,30637800
2015-06-19,23,23,21,22,2463000,54679700
2015-06-18,22,23,21,22,2808400,61545700
2015-06-17,22,23,22,22,2099900,46254700
2015-06-16,22,22,21,22,6591400,144774200
2015-06-15,22,22,21,22,11775800,258531300
2015-06-12,23,24,22,22,4385000,99935500
2015-06-11,23,23,22,23,1063800,24232900
2015-06-10,24,24,22,23,4206300,97046600
2015-06-09,23,24,23,24,1602000,37946300
2015-06-08,22,24,22,23,5146100,118551700
2015-06-05,22,23,22,22,1948200,43322900
2015-06-04,22,23,22,22,1005900,22206600
2015-06-03,22,23,22,22,1334400,29464700
2015-06-02,23,23,22,22,3002400,66523600
2015-06-01,22,23,22,23,1139500,25867500
2015-05-29,24,24,22,22,10312900,235762300
2015-05-28,24,24,23,23,1093600,25766900
2015-05-27,24,24,23,23,1466500,34903800
2015-05-26,24,24,23,23,4622000,110448300
2015-05-25,24,25,23,23,18433200,443374900
2015-05-22,23,24,23,24,1089900,25643100
2015-05-21,24,24,23,24,2526600,58774200
2015-05-20,24,24,23,23,1005800,23311300
2015-05-19,23,24,23,23,1667900,38488500
2015-05-18,23,24,23,23,2485900,57388700
2015-05-15,23,24,22,23,3874200,89134700
2015-05-14,22,23,21,23,14964900,329516400
2015-05-13,23,23,22,22,1600400,35473200
2015-05-12,23,23,22,23,1614600,36920500
2015-05-11,23,24,22,23,3753500,86310600
2015-05-08,23,24,22,23,4682200,107326300
2015-05-07,22,23,22,22,1156600,25758000
2015-05-01,23,23,22,22,2763100,62870200
2015-04-30,24,24,22,23,4193700,96903300
2015-04-28,23,24,22,23,17955400,412240900
2015-04-27,23,24,23,23,2534100,58573400
2015-04-24,23,24,23,23,3015500,69564800
2015-04-23,24,25,23,23,9833300,233904300
2015-04-22,25,25,24,24,4213600,104679800
2015-04-21,25,25,24,24,1546800,37904800
2015-04-20,25,25,24,25,2314300,57656100
2015-04-17,24,25,24,25,20169800,494926700
2015-04-16,24,24,23,23,2361700,55662300
2015-04-15,23,24,23,23,3594000,82821400
2015-04-14,23,24,23,23,5676200,131529300
2015-04-13,25,25,23,24,10430300,249330300
2015-04-10,25,25,24,24,10765400,261506400
2015-04-09,30,31,24,25,108014600,2964509400
2015-04-08,25,26,24,26,5670500,142379900
2015-04-07,24,25,23,25,12763700,313033800
2015-04-06,23,24,23,24,3049900,72733000
2015-04-03,23,24,22,23,5235000,120562200
2015-04-02,22,23,21,23,2400500,53935100
2015-04-01,22,23,21,22,4915100,107221100
2015-03-31,22,23,22,22,1571600,34777800
2015-03-30,22,23,21,23,10532100,228563300
2015-03-27,22,23,22,22,1110100,24719500
2015-03-26,22,23,22,22,1642200,36563100
2015-03-25,22,23,22,22,1683800,37531000
2015-03-24,23,24,22,22,4596500,105121000
2015-03-23,22,23,22,23,1674600,37588700
2015-03-20,23,23,22,22,1361600,30666600
2015-03-19,23,24,22,22,5936100,136281600
2015-03-18,24,24,22,22,11884500,276601400
2015-03-17,25,25,24,24,2300500,56791000
2015-03-16,26,26,24,25,5899700,149093000
2015-03-13,24,25,23,25,15092900,370957400
2015-03-12,23,25,23,24,10158600,242909300
2015-03-11,23,24,22,24,4057300,93611800
2015-03-10,23,24,22,23,1355000,30859600
2015-03-09,23,24,22,23,2991700,68711600
2015-03-06,23,24,22,23,4536600,104632600
2015-03-05,23,24,22,23,8189100,188748600
2015-03-04,23,24,23,23,2107300,48988000
2015-03-03,25,27,22,23,43564500,1067059300
2015-03-02,24,24,22,24,3566100,83273600
2015-02-27,23,24,22,23,3494100,80548100
2015-02-26,23,24,22,23,5113200,117382700
2015-02-25,22,24,22,24,7943500,179004600
2015-02-24,21,22,20,22,3829900,80502600
2015-02-23,23,23,20,21,11974400,259657700
2015-02-20,24,24,22,22,4947000,114061400
2015-02-19,24,25,21,24,20999300,480873900
2015-02-18,24,25,23,24,11331900,274651200
2015-02-17,23,24,23,24,3206200,74414700
2015-02-16,23,24,23,23,13477000,314836000
2015-02-13,21,23,21,23,10250100,221972800
2015-02-12,22,22,20,20,10771200,226149700
2015-02-10,22,22,21,22,2331300,50648400
2015-02-09,21,22,20,22,6724700,141713300
2015-02-06,21,21,20,21,3379400,70439500
2015-02-05,20,21,19,20,9642400,192078400
