8923-T,東証1部,トーセイ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,800,807,788,802,192500,153732500
2015-10-01,780,822,775,805,348400,280552600
2015-09-30,753,779,743,768,179500,137250400
2015-09-29,768,768,736,749,291400,218350200
2015-09-28,759,781,748,775,185500,142890300
2015-09-25,717,758,710,758,400200,297230200
2015-09-24,728,734,711,717,325600,234516600
2015-09-18,763,764,745,749,179400,135165000
2015-09-17,761,783,746,777,227200,173553300
2015-09-16,762,772,742,752,215000,161470400
2015-09-15,775,789,751,753,194600,149600700
2015-09-14,767,778,758,771,223200,172380100
2015-09-11,733,775,732,767,234600,176612500
2015-09-10,740,754,730,751,188900,140663800
2015-09-09,736,756,722,756,142600,106037600
2015-09-08,730,740,703,706,253600,180934900
2015-09-07,718,739,709,730,169800,123193100
2015-09-04,759,759,719,725,216800,158268300
2015-09-03,756,775,743,747,212900,161053700
2015-09-02,724,763,722,736,209300,154780500
2015-09-01,769,770,744,746,170400,128494400
2015-08-31,774,782,764,780,143000,110781800
2015-08-28,783,787,770,774,241500,187449600
2015-08-27,756,796,751,758,392600,303061800
2015-08-26,717,749,713,741,213300,156152500
2015-08-25,700,760,689,717,386800,279909100
2015-08-24,767,785,742,744,464300,354036200
2015-08-21,810,817,793,797,303200,243089800
2015-08-20,826,843,826,833,184200,154154700
2015-08-19,829,846,829,835,173600,145362300
2015-08-18,830,836,825,831,92500,76746600
2015-08-17,837,842,820,829,126500,104577700
2015-08-14,828,843,824,836,159300,133075700
2015-08-13,847,848,822,828,198600,164766200
2015-08-12,847,856,837,851,245300,208275500
2015-08-11,836,856,836,839,353700,298717800
2015-08-10,826,835,818,833,336700,278454100
2015-08-07,825,843,823,832,199300,166434700
2015-08-06,848,854,826,828,252500,210947900
2015-08-05,822,853,815,844,413600,347609300
2015-08-04,842,844,819,823,288800,239258400
2015-08-03,823,835,821,833,315800,261451200
2015-07-31,812,825,806,824,225100,184165100
2015-07-30,825,827,805,813,423500,344025200
2015-07-29,825,830,815,821,200300,164314000
2015-07-28,808,836,802,830,266300,218278000
2015-07-27,838,840,816,822,241800,198865300
2015-07-24,829,867,829,841,333100,282784700
2015-07-23,835,840,826,831,116900,97130900
2015-07-22,841,843,828,832,167700,139761700
2015-07-21,853,853,841,848,197400,167115500
2015-07-17,843,860,842,849,225100,191481100
2015-07-16,843,851,823,839,301900,251907100
2015-07-15,854,865,826,832,448700,377883200
2015-07-14,849,863,843,859,368100,314474700
2015-07-13,830,846,821,831,426900,356129100
2015-07-10,835,835,807,818,588500,482448500
2015-07-09,813,833,787,830,612100,498265300
2015-07-08,867,874,825,828,666200,562303200
2015-07-07,899,905,870,872,585700,514518700
2015-07-06,914,927,873,888,1001500,893616100
2015-07-03,940,946,927,939,318500,299244200
2015-07-02,925,948,918,931,518500,486630600
2015-07-01,879,910,876,907,294900,264706800
2015-06-30,878,882,863,871,318700,277506900
2015-06-29,875,891,875,882,327300,288841100
2015-06-26,930,931,908,916,272900,249986800
2015-06-25,939,939,918,920,396300,366150100
2015-06-24,929,954,928,946,613400,578725500
2015-06-23,900,924,896,924,402500,368695000
2015-06-22,875,899,875,897,233800,208387300
2015-06-19,875,890,866,882,603100,529993000
2015-06-18,882,892,865,875,576000,506825000
2015-06-17,891,901,880,888,574200,510636900
2015-06-16,910,911,887,890,622300,558698800
2015-06-15,886,914,885,912,584400,523225100
2015-06-12,890,903,879,901,489400,434854000
2015-06-11,890,894,879,887,440100,389524000
2015-06-10,878,896,876,877,433600,384245900
2015-06-09,905,918,878,878,566000,508863000
2015-06-08,897,925,893,913,683300,619946500
2015-06-05,886,895,874,893,546100,482949600
2015-06-04,887,887,873,882,377200,331851500
2015-06-03,885,891,874,877,333000,293114600
2015-06-02,882,892,878,885,180000,159053800
2015-06-01,872,893,869,890,288400,254733000
2015-05-29,867,878,862,873,198800,172861500
2015-05-28,883,888,865,867,322000,281442700
2015-05-27,869,882,864,877,328100,286941300
2015-05-26,880,897,867,870,309500,272037100
2015-05-25,888,888,863,877,423100,370359300
2015-05-22,894,894,875,892,186100,164815200
2015-05-21,896,906,881,887,217800,194883300
2015-05-20,876,904,871,897,356600,316618600
2015-05-19,870,879,860,873,235500,204805900
2015-05-18,871,882,867,872,308000,268937300
2015-05-15,865,879,865,879,194600,169995100
2015-05-14,866,869,851,858,313100,269014800
2015-05-13,875,890,856,878,323400,283717400
2015-05-12,878,895,874,880,180900,159404100
2015-05-11,875,890,867,875,275300,241144800
2015-05-08,871,883,856,875,423000,367950500
2015-05-07,875,896,866,880,508900,446596300
2015-05-01,858,891,858,889,420000,368378300
2015-04-30,880,884,860,871,351500,305354400
2015-04-28,907,913,879,891,476400,423965400
2015-04-27,889,919,885,918,473700,430308900
2015-04-24,889,900,877,886,340600,302081400
2015-04-23,908,914,884,889,342300,306579600
2015-04-22,895,927,894,915,256500,234195400
2015-04-21,909,934,893,898,468100,426033800
2015-04-20,908,910,875,882,386500,345252100
2015-04-17,931,935,908,921,366000,336739000
2015-04-16,901,954,901,939,781200,729833300
2015-04-15,885,920,872,905,656000,593032900
2015-04-14,871,895,869,889,306200,271711000
2015-04-13,868,876,860,872,218200,189404000
2015-04-10,871,871,856,863,341800,294924300
2015-04-09,880,892,868,875,371600,326309800
2015-04-08,878,884,865,875,528300,462716700
2015-04-07,897,903,876,888,645700,573269000
2015-04-06,860,902,853,882,1237300,1086616600
2015-04-03,822,822,805,818,164100,133847000
2015-04-02,799,823,793,814,456100,370220200
2015-04-01,780,794,775,788,163700,128481300
2015-03-31,782,798,779,781,220700,173775100
2015-03-30,781,784,762,772,193300,149103300
2015-03-27,770,783,767,774,245800,190383600
2015-03-26,771,781,765,767,264300,203803000
2015-03-25,794,803,772,778,322500,252648500
2015-03-24,793,803,789,801,197200,157354300
2015-03-23,811,813,791,796,231000,184733600
2015-03-20,804,812,793,808,251900,202558900
2015-03-19,810,825,803,818,349000,284531300
2015-03-18,799,812,785,812,334400,267127900
2015-03-17,814,816,796,807,519900,419867600
2015-03-16,772,825,770,815,1031200,834968400
2015-03-13,758,776,751,767,656000,501969400
2015-03-12,751,759,749,753,155700,117421100
2015-03-11,741,753,741,749,121500,90900700
2015-03-10,750,757,743,749,166300,124667300
2015-03-09,742,748,739,743,183900,136461000
2015-03-06,751,752,745,751,116900,87541100
2015-03-05,748,753,744,750,132700,99214900
2015-03-04,748,754,741,748,168700,126157700
2015-03-03,741,758,741,754,250200,187914000
2015-03-02,744,755,737,739,177400,132057700
2015-02-27,766,768,751,755,170900,129226000
2015-02-26,764,771,757,767,113100,86297300
2015-02-25,773,777,759,765,167200,128049300
2015-02-24,759,786,758,770,429800,332984800
2015-02-23,767,767,752,759,156100,118549000
2015-02-20,765,768,758,763,89000,67834100
2015-02-19,760,770,751,765,204700,156239700
2015-02-18,748,770,748,760,181400,138402100
2015-02-17,763,771,746,747,226300,172053800
2015-02-16,747,768,745,762,393400,298524000
2015-02-13,726,747,726,743,180300,133334400
2015-02-12,732,742,722,723,264900,194169000
2015-02-10,720,728,712,720,207700,149128000
2015-02-09,738,743,720,724,145100,105846100
2015-02-06,730,744,722,736,207400,152553300
2015-02-05,716,737,709,727,235300,170182900
2015-02-04,706,733,706,724,226100,162965000
2015-02-03,709,718,700,703,382000,269800100
2015-02-02,720,720,696,708,479000,337737800
2015-01-30,734,738,719,725,263200,191736200
2015-01-29,739,743,721,727,225200,164574700
2015-01-28,727,753,727,745,332600,247645500
2015-01-27,721,743,717,742,356900,261514300
2015-01-26,717,721,706,712,231600,165051100
2015-01-23,729,731,718,722,237300,171654500
2015-01-22,738,741,717,722,340700,247169000
2015-01-21,739,744,722,736,413500,303391500
2015-01-20,723,749,716,748,568600,420366200
2015-01-19,716,732,716,723,537700,388636000
2015-01-16,681,711,679,710,628300,438805900
2015-01-15,680,693,651,681,762200,514987700
2015-01-14,671,689,670,683,216200,147209600
2015-01-13,681,681,665,677,271200,182593100
2015-01-09,691,696,683,688,246100,169013400
2015-01-08,690,695,686,690,167500,115687900
2015-01-07,684,693,682,684,184200,126404700
2015-01-06,694,700,680,685,493300,340555400
2015-01-05,694,711,681,709,395700,278233600
2014-12-30,696,706,692,693,295200,206296200
2014-12-29,694,712,685,697,372800,260898700
2014-12-26,664,695,661,692,379100,259673500
2014-12-25,666,674,661,665,313900,209249300
2014-12-24,685,688,666,671,365700,247597000
2014-12-22,688,692,671,676,562200,381557800
2014-12-19,647,670,646,668,587000,385450900
2014-12-18,654,654,643,643,410900,266027800
2014-12-17,640,650,636,638,429200,274999000
2014-12-16,652,663,643,644,345700,225056000
2014-12-15,679,683,660,662,287500,192855700
2014-12-12,680,694,676,688,410500,281210000
2014-12-11,672,684,667,681,300400,203895700
2014-12-10,673,685,666,673,318200,214383100
2014-12-09,690,695,679,683,317900,218419100
2014-12-08,711,714,694,699,327900,231062800
2014-12-05,696,709,696,706,184800,129912000
2014-12-04,714,717,694,697,529400,372499900
2014-12-03,729,730,712,714,196100,141207400
2014-12-02,721,727,715,721,154600,111424200
2014-12-01,725,730,720,727,198700,144012700
2014-11-28,711,729,711,720,253600,183140900
2014-11-27,733,735,701,705,648700,465729300
2014-11-26,737,748,723,743,491800,362958600
2014-11-25,756,757,743,747,421100,315235400
2014-11-21,746,755,736,741,271600,201441600
2014-11-20,776,780,745,748,341800,258426800
2014-11-19,764,778,756,769,524500,403488500
2014-11-18,755,765,742,756,482500,363401700
2014-11-17,775,776,736,745,594200,447910900
2014-11-14,760,770,743,766,386900,293726200
2014-11-13,750,760,734,756,322300,240593100
2014-11-12,758,771,748,756,529500,403098500
2014-11-11,764,769,734,748,386500,288306300
2014-11-10,738,760,734,756,178600,133980400
2014-11-07,761,767,722,744,402800,300521900
2014-11-06,793,797,741,749,589900,449330600
2014-11-05,785,802,770,780,492200,385153300
