9006-T,東証1部,京急,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,955,976,952,962,988000,950386000
2015-10-01,955,969,940,965,953000,914487000
2015-09-30,956,963,939,950,1301000,1234629000
2015-09-29,964,964,941,942,1295000,1229405000
2015-09-28,955,983,955,969,1587000,1536681000
2015-09-25,952,958,940,957,2536000,2409076000
2015-09-24,951,976,947,947,1517000,1448597000
2015-09-18,976,976,954,958,1325000,1275117000
2015-09-17,985,985,964,976,808000,785957000
2015-09-16,984,989,965,977,842000,819557000
2015-09-15,975,989,970,970,880000,859182000
2015-09-14,971,981,964,970,722000,702659000
2015-09-11,942,967,942,964,1334000,1267591000
2015-09-10,956,961,943,957,992000,946923000
2015-09-09,954,971,944,971,1783000,1708132000
2015-09-08,949,952,923,924,1124000,1047277000
2015-09-07,942,957,926,947,1404000,1326934000
2015-09-04,970,971,938,946,2032000,1927095000
2015-09-03,957,970,952,955,1560000,1496004000
2015-09-02,938,966,928,952,1920000,1827238000
2015-09-01,966,966,940,940,1134000,1078805000
2015-08-31,970,978,957,975,1352000,1315096000
2015-08-28,981,988,961,973,1437000,1397943000
2015-08-27,945,981,945,960,2151000,2072341000
2015-08-26,900,921,898,918,2031000,1851906000
2015-08-25,905,939,889,898,2604000,2376206000
2015-08-24,961,968,931,932,2035000,1924333000
2015-08-21,999,999,980,980,1473000,1449362000
2015-08-20,1018,1039,1018,1021,1067000,1095914000
2015-08-19,1025,1038,1018,1018,1040000,1066992000
2015-08-18,1039,1039,1026,1030,505000,521081000
2015-08-17,1034,1040,1026,1039,727000,752566000
2015-08-14,1023,1036,1023,1024,568000,583535000
2015-08-13,1028,1034,1008,1029,1046000,1070470000
2015-08-12,1044,1053,1027,1035,1315000,1362506000
2015-08-11,1063,1068,1026,1044,986000,1028682000
2015-08-10,1026,1060,1025,1060,810000,847043000
2015-08-07,1037,1037,1016,1026,761000,779762000
2015-08-06,1057,1075,1039,1041,1161000,1224236000
2015-08-05,1050,1066,1038,1050,1252000,1319902000
2015-08-04,1023,1045,1020,1045,1102000,1143162000
2015-08-03,1026,1028,1009,1025,604000,615905000
2015-07-31,1009,1021,1006,1021,1246000,1264669000
2015-07-30,1010,1015,998,1000,636000,639878000
2015-07-29,994,1008,983,1002,697000,695064000
2015-07-28,987,1003,984,994,728000,723806000
2015-07-27,1010,1015,993,998,855000,855846000
2015-07-24,1014,1019,1007,1010,813000,822106000
2015-07-23,1004,1015,998,1015,1187000,1198668000
2015-07-22,1005,1007,994,996,748000,748072000
2015-07-21,1000,1006,998,1006,728000,730049000
2015-07-17,1000,1007,994,999,883000,881964000
2015-07-16,993,1000,992,1000,1332000,1328532000
2015-07-15,988,995,987,992,1397000,1384897000
2015-07-14,986,993,981,983,1228000,1209606000
2015-07-13,960,979,955,978,994000,965995000
2015-07-10,941,966,941,950,1313000,1250037000
2015-07-09,944,955,930,943,1469000,1381180000
2015-07-08,981,984,963,963,1638000,1590528000
2015-07-07,965,997,965,991,3007000,2960348000
2015-07-06,935,956,933,951,1662000,1576377000
2015-07-03,948,954,943,952,1068000,1014961000
2015-07-02,934,944,930,941,839000,786759000
2015-07-01,932,932,920,925,802000,741326000
2015-06-30,933,944,923,924,1684000,1565803000
2015-06-29,922,938,919,929,1035000,962951000
2015-06-26,948,948,932,942,981000,922981000
2015-06-25,951,959,951,951,613000,584817000
2015-06-24,957,962,950,960,1192000,1142950000
2015-06-23,953,957,949,957,1139000,1087070000
2015-06-22,932,946,929,945,1119000,1049657000
2015-06-19,925,934,924,932,1059000,985635000
2015-06-18,926,929,915,916,842000,773834000
2015-06-17,931,931,918,930,999000,924403000
2015-06-16,927,938,924,927,979000,910696000
2015-06-15,927,936,922,931,691000,642677000
2015-06-12,950,951,930,937,1995000,1882541000
2015-06-11,927,950,927,941,1564000,1472264000
2015-06-10,933,933,916,917,1355000,1248784000
2015-06-09,935,945,932,933,1040000,974825000
2015-06-08,948,948,934,940,950000,893073000
2015-06-05,941,946,937,946,968000,913010000
2015-06-04,944,948,934,942,879000,825537000
2015-06-03,946,949,941,945,733000,692365000
2015-06-02,949,960,946,951,875000,833532000
2015-06-01,950,954,945,949,899000,853386000
2015-05-29,960,971,957,957,1438000,1383838000
2015-05-28,955,959,946,955,870000,829426000
2015-05-27,956,957,943,952,901000,856260000
2015-05-26,958,963,954,960,547000,524628000
2015-05-25,963,963,951,958,832000,795836000
2015-05-22,966,966,948,956,876000,837114000
2015-05-21,960,972,959,966,1563000,1510414000
2015-05-20,948,957,940,955,1324000,1257311000
2015-05-19,940,945,932,939,1020000,959402000
2015-05-18,932,941,924,937,1085000,1012010000
2015-05-15,907,924,906,923,950000,871633000
2015-05-14,911,918,901,901,1326000,1201880000
2015-05-13,918,920,908,912,1085000,990820000
2015-05-12,930,932,914,925,1319000,1218065000
2015-05-11,941,944,931,935,980000,916791000
2015-05-08,930,939,927,930,1048000,975633000
2015-05-07,941,946,931,932,1247000,1166325000
2015-05-01,953,957,936,945,1423000,1343374000
2015-04-30,960,962,947,953,1519000,1446835000
2015-04-28,959,972,958,968,994000,960033000
2015-04-27,960,972,956,964,1199000,1154278000
2015-04-24,953,957,944,954,1007000,959169000
2015-04-23,949,956,941,947,753000,713416000
2015-04-22,958,960,944,947,1055000,1001647000
2015-04-21,932,956,932,954,888000,842423000
2015-04-20,936,947,926,933,1364000,1276504000
2015-04-17,950,958,941,948,1138000,1080722000
2015-04-16,954,958,939,958,1135000,1078476000
2015-04-15,961,965,946,948,982000,934733000
2015-04-14,957,974,955,965,554000,535222000
2015-04-13,968,968,950,957,621000,593973000
2015-04-10,977,977,965,967,797000,772961000
2015-04-09,989,989,968,971,785000,764588000
2015-04-08,984,994,982,986,669000,661053000
2015-04-07,979,990,975,984,577000,566895000
2015-04-06,970,977,966,974,423000,411069000
2015-04-03,982,986,974,979,670000,655672000
2015-04-02,969,999,960,984,1457000,1436899000
2015-04-01,956,970,946,961,1523000,1458523000
2015-03-31,996,998,959,961,1428000,1386217000
2015-03-30,990,997,983,985,1012000,1000094000
2015-03-27,1012,1012,966,980,2687000,2654106000
2015-03-26,1016,1018,993,1000,3021000,3032899000
2015-03-25,1025,1029,1012,1022,1057000,1079864000
2015-03-24,1014,1029,1002,1029,1575000,1604406000
2015-03-23,1011,1018,1010,1015,637000,645958000
2015-03-20,1020,1022,1007,1009,1070000,1081427000
2015-03-19,1017,1029,1012,1018,1113000,1134143000
2015-03-18,1023,1029,1015,1022,815000,832197000
