9020-T,東証1部,JR東日本,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,10220,10390,10195,10340,709000,7307234500
2015-10-01,10160,10360,10010,10275,852100,8715324000
2015-09-30,10130,10155,9972,10055,1099200,11045864000
2015-09-29,10155,10175,9979,9996,1210300,12157753500
2015-09-28,10395,10485,10250,10340,1425100,14753649000
2015-09-25,10180,10475,10110,10470,1413100,14599039000
2015-09-24,10230,10340,10085,10175,2158100,22062028500
2015-09-18,10325,10325,10135,10150,1244400,12673601000
2015-09-17,10600,10615,10395,10425,900500,9409225500
2015-09-16,10510,10550,10390,10500,1017700,10671293500
2015-09-15,10375,10545,10270,10340,819800,8523094500
2015-09-14,10450,10455,10240,10265,693300,7153575500
2015-09-11,10190,10375,10140,10325,1693300,17367905500
2015-09-10,10220,10280,10060,10195,1234100,12558242500
2015-09-09,10340,10470,10225,10465,1311400,13579411500
2015-09-08,10440,10450,10025,10045,886700,9005658000
2015-09-07,10410,10520,10250,10435,924100,9610409000
2015-09-04,10790,10860,10340,10490,1194800,12587223500
2015-09-03,10755,10825,10550,10565,1148900,12247367500
2015-09-02,10445,10890,10440,10655,1087900,11621978000
2015-09-01,11160,11220,10735,10735,1030400,11271852500
2015-08-31,11270,11280,11120,11205,851500,9552124000
2015-08-28,11430,11480,11180,11265,1103000,12430203000
2015-08-27,11300,11425,11080,11130,1328200,14933162500
2015-08-26,10855,11140,10625,11085,2008900,21916084500
2015-08-25,10700,11045,10400,10555,2406100,25886361500
2015-08-24,11520,11670,11025,11025,2089300,23482479500
2015-08-21,11960,12050,11800,11970,1613900,19284140000
2015-08-20,12090,12320,12050,12135,880300,10746363500
2015-08-19,12250,12355,12090,12090,1017000,12397708000
2015-08-18,12545,12545,12330,12360,896700,11113149500
2015-08-17,12415,12515,12375,12500,492100,6137021000
2015-08-14,12300,12495,12290,12330,608800,7525512500
2015-08-13,12280,12320,12160,12275,776400,9511901000
2015-08-12,12240,12530,12230,12320,724400,8939582500
2015-08-11,12545,12630,12180,12360,883900,10927419500
2015-08-10,12220,12465,12160,12455,631400,7788616000
2015-08-07,12420,12430,12165,12295,949200,11654022000
2015-08-06,12750,12755,12445,12470,777000,9775202000
2015-08-05,12500,12815,12475,12545,986400,12428325000
2015-08-04,12365,12490,12295,12490,932200,11581638500
2015-08-03,12250,12250,12060,12215,814300,9895779000
2015-07-31,12175,12280,12145,12250,849700,10382068000
2015-07-30,12070,12280,12015,12100,1057700,12849078000
2015-07-29,11920,11945,11760,11840,633200,7506241000
2015-07-28,11770,11885,11725,11775,860500,10154071500
2015-07-27,11930,12060,11750,11835,918200,10889292500
2015-07-24,12165,12250,12050,12070,604400,7325514000
2015-07-23,12200,12280,12120,12235,730000,8916587500
2015-07-22,12025,12210,12005,12030,788300,9522399000
2015-07-21,11900,12000,11800,11990,880100,10506792000
2015-07-17,12050,12075,11870,11975,668900,8005317000
2015-07-16,12000,12080,11880,12050,1300300,15608700000
2015-07-15,11685,11790,11630,11780,941400,11038911500
2015-07-14,11560,11635,11455,11550,852400,9832557500
2015-07-13,11290,11495,11200,11470,889100,10137182000
2015-07-10,11100,11335,11045,11165,1360000,15245207500
2015-07-09,10900,11170,10830,11010,1524100,16710897500
2015-07-08,11235,11295,11045,11045,1157000,12901612500
2015-07-07,11105,11225,11055,11200,837600,9349800000
2015-07-06,10915,11040,10830,10960,1017400,11141269000
2015-07-03,11100,11160,11045,11070,547700,6077457000
2015-07-02,11100,11120,10970,11085,865100,9576564000
2015-07-01,11005,11030,10910,10945,561900,6156202500
2015-06-30,11000,11130,10960,11010,1093000,12051431000
2015-06-29,10780,11035,10780,10900,903600,9882024500
2015-06-26,11190,11195,11040,11115,878000,9758253500
2015-06-25,11285,11370,11260,11275,612200,6921896500
2015-06-24,11370,11375,11270,11305,836900,9470294500
2015-06-23,11250,11350,11235,11350,810200,9161456000
2015-06-22,10895,11125,10875,11105,613400,6778310000
2015-06-19,11000,11045,10935,10940,560900,6154084500
2015-06-18,10975,10975,10845,10855,725600,7899377000
2015-06-17,11070,11100,10960,10990,459400,5060134500
2015-06-16,11065,11180,10990,11030,760800,8417385000
2015-06-15,11030,11160,10985,11130,755200,8374683500
