9021-T,東証1部,JR西日本,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,7740,7945,7722,7802,1057700,8280605200
2015-10-01,7560,7789,7500,7744,1118100,8592900500
2015-09-30,7549,7559,7417,7481,1223800,9172132400
2015-09-29,7375,7567,7304,7313,987000,7315667800
2015-09-28,7430,7637,7378,7490,702300,5276321500
2015-09-25,7365,7563,7251,7554,794700,5933058600
2015-09-24,7375,7531,7348,7365,956100,7087669400
2015-09-18,7662,7675,7430,7430,1193300,8957976900
2015-09-17,7815,7815,7613,7690,809600,6215129900
2015-09-16,7870,7870,7675,7747,760200,5892775900
2015-09-15,7832,7948,7799,7846,926300,7288771300
2015-09-14,7780,7898,7686,7702,579800,4499811500
2015-09-11,7531,7834,7527,7765,1253200,9622255600
2015-09-10,7529,7653,7481,7594,784600,5948003300
2015-09-09,7588,7730,7455,7730,1453400,11059934400
2015-09-08,7712,7724,7342,7378,1027700,7680976400
2015-09-07,7673,7864,7601,7723,760600,5869725200
2015-09-04,7941,7987,7692,7790,1135000,8858697300
2015-09-03,7960,8078,7845,7863,876500,6952962400
2015-09-02,7676,7999,7620,7810,979200,7698827500
2015-09-01,8144,8144,7786,7786,793700,6292397600
2015-08-31,8062,8188,8035,8188,721500,5865378000
2015-08-28,8259,8277,8100,8190,965300,7877346000
2015-08-27,8181,8212,8018,8051,1225000,9935441200
2015-08-26,7750,8034,7704,8012,1330800,10519140000
2015-08-25,7834,8130,7640,7645,2561500,20140633500
2015-08-24,8650,8714,8165,8165,1589000,13381478300
2015-08-21,8885,8933,8635,8755,1453300,12740894600
2015-08-20,8921,9225,8903,9044,1412300,12878853500
2015-08-19,8902,9068,8881,8898,590100,5282190900
2015-08-18,9131,9131,8958,8962,557400,5020536500
2015-08-17,9110,9177,9053,9101,446900,4068752900
2015-08-14,9060,9185,9040,9062,536300,4878385400
2015-08-13,8842,9118,8841,9074,1055700,9519181300
2015-08-12,8940,9081,8815,8907,1025500,9147279800
2015-08-11,9192,9213,8960,9005,1078700,9760720100
2015-08-10,8922,9219,8833,9206,1312900,11887571000
2015-08-07,9099,9100,8734,8950,2093100,18606031500
2015-08-06,9398,9400,9070,9090,1408000,12949364700
2015-08-05,9350,9488,9254,9292,1189000,11128930600
2015-08-04,9187,9441,9157,9350,1138100,10610514100
2015-08-03,8986,9150,8910,9145,895500,8103579600
2015-07-31,9235,9240,8880,8909,1723800,15545768500
2015-07-30,9020,9223,8941,9004,1001600,9074353000
2015-07-29,8900,8977,8816,8975,711600,6351749500
2015-07-28,8725,8853,8680,8776,611900,5371294900
2015-07-27,8883,8980,8740,8793,825500,7276466800
2015-07-24,8880,8962,8822,8884,722400,6424284500
2015-07-23,8879,8990,8827,8963,962700,8610127900
2015-07-22,8838,8965,8802,8836,760100,6736889300
2015-07-21,8680,8884,8658,8884,847500,7467835500
