9042-T,東証1部,阪急阪神,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,731,748,729,737,1808000,1332520000
2015-10-01,730,746,720,739,2805000,2067268000
2015-09-30,732,733,723,730,3128000,2279740000
2015-09-29,742,747,723,723,2928000,2138917000
2015-09-28,741,760,740,753,3068000,2308328000
2015-09-25,731,743,731,742,4879000,3587628000
2015-09-24,733,746,731,732,3392000,2500613000
2015-09-18,750,752,738,738,3027000,2247830000
2015-09-17,761,761,748,757,1891000,1426862000
2015-09-16,764,765,750,757,1504000,1136351000
2015-09-15,757,771,753,756,2447000,1860262000
2015-09-14,756,760,748,750,2132000,1606065000
2015-09-11,729,753,729,750,4251000,3132925000
2015-09-10,736,744,730,742,2754000,2031147000
2015-09-09,740,751,737,751,3173000,2360015000
2015-09-08,739,742,720,721,2754000,2002030000
2015-09-07,735,745,724,742,3116000,2299957000
2015-09-04,753,759,729,737,5137000,3816598000
2015-09-03,745,755,730,732,3667000,2709905000
2015-09-02,715,756,708,741,7470000,5522106000
2015-09-01,725,726,700,700,3016000,2146291000
2015-08-31,737,737,723,728,2764000,2014381000
2015-08-28,740,740,722,735,2783000,2033383000
2015-08-27,729,735,716,719,2996000,2171480000
2015-08-26,700,712,692,709,4458000,3135195000
2015-08-25,701,713,685,685,5780000,4033921000
2015-08-24,739,743,716,716,4074000,2960207000
2015-08-21,764,770,755,756,2948000,2241810000
2015-08-20,783,793,782,782,1839000,1444843000
2015-08-19,795,800,786,786,2140000,1694304000
2015-08-18,809,809,800,801,1046000,839982000
2015-08-17,810,815,802,809,1514000,1223223000
2015-08-14,801,813,800,805,1834000,1479251000
2015-08-13,800,808,797,805,1780000,1428421000
2015-08-12,805,814,800,806,2026000,1632146000
2015-08-11,820,820,801,810,2398000,1943422000
2015-08-10,796,816,793,815,2193000,1771000000
2015-08-07,805,806,791,796,2545000,2024447000
2015-08-06,813,824,804,812,3108000,2537741000
2015-08-05,802,821,802,811,3154000,2565184000
2015-08-04,793,804,793,804,3692000,2954110000
2015-08-03,785,798,781,798,2637000,2084655000
2015-07-31,773,785,770,784,2762000,2149080000
2015-07-30,771,779,764,765,2086000,1606388000
2015-07-29,770,772,761,768,1905000,1462801000
2015-07-28,766,775,763,768,1891000,1455197000
2015-07-27,780,782,769,771,1804000,1396430000
2015-07-24,784,791,780,782,1987000,1557986000
2015-07-23,776,785,775,784,1594000,1246174000
2015-07-22,774,779,771,773,1533000,1187583000
2015-07-21,780,780,773,777,1517000,1178639000
2015-07-17,778,779,772,775,1346000,1042628000
2015-07-16,775,781,770,780,2632000,2045696000
2015-07-15,769,775,764,773,2350000,1813250000
2015-07-14,761,769,756,769,2650000,2026791000
2015-07-13,739,756,734,755,2747000,2059334000
2015-07-10,726,740,725,729,3477000,2543805000
2015-07-09,725,731,715,718,4598000,3312771000
2015-07-08,747,762,735,735,4557000,3398713000
2015-07-07,733,743,733,741,2084000,1542945000
2015-07-06,725,732,723,726,2123000,1543853000
2015-07-03,735,742,734,736,1846000,1361746000
2015-07-02,732,740,730,735,1673000,1230137000
2015-07-01,729,731,722,726,1547000,1122189000
2015-06-30,724,738,722,723,3318000,2415091000
2015-06-29,722,732,720,724,2911000,2111699000
2015-06-26,740,741,730,737,2424000,1784179000
2015-06-25,753,754,742,744,2567000,1914536000
2015-06-24,760,765,755,756,2764000,2097709000
2015-06-23,750,760,750,760,2080000,1574088000
2015-06-22,738,750,737,750,1896000,1414144000
2015-06-19,737,747,737,742,1992000,1479167000
2015-06-18,730,734,722,731,2088000,1522354000
2015-06-17,741,744,731,732,1812000,1330987000
2015-06-16,740,749,739,742,1504000,1118111000
2015-06-15,738,746,736,741,1517000,1124328000
2015-06-12,745,746,737,742,3926000,2918172000
2015-06-11,741,755,740,745,2657000,1985845000
2015-06-10,742,743,732,732,1846000,1359683000
2015-06-09,746,752,743,743,1667000,1244098000
2015-06-08,748,751,739,751,2205000,1648435000
2015-06-05,736,747,735,745,2187000,1625071000
2015-06-04,744,744,732,736,1981000,1456430000
2015-06-03,742,743,735,738,1292000,954183000
2015-06-02,747,755,743,745,1597000,1193327000
2015-06-01,741,747,738,745,1661000,1233241000
2015-05-29,743,758,743,747,2481000,1861743000
2015-05-28,754,755,747,750,1616000,1211537000
2015-05-27,756,762,747,751,3813000,2866313000
2015-05-26,756,761,753,756,1501000,1135944000
2015-05-25,761,762,757,760,1763000,1338904000
2015-05-22,752,759,752,759,2870000,2168977000
2015-05-21,747,754,745,751,3394000,2543901000
2015-05-20,747,750,742,749,2522000,1885159000
2015-05-19,736,749,735,744,3048000,2268356000
2015-05-18,716,732,716,732,2191000,1592536000
2015-05-15,697,717,690,716,3013000,2121489000
2015-05-14,700,704,686,687,2861000,1977412000
2015-05-13,701,708,700,704,1973000,1388284000
2015-05-12,716,719,704,710,2569000,1820470000
2015-05-11,722,722,714,716,1550000,1111376000
2015-05-08,718,720,709,711,2354000,1678383000
2015-05-07,711,724,709,718,2592000,1859666000
2015-05-01,723,726,710,718,2233000,1601789000
2015-04-30,738,738,721,724,3294000,2391550000
2015-04-28,739,747,738,741,1878000,1394283000
2015-04-27,736,744,733,739,1932000,1424866000
2015-04-24,736,738,732,734,1416000,1039980000
2015-04-23,740,744,732,737,1709000,1259458000
2015-04-22,744,744,733,739,1736000,1281208000
2015-04-21,730,741,729,741,2149000,1582925000
2015-04-20,725,734,720,723,1551000,1126330000
2015-04-17,737,739,730,731,1911000,1402029000
2015-04-16,739,740,728,739,1665000,1223137000
2015-04-15,733,743,732,739,1550000,1144211000
2015-04-14,733,744,733,738,1242000,916866000
2015-04-13,744,746,728,734,2012000,1476358000
2015-04-10,750,753,742,745,2239000,1671464000
2015-04-09,755,756,746,749,1575000,1179995000
2015-04-08,762,764,753,755,2034000,1540285000
2015-04-07,752,764,751,758,2482000,1880130000
2015-04-06,745,749,740,748,1131000,844253000
2015-04-03,751,752,747,752,1514000,1134926000
2015-04-02,742,762,741,754,2637000,1987140000
2015-04-01,738,747,728,738,3345000,2464977000
2015-03-31,774,776,743,743,3131000,2362647000
2015-03-30,763,769,759,763,2273000,1738905000
2015-03-27,773,776,752,761,3704000,2830472000
2015-03-26,783,784,772,776,3864000,3005144000
2015-03-25,780,787,778,786,2640000,2069335000
2015-03-24,784,784,777,780,2511000,1958398000
2015-03-23,787,792,784,785,1837000,1445784000
2015-03-20,787,790,777,785,3199000,2502693000
2015-03-19,796,800,786,787,2870000,2268045000
2015-03-18,797,800,794,798,2093000,1668819000
2015-03-17,795,800,791,796,1926000,1533879000
2015-03-16,791,794,785,789,1885000,1487680000
2015-03-13,797,800,792,796,4707000,3749360000
2015-03-12,770,789,770,789,2772000,2174056000
2015-03-11,768,773,766,770,1936000,1491183000
2015-03-10,763,770,763,769,2054000,1574583000
2015-03-09,761,764,757,760,1192000,906477000
2015-03-06,754,765,754,762,2051000,1561567000
2015-03-05,765,770,754,758,2782000,2114606000
2015-03-04,763,765,754,761,2316000,1761779000
2015-03-03,760,766,758,766,2035000,1552745000
2015-03-02,754,763,754,754,1743000,1321824000
2015-02-27,756,757,751,757,2897000,2188413000
2015-02-26,743,755,743,755,3127000,2344715000
2015-02-25,745,745,738,742,2179000,1615839000
2015-02-24,749,749,742,745,2151000,1602141000
2015-02-23,742,749,741,749,1796000,1340176000
2015-02-20,733,742,732,738,2219000,1635051000
2015-02-19,731,738,726,736,2417000,1773020000
2015-02-18,720,734,719,731,3613000,2632604000
2015-02-17,707,719,706,713,2265000,1616197000
2015-02-16,710,714,701,707,2251000,1594032000
2015-02-13,706,712,700,710,2830000,2003486000
2015-02-12,690,708,689,705,4583000,3218268000
2015-02-10,681,685,677,685,1958000,1333920000
2015-02-09,684,687,674,679,1874000,1272692000
2015-02-06,681,683,676,681,2021000,1374836000
2015-02-05,678,689,671,675,2607000,1764558000
2015-02-04,664,677,663,676,3672000,2472146000
2015-02-03,665,669,651,652,2911000,1920692000
2015-02-02,648,663,648,663,2370000,1556528000
2015-01-30,664,666,656,657,2542000,1677369000
2015-01-29,657,665,655,661,2072000,1369082000
2015-01-28,652,664,650,662,2379000,1567994000
2015-01-27,649,659,647,659,2553000,1666707000
2015-01-26,639,645,637,645,1832000,1174334000
2015-01-23,650,650,643,647,1734000,1121655000
2015-01-22,640,646,637,646,1534000,984805000
2015-01-21,644,646,635,643,2028000,1300103000
2015-01-20,646,648,643,647,1469000,949018000
2015-01-19,645,645,633,643,1981000,1267543000
2015-01-16,636,642,630,642,2602000,1655432000
2015-01-15,643,647,638,646,2462000,1582895000
2015-01-14,629,640,629,639,2443000,1556715000
2015-01-13,621,636,621,635,2160000,1356007000
2015-01-09,635,637,624,628,2386000,1499795000
2015-01-08,626,637,625,631,2531000,1601347000
2015-01-07,621,627,618,618,2362000,1469476000
2015-01-06,632,633,624,624,2833000,1781196000
2015-01-05,647,648,637,641,2327000,1494974000
2014-12-30,658,658,649,649,1537000,1002633000
2014-12-29,656,658,648,654,1816000,1187470000
2014-12-26,647,654,647,653,1090000,710977000
2014-12-25,651,654,648,651,1470000,956463000
2014-12-24,650,654,650,654,1915000,1249312000
2014-12-22,641,648,639,646,1394000,897930000
2014-12-19,635,645,633,643,2284000,1466357000
2014-12-18,629,632,623,626,2321000,1456246000
2014-12-17,621,626,616,616,3155000,1955279000
2014-12-16,619,626,619,622,2551000,1587841000
2014-12-15,622,630,621,626,1596000,1000250000
2014-12-12,627,638,627,629,4128000,2597402000
2014-12-11,627,634,623,631,1766000,1110841000
2014-12-10,638,644,632,633,2296000,1459469000
2014-12-09,641,643,638,641,1536000,983811000
2014-12-08,648,649,640,642,1363000,876696000
2014-12-05,646,648,644,644,1500000,967754000
2014-12-04,654,658,647,648,1737000,1131949000
2014-12-03,660,662,648,650,1776000,1160388000
2014-12-02,653,657,649,656,1880000,1229491000
2014-12-01,656,666,653,658,1786000,1177521000
2014-11-28,652,658,649,653,2528000,1648455000
2014-11-27,659,660,647,648,2053000,1338009000
2014-11-26,664,671,660,660,2275000,1509135000
2014-11-25,670,674,668,670,3239000,2170674000
2014-11-21,659,666,656,664,2874000,1900616000
2014-11-20,666,669,660,661,1880000,1246606000
2014-11-19,666,674,661,663,2822000,1878818000
2014-11-18,655,666,653,666,2987000,1977940000
2014-11-17,657,659,641,642,2443000,1580119000
2014-11-14,669,669,657,664,2952000,1958126000
2014-11-13,649,662,648,661,3029000,1991986000
2014-11-12,657,664,651,652,3314000,2178144000
2014-11-11,649,656,646,653,2341000,1528536000
2014-11-10,645,652,643,650,2215000,1437243000
2014-11-07,643,650,641,650,3255000,2106159000
2014-11-06,659,659,638,638,3852000,2487325000
2014-11-05,660,661,653,660,3845000,2529531000
2014-11-04,670,675,658,660,5578000,3697107000
2014-10-31,629,654,627,651,6408000,4105125000
2014-10-30,616,628,614,623,3884000,2417162000
2014-10-29,628,630,622,626,2574000,1614246000
2014-10-28,617,627,615,627,2536000,1579488000
2014-10-27,607,619,606,618,2311000,1418743000
2014-10-24,606,607,595,601,1849000,1110292000
2014-10-23,598,599,588,596,3104000,1848100000
2014-10-22,594,603,594,603,1958000,1173673000
2014-10-21,595,599,584,586,2380000,1402359000
2014-10-20,587,592,585,592,2613000,1539931000
2014-10-17,581,586,570,570,4057000,2333149000
2014-10-16,581,587,580,581,3222000,1877590000
2014-10-15,592,597,586,591,2644000,1560637000
2014-10-14,595,600,588,588,3037000,1798429000
2014-10-10,601,609,601,605,2794000,1687800000
2014-10-09,620,622,610,611,3026000,1860660000
2014-10-08,618,625,614,622,2359000,1464217000
2014-10-07,625,635,624,625,2318000,1455948000
2014-10-06,631,634,624,624,1830000,1148165000
2014-10-03,620,632,620,625,2186000,1367269000
2014-10-02,639,642,622,622,2715000,1710859000
2014-10-01,638,648,638,641,2136000,1374073000
2014-09-30,641,642,632,639,3025000,1927354000
2014-09-29,646,646,643,644,1600000,1031074000
2014-09-26,643,647,640,643,3147000,2024555000
2014-09-25,650,656,648,656,5622000,3667337000
