9064-T,東証1部,ヤマトHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2328.0,2365.0,2306.5,2336.0,1137800,2662871100
2015-10-01,2282.0,2359.5,2267.0,2340.0,1404400,3263722200
2015-09-30,2268.5,2312.0,2232.5,2284.0,1677100,3825683500
2015-09-29,2293.0,2294.0,2210.0,2224.0,1822900,4066673200
2015-09-28,2360.0,2386.5,2330.0,2346.5,1243600,2918726400
2015-09-25,2322.5,2368.5,2302.5,2348.5,1728200,4023152600
2015-09-24,2369.5,2405.0,2307.0,2307.0,1682900,3930530500
2015-09-18,2416.5,2489.5,2388.0,2405.0,1502700,3635001400
2015-09-17,2408.0,2433.5,2394.5,2427.0,1263000,3052329200
2015-09-16,2402.0,2405.0,2364.5,2379.5,1249000,2972898500
2015-09-15,2393.5,2429.0,2376.5,2380.5,824800,1974143700
2015-09-14,2407.0,2429.0,2376.0,2386.0,1078400,2585832050
2015-09-11,2328.5,2415.5,2327.5,2396.0,3314600,7816492550
2015-09-10,2315.0,2358.0,2299.0,2344.5,1807700,4213414500
2015-09-09,2249.0,2387.0,2242.5,2387.0,2346000,5482403750
2015-09-08,2245.0,2250.0,2165.5,2169.5,1378500,3028934750
2015-09-07,2213.5,2286.5,2197.5,2265.0,1452000,3269777550
2015-09-04,2267.5,2286.0,2209.0,2229.5,1223100,2739395100
2015-09-03,2306.0,2320.5,2247.0,2248.5,1525400,3479783550
2015-09-02,2248.5,2347.0,2240.5,2295.0,2006200,4621976850
2015-09-01,2354.0,2354.0,2283.0,2283.0,1664700,3844374750
2015-08-31,2336.5,2366.5,2311.5,2366.5,1457900,3424001500
2015-08-28,2342.5,2366.5,2324.5,2364.0,1595600,3747223350
2015-08-27,2304.0,2319.5,2280.5,2292.5,1259400,2897213700
2015-08-26,2208.0,2286.0,2204.0,2277.5,2342900,5254097600
2015-08-25,2300.5,2354.5,2223.0,2223.0,3395900,7782923550
2015-08-24,2400.0,2469.0,2333.0,2334.5,3599300,8593461100
2015-08-21,2423.5,2430.5,2402.0,2410.0,1689200,4076204750
2015-08-20,2487.0,2515.0,2467.5,2471.0,1448800,3606519600
2015-08-19,2543.5,2561.0,2492.0,2493.5,1418400,3565674400
2015-08-18,2572.5,2586.0,2537.5,2544.0,1535800,3916250100
2015-08-17,2570.0,2597.0,2558.0,2593.0,1571000,4058047450
2015-08-14,2635.0,2652.5,2540.0,2571.5,3208400,8288513400
2015-08-13,2653.5,2677.0,2626.0,2654.0,3128200,8302817150
2015-08-12,2714.5,2738.0,2648.5,2661.0,4366700,11678711450
2015-08-11,2789.5,2792.5,2715.0,2724.0,3774100,10345228050
2015-08-10,2725.0,2799.0,2701.0,2798.0,1929100,5334256200
2015-08-07,2762.5,2779.5,2724.0,2738.5,3229400,8842849150
2015-08-06,2850.0,2851.5,2797.5,2802.0,2476100,6976702550
2015-08-05,2839.0,2897.0,2836.5,2849.0,3646700,10453810550
2015-08-04,2739.0,2844.0,2731.0,2840.5,2713200,7584064350
2015-08-03,2710.0,2748.0,2678.0,2744.5,2300000,6251657150
2015-07-31,2620.0,2757.0,2612.0,2749.0,4289700,11573364650
2015-07-30,2552.0,2595.0,2550.0,2576.5,1352100,3484025100
2015-07-29,2523.0,2546.5,2507.5,2534.0,906100,2290582850
2015-07-28,2495.5,2513.0,2465.5,2498.5,1083900,2704042500
2015-07-27,2492.5,2520.0,2486.5,2503.5,1096100,2740731550
2015-07-24,2494.0,2532.0,2490.0,2496.0,1085600,2717338650
2015-07-23,2524.0,2524.0,2484.0,2508.0,1475200,3690344300
2015-07-22,2545.0,2554.5,2522.0,2532.0,854100,2166769400
2015-07-21,2565.0,2580.5,2548.0,2576.0,1081400,2776274800
2015-07-17,2563.5,2575.0,2550.5,2553.0,737100,1886929650
2015-07-16,2564.5,2573.0,2546.0,2554.5,1288900,3295356800
2015-07-15,2528.5,2577.5,2528.5,2547.0,2168900,5530249750
2015-07-14,2493.0,2517.0,2483.5,2515.0,1736100,4350188550
2015-07-13,2405.0,2457.5,2403.0,2452.0,1726200,4204794850
2015-07-10,2355.0,2418.0,2336.5,2386.0,1817800,4328713700
2015-07-09,2315.5,2354.0,2278.5,2350.0,2107500,4887070400
2015-07-08,2422.5,2433.0,2360.0,2360.0,1951100,4649160150
2015-07-07,2427.0,2486.0,2422.5,2450.5,2191200,5377926350
2015-07-06,2385.0,2419.5,2374.5,2392.5,2180300,5231647950
2015-07-03,2401.5,2432.0,2389.5,2413.0,1626700,3921909700
2015-07-02,2383.0,2393.5,2361.0,2388.5,1553200,3698753650
2015-07-01,2365.0,2388.0,2344.0,2365.5,950400,2243566200
2015-06-30,2359.0,2404.0,2350.5,2369.5,2521300,5986939900
2015-06-29,2323.5,2394.0,2310.0,2359.0,2492000,5859605050
2015-06-26,2467.5,2468.0,2404.0,2404.0,2439300,5903313150
2015-06-25,2510.0,2513.5,2481.5,2494.5,1431700,3581810050
2015-06-24,2485.0,2516.5,2473.0,2500.5,1765300,4415566600
2015-06-23,2450.0,2462.5,2443.5,2460.0,1173900,2882384100
2015-06-22,2426.0,2452.5,2420.0,2439.5,1116600,2718878550
2015-06-19,2415.0,2442.5,2405.5,2434.0,1905400,4620127950
2015-06-18,2409.5,2417.0,2386.0,2398.0,1659400,3981632300
2015-06-17,2434.0,2447.0,2410.0,2412.5,1042200,2520338200
2015-06-16,2454.0,2467.0,2423.0,2427.0,1381900,3368067150
2015-06-15,2443.0,2477.0,2437.0,2448.5,1748500,4292264400
2015-06-12,2480.0,2483.0,2450.0,2455.5,3187600,7875266200
2015-06-11,2440.0,2474.0,2437.0,2463.5,1256700,3091032850
2015-06-10,2446.5,2449.0,2415.5,2420.0,2628900,6374942000
2015-06-09,2512.0,2521.0,2468.0,2468.0,1236100,3080264050
2015-06-08,2520.0,2534.0,2511.5,2525.0,754300,1903878900
2015-06-05,2506.0,2528.0,2483.5,2519.5,1587200,3994243500
2015-06-04,2600.0,2608.0,2544.0,2550.5,1533100,3930287600
2015-06-03,2572.0,2590.0,2552.0,2578.0,2199100,5671020700
2015-06-02,2555.0,2575.0,2526.0,2571.5,2695600,6875450600
2015-06-01,2533.0,2560.0,2521.0,2541.0,2325500,5901589250
2015-05-29,2581.0,2599.0,2544.5,2544.5,2743500,7026317100
2015-05-28,2620.0,2640.0,2580.5,2595.0,2022800,5254940500
2015-05-27,2587.0,2587.5,2542.0,2577.5,1441900,3708396100
2015-05-26,2593.0,2614.5,2584.0,2610.5,1142100,2975341550
2015-05-25,2591.5,2607.5,2578.0,2593.0,1114500,2888478250
2015-05-22,2596.0,2596.0,2570.5,2577.5,1621000,4181601300
2015-05-21,2652.0,2654.5,2564.0,2569.5,3048800,7919418350
2015-05-20,2574.5,2591.0,2551.0,2559.0,1675600,4298180150
2015-05-19,2585.0,2597.0,2554.5,2574.0,1766700,4542800900
2015-05-18,2490.5,2584.5,2484.0,2579.5,3140600,7992668100
2015-05-15,2412.5,2473.5,2412.5,2466.0,1572500,3854148650
2015-05-14,2421.5,2445.0,2408.0,2411.0,1503100,3639287700
2015-05-13,2458.0,2473.0,2424.5,2455.5,2114300,5189032700
2015-05-12,2505.0,2510.0,2465.0,2469.5,2212900,5484786650
2015-05-11,2550.0,2553.0,2508.0,2516.0,2102900,5303665150
2015-05-08,2504.5,2525.0,2493.5,2506.5,2181300,5462294650
2015-05-07,2541.0,2558.5,2506.0,2517.0,2168100,5475188200
2015-05-01,2581.0,2625.0,2530.5,2554.5,2923700,7491224800
2015-04-30,2718.0,2752.0,2662.5,2689.0,1947400,5228568400
2015-04-28,2772.5,2787.5,2757.0,2768.0,1247500,3458732100
2015-04-27,2772.0,2773.5,2732.0,2754.5,1125000,3099489850
2015-04-24,2766.5,2777.0,2739.5,2773.5,949000,2626301450
2015-04-23,2775.0,2792.0,2763.0,2780.5,1258200,3495629950
2015-04-22,2771.0,2788.5,2736.5,2767.0,1060800,2934002550
2015-04-21,2730.0,2779.0,2701.5,2777.5,1138300,3138065250
2015-04-20,2731.5,2751.0,2713.5,2730.5,1051900,2875060150
2015-04-17,2785.5,2792.5,2745.5,2763.0,1092900,3017936800
2015-04-16,2779.0,2793.0,2739.5,2786.5,1464500,4053569700
2015-04-15,2732.5,2781.5,2728.0,2763.5,1634800,4512239000
2015-04-14,2782.0,2784.0,2744.5,2749.5,1862400,5134560950
2015-04-13,2830.5,2836.5,2776.0,2793.5,1336400,3738908050
2015-04-10,2840.0,2859.5,2784.5,2839.5,2185200,6193899700
2015-04-09,2855.5,2867.0,2830.5,2847.0,977100,2784975050
2015-04-08,2854.0,2865.0,2819.5,2855.5,1484300,4233585000
2015-04-07,2814.0,2857.5,2767.0,2838.5,1368300,3864342500
2015-04-06,2831.0,2840.0,2815.0,2835.5,609600,1726899450
2015-04-03,2800.0,2856.5,2798.0,2855.5,1032900,2933623200
2015-04-02,2779.5,2853.5,2765.0,2823.0,1303200,3671682400
2015-04-01,2772.0,2779.0,2697.0,2755.5,2335000,6400892800
2015-03-31,2888.0,2889.5,2772.0,2772.0,2152100,6064447050
2015-03-30,2866.5,2958.5,2866.5,2877.5,1854400,5385739300
2015-03-27,2889.0,2912.0,2831.0,2864.0,1346000,3867471700
2015-03-26,2932.0,2940.0,2883.0,2903.5,1387800,4029147850
2015-03-25,2917.0,2938.5,2895.5,2928.5,1464400,4280904400
2015-03-24,2920.0,2953.0,2884.5,2907.0,1159600,3374044400
2015-03-23,2855.0,2930.0,2855.0,2920.0,1303800,3786911150
2015-03-20,2860.0,2871.0,2826.0,2853.0,1132000,3221843350
2015-03-19,2881.0,2896.5,2833.5,2857.0,1129300,3225570800
2015-03-18,2833.0,2881.5,2824.0,2874.5,1922800,5495366800
2015-03-17,2901.0,2933.0,2821.0,2860.5,1789300,5135803000
2015-03-16,2915.0,2947.5,2889.0,2896.0,2011500,5855390600
2015-03-13,2875.0,2951.5,2841.0,2934.5,4423000,12816481950
2015-03-12,2765.0,2849.0,2757.0,2844.5,1680700,4735642050
2015-03-11,2727.0,2764.5,2712.5,2750.0,1587300,4354661700
2015-03-10,2810.0,2815.0,2736.0,2750.0,2042400,5657895100
2015-03-09,2807.0,2818.5,2771.5,2783.0,1268600,3533945650
2015-03-06,2846.0,2855.0,2807.0,2825.5,1714900,4841688250
2015-03-05,2771.0,2840.0,2750.0,2832.0,1544100,4331338850
2015-03-04,2829.5,2830.0,2780.5,2786.0,1254500,3510277500
2015-03-03,2837.0,2841.5,2796.0,2826.5,1864400,5259751850
2015-03-02,2777.0,2848.5,2771.0,2842.5,1991600,5642313950
2015-02-27,2840.0,2840.5,2751.5,2800.0,2608700,7310694800
