9324-T,東証1部,安田倉庫,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,918,919,905,915,11900,10882600
2015-10-01,920,923,907,918,10500,9628200
2015-09-30,907,916,902,910,6800,6194000
2015-09-29,907,916,890,900,30500,27478800
2015-09-28,922,929,911,919,14400,13259600
2015-09-25,908,917,903,913,21100,19178500
2015-09-24,921,926,912,912,28700,26370400
2015-09-18,936,941,928,928,22200,20680600
2015-09-17,933,953,933,949,12500,11837300
2015-09-16,944,944,928,933,5100,4758700
2015-09-15,935,947,928,936,18400,17271700
2015-09-14,948,949,931,934,7500,7047100
2015-09-11,921,960,921,940,31900,29581500
2015-09-10,934,946,933,936,7600,7146100
2015-09-09,943,956,935,950,48800,46008000
2015-09-08,938,941,923,924,13200,12270000
2015-09-07,940,950,925,939,9900,9254600
2015-09-04,973,973,942,944,10900,10392300
2015-09-03,945,976,941,973,25800,24678600
2015-09-02,941,952,938,939,25100,23721300
2015-09-01,980,980,955,956,21800,21076700
2015-08-31,979,988,974,983,12000,11753700
2015-08-28,990,990,970,978,17100,16723600
2015-08-27,971,979,956,967,30200,29306100
2015-08-26,945,965,940,953,51000,48373400
2015-08-25,948,973,926,937,45100,42841000
2015-08-24,985,999,974,978,45700,44957200
2015-08-21,1010,1034,1002,1005,29400,29627200
2015-08-20,1042,1043,1028,1028,14300,14804000
2015-08-19,1062,1073,1045,1045,12900,13599000
2015-08-18,1049,1058,1031,1055,18400,19322200
2015-08-17,1028,1050,1022,1046,18100,18856500
2015-08-14,1022,1026,1018,1022,6200,6337800
2015-08-13,1020,1041,1019,1027,12600,12953200
2015-08-12,1029,1040,1027,1033,9400,9718500
2015-08-11,1049,1051,1008,1029,21100,21592000
2015-08-10,1042,1056,1028,1048,16200,16915800
2015-08-07,1030,1042,1012,1042,18700,19327700
2015-08-06,1031,1060,1031,1042,23300,24497800
2015-08-05,1050,1054,1033,1041,30600,31834200
2015-08-04,1050,1050,1023,1037,28200,29200500
2015-08-03,1047,1051,1031,1036,14400,14992000
2015-07-31,1036,1059,1032,1050,44900,46943500
2015-07-30,1018,1038,1018,1037,60400,62344600
2015-07-29,1025,1032,1003,1018,13300,13503500
2015-07-28,1001,1035,1000,1022,33800,34529900
2015-07-27,1022,1023,1004,1005,15800,16019600
2015-07-24,1024,1025,1013,1024,9800,10003200
2015-07-23,1015,1024,1015,1024,7200,7343100
2015-07-22,1016,1020,1010,1015,7400,7518800
2015-07-21,1020,1022,1015,1019,7500,7645400
2015-07-17,1025,1025,1013,1018,6600,6724500
2015-07-16,1019,1024,1017,1021,11200,11434100
2015-07-15,1022,1028,1010,1019,23400,23916300
2015-07-14,1010,1029,1010,1023,32000,32630300
2015-07-13,1008,1011,997,1006,7100,7148600
2015-07-10,997,1011,997,1002,16500,16543300
2015-07-09,995,1000,985,995,25200,24980900
2015-07-08,1007,1016,996,996,19100,19157100
2015-07-07,1010,1017,1007,1013,10700,10843200
2015-07-06,1003,1010,998,998,25700,25735700
2015-07-03,1019,1019,1007,1007,6200,6264500
2015-07-02,1020,1024,1001,1019,17500,17801600
2015-07-01,1010,1020,1004,1013,12400,12560600
2015-06-30,1001,1011,1000,1010,25200,25336300
2015-06-29,1000,1005,996,996,26300,26283400
2015-06-26,1018,1018,1004,1004,12200,12301200
2015-06-25,1016,1020,1006,1008,13000,13175800
2015-06-24,1019,1020,1001,1016,18800,19080800
2015-06-23,1024,1025,1010,1019,21500,21902400
2015-06-22,1000,1014,1000,1011,9800,9872500
2015-06-19,1004,1013,998,1006,12200,12279700
2015-06-18,997,1003,995,995,11400,11374300
2015-06-17,1000,1005,996,996,8400,8395700
2015-06-16,1007,1008,1000,1000,5500,5513900
2015-06-15,1005,1010,999,1007,9200,9245000
2015-06-12,1002,1012,1002,1008,27400,27483600
2015-06-11,1003,1008,1001,1002,6800,6824200
2015-06-10,1001,1011,999,999,23500,23554100
2015-06-09,1016,1016,1002,1002,7500,7548900
2015-06-08,1033,1033,1010,1016,12600,12916700
2015-06-05,1018,1026,1018,1023,15100,15419400
2015-06-04,1020,1024,1015,1023,8600,8767300
2015-06-03,1023,1025,1017,1020,3700,3772800
2015-06-02,1024,1026,1017,1022,10400,10641300
2015-06-01,1012,1022,1012,1018,7100,7215100
2015-05-29,1018,1024,1008,1018,14400,14664000
2015-05-28,1016,1018,1005,1008,7300,7399000
2015-05-27,1007,1013,1005,1011,3400,3430700
2015-05-26,1010,1015,1005,1007,11900,12018800
2015-05-25,1004,1008,998,1005,17000,17056000
2015-05-22,1003,1003,1000,1001,6400,6409500
2015-05-21,1001,1011,1001,1001,16700,16766900
2015-05-20,1003,1010,1000,1007,13700,13772600
2015-05-19,1003,1004,1000,1000,12400,12421900
2015-05-18,1004,1010,999,1007,18500,18603000
2015-05-15,990,999,987,993,10500,10407300
2015-05-14,994,996,988,989,26700,26436500
2015-05-13,996,996,993,994,10700,10641300
2015-05-12,1000,1000,993,996,15600,15551800
2015-05-11,1011,1011,999,999,18700,18749700
2015-05-08,1004,1007,1001,1002,24100,24204700
2015-05-07,1009,1009,1002,1004,16800,16873700
2015-05-01,1009,1016,1003,1004,19200,19338000
2015-04-30,1028,1028,1013,1019,20200,20613000
2015-04-28,1034,1034,1030,1030,16800,17335400
2015-04-27,1030,1040,1026,1033,13800,14228600
2015-04-24,1028,1028,1023,1027,18000,18484800
2015-04-23,1024,1028,1017,1022,20900,21422700
2015-04-22,1014,1017,1008,1009,8300,8390400
2015-04-21,1003,1015,1003,1006,8100,8148700
2015-04-20,1009,1011,1001,1003,13700,13769100
2015-04-17,1009,1022,1007,1012,13800,13989600
2015-04-16,1012,1025,1003,1015,23900,24138700
2015-04-15,1017,1024,1010,1012,12800,12989400
2015-04-14,1008,1020,1008,1019,13100,13299600
2015-04-13,1020,1020,1001,1010,10300,10407700
2015-04-10,1020,1025,1013,1019,22400,22835000
2015-04-09,1024,1024,981,1014,29500,29832400
2015-04-08,1026,1026,1000,1018,39400,40074400
2015-04-07,1013,1019,1012,1015,62700,63696800
2015-04-06,1020,1020,1011,1012,8300,8415300
2015-04-03,1024,1024,1015,1021,7700,7858700
2015-04-02,1020,1026,1002,1018,33600,34199900
2015-04-01,996,1011,996,1004,20000,20044300
2015-03-31,1020,1020,1004,1008,17300,17548000
2015-03-30,1004,1019,996,1009,31000,31136200
2015-03-27,1026,1029,971,1005,23300,23536800
2015-03-26,1052,1053,1027,1036,24000,24927900
2015-03-25,1060,1067,1050,1067,10600,11229800
2015-03-24,1065,1068,1054,1062,12300,13042000
2015-03-23,1059,1079,1059,1067,8800,9392500
2015-03-20,1068,1068,1056,1057,9800,10379700
2015-03-19,1066,1073,1058,1061,7000,7445300
2015-03-18,1072,1080,1065,1075,19800,21239600
2015-03-17,1074,1091,1050,1072,26700,28691800
2015-03-16,1068,1074,1059,1064,10800,11511300
2015-03-13,1081,1081,1066,1068,30100,32448500
2015-03-12,1046,1064,1046,1062,40500,42814700
2015-03-11,1023,1050,1023,1043,22900,23775000
2015-03-10,1043,1043,1031,1038,11500,11931300
2015-03-09,1038,1040,1028,1031,7200,7447400
2015-03-06,1028,1045,1028,1045,19200,19946500
2015-03-05,1032,1038,1022,1028,6000,6180200
2015-03-04,1037,1038,1028,1032,6800,7032100
