9401-T,東証1部,TBSHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1592,1620,1573,1579,439700,696301200
2015-10-01,1618,1647,1594,1621,334500,541689000
2015-09-30,1580,1607,1579,1598,573700,915414800
2015-09-29,1610,1625,1563,1580,651200,1032185100
2015-09-28,1654,1666,1603,1650,386400,633836000
2015-09-25,1634,1660,1624,1658,413200,679365800
2015-09-24,1592,1654,1587,1610,385100,626821000
2015-09-18,1600,1635,1571,1609,318400,510253800
2015-09-17,1679,1680,1613,1625,536200,873983800
2015-09-16,1687,1687,1657,1667,232500,387649900
2015-09-15,1651,1691,1636,1660,234300,391320800
2015-09-14,1679,1680,1638,1638,215400,355984700
2015-09-11,1673,1689,1657,1667,331000,553507000
2015-09-10,1625,1664,1625,1653,309200,510303800
2015-09-09,1628,1675,1622,1675,390100,645064500
2015-09-08,1561,1587,1560,1567,237700,373734500
2015-09-07,1536,1590,1536,1568,198400,309790200
2015-09-04,1602,1610,1553,1576,488900,771331200
2015-09-03,1565,1604,1563,1581,273800,434067600
2015-09-02,1525,1583,1524,1550,381300,594331900
2015-09-01,1632,1644,1558,1560,614700,980325800
2015-08-31,1646,1666,1634,1663,229400,379286700
2015-08-28,1678,1686,1636,1649,316500,522112600
2015-08-27,1630,1646,1589,1606,548500,882881400
2015-08-26,1585,1637,1569,1597,1094800,1743763200
2015-08-25,1595,1650,1560,1585,773600,1243536900
2015-08-24,1721,1741,1675,1679,608600,1035771600
2015-08-21,1796,1806,1756,1773,563100,999741300
2015-08-20,1847,1898,1845,1849,552100,1031806400
2015-08-19,1834,1891,1831,1877,364900,683423800
2015-08-18,1878,1885,1831,1849,465900,861282900
2015-08-17,1873,1881,1855,1874,213800,399355200
2015-08-14,1890,1893,1854,1867,351200,656268100
2015-08-13,1855,1899,1842,1893,548300,1023543900
2015-08-12,1881,1921,1881,1893,509100,966121500
2015-08-11,1953,1953,1912,1920,292900,563069800
2015-08-10,1919,1952,1900,1952,301100,583705300
2015-08-07,1874,1903,1855,1899,384500,721918800
2015-08-06,1900,1931,1889,1914,403300,772327800
2015-08-05,1820,1896,1817,1892,642900,1194375200
2015-08-04,1803,1847,1801,1806,929000,1683996500
2015-08-03,1839,1900,1827,1898,399400,749203600
2015-07-31,1771,1819,1771,1808,233600,421533700
2015-07-30,1784,1793,1768,1771,193000,342834800
2015-07-29,1728,1782,1728,1775,299500,529385000
2015-07-28,1747,1770,1729,1732,881800,1542444200
2015-07-27,1799,1799,1761,1774,222400,394606200
2015-07-24,1826,1826,1805,1810,162000,293882700
2015-07-23,1792,1836,1792,1826,200400,364759600
2015-07-22,1793,1799,1785,1788,109200,195579900
2015-07-21,1810,1810,1788,1805,200400,360635400
2015-07-17,1819,1819,1780,1785,236600,423142300
2015-07-16,1807,1808,1782,1796,448400,805772700
2015-07-15,1794,1813,1789,1800,407500,732645500
2015-07-14,1817,1817,1785,1792,218600,392099300
2015-07-13,1773,1784,1748,1768,283900,501907100
2015-07-10,1790,1819,1750,1762,537500,951921100
2015-07-09,1720,1782,1693,1780,751900,1301847700
2015-07-08,1825,1836,1779,1782,723600,1305634400
2015-07-07,1850,1868,1830,1836,328100,603675900
2015-07-06,1809,1862,1809,1828,311200,570076500
2015-07-03,1825,1840,1802,1833,248600,454247100
2015-07-02,1767,1848,1760,1828,686900,1248790800
2015-07-01,1706,1759,1691,1756,531400,924171500
2015-06-30,1652,1695,1649,1691,455800,766139800
2015-06-29,1650,1669,1645,1645,180100,297859000
2015-06-26,1685,1709,1673,1700,248100,420225300
2015-06-25,1671,1705,1660,1694,382700,645121500
2015-06-24,1674,1695,1667,1671,203000,340224000
2015-06-23,1660,1674,1654,1663,242600,403748800
2015-06-22,1612,1643,1605,1640,195500,318288400
2015-06-19,1623,1638,1607,1616,484600,784559300
2015-06-18,1604,1624,1595,1595,320200,514348200
2015-06-17,1612,1641,1605,1624,454600,738165200
2015-06-16,1572,1613,1572,1604,580600,927371000
2015-06-15,1572,1599,1568,1597,356400,565259400
2015-06-12,1580,1589,1572,1579,432600,683304600
2015-06-11,1609,1618,1584,1594,256500,408984300
2015-06-10,1595,1619,1595,1598,398300,638878900
2015-06-09,1619,1635,1598,1600,297300,479612200
2015-06-08,1662,1664,1637,1637,188000,308896800
2015-06-05,1667,1683,1660,1669,157400,262862700
2015-06-04,1663,1700,1652,1688,392100,660245900
2015-06-03,1641,1676,1641,1661,348500,578910100
2015-06-02,1642,1674,1635,1656,281200,467248800
2015-06-01,1637,1649,1634,1642,245800,403325100
2015-05-29,1656,1674,1638,1643,371000,610899600
2015-05-28,1683,1686,1657,1671,316500,528436300
2015-05-27,1698,1698,1661,1666,255600,426340800
2015-05-26,1682,1692,1663,1685,270600,453459800
2015-05-25,1730,1734,1663,1674,363000,610496800
2015-05-22,1700,1737,1700,1723,326500,562614500
2015-05-21,1669,1727,1667,1704,498300,849639400
2015-05-20,1629,1655,1626,1652,289900,475525600
2015-05-19,1600,1629,1593,1613,365000,589967700
2015-05-18,1578,1602,1575,1600,396400,628999600
2015-05-15,1561,1583,1557,1581,244700,385027100
2015-05-14,1597,1618,1558,1559,487500,764894700
2015-05-13,1621,1631,1583,1613,710500,1143881900
2015-05-12,1666,1718,1647,1715,402200,675746400
2015-05-11,1680,1704,1663,1669,693700,1165256300
2015-05-08,1623,1660,1618,1653,526100,866900200
2015-05-07,1572,1638,1572,1613,401800,649926300
2015-05-01,1563,1583,1556,1573,384900,604452400
2015-04-30,1601,1613,1578,1581,542800,864152100
2015-04-28,1599,1642,1592,1631,452300,730947100
2015-04-27,1615,1632,1604,1608,562500,909404500
2015-04-24,1635,1635,1611,1616,194000,314549800
2015-04-23,1650,1673,1631,1635,604000,999096100
2015-04-22,1650,1652,1625,1649,286300,470984500
2015-04-21,1581,1631,1573,1629,383400,614952100
2015-04-20,1590,1621,1585,1592,1022200,1635779200
2015-04-17,1621,1643,1603,1617,443900,718093800
2015-04-16,1620,1651,1613,1648,342000,559375900
2015-04-15,1612,1638,1611,1617,218800,354678900
2015-04-14,1611,1643,1611,1622,206300,334551800
2015-04-13,1627,1643,1621,1623,250800,409172000
2015-04-10,1600,1641,1598,1628,426300,692249900
2015-04-09,1570,1592,1561,1587,274800,434070100
2015-04-08,1583,1585,1552,1572,618000,969460100
2015-04-07,1591,1614,1571,1581,269400,427412200
2015-04-06,1595,1601,1580,1594,108300,172408900
2015-04-03,1575,1622,1575,1604,341800,548107600
2015-04-02,1544,1598,1534,1587,414600,653739900
2015-04-01,1539,1566,1519,1527,491800,755398700
2015-03-31,1564,1564,1514,1516,232200,356995100
2015-03-30,1540,1545,1508,1534,278200,426020000
2015-03-27,1559,1575,1438,1502,567000,860172500
2015-03-26,1568,1602,1553,1560,441900,693718200
2015-03-25,1604,1609,1568,1582,255200,404619400
2015-03-24,1625,1627,1594,1605,358000,574849100
2015-03-23,1639,1641,1615,1636,241800,394545800
2015-03-20,1644,1649,1626,1635,305500,500007200
2015-03-19,1650,1650,1619,1633,485200,792686300
2015-03-18,1588,1658,1568,1653,606300,982899600
2015-03-17,1550,1588,1529,1579,557000,869828600
2015-03-16,1490,1543,1483,1539,434900,661703000
2015-03-13,1467,1490,1454,1483,518100,762117100
2015-03-12,1438,1460,1432,1437,306400,442291800
2015-03-11,1425,1435,1419,1429,209600,299698800
2015-03-10,1426,1434,1411,1426,197900,281661600
2015-03-09,1411,1435,1404,1413,226000,320214600
2015-03-06,1440,1445,1423,1432,129700,185742500
2015-03-05,1425,1440,1420,1432,151900,217298700
2015-03-04,1439,1439,1416,1426,140500,200385600
2015-03-03,1435,1436,1422,1436,184200,263672400
2015-03-02,1419,1435,1406,1427,201700,287625600
2015-02-27,1410,1421,1402,1419,248800,351971500
2015-02-26,1389,1413,1387,1410,271500,381083700
2015-02-25,1389,1400,1371,1391,181600,252171800
2015-02-24,1371,1400,1369,1385,324000,448636500
2015-02-23,1400,1401,1361,1375,162000,222790500
2015-02-20,1400,1411,1387,1397,231800,323718600
2015-02-19,1390,1407,1376,1404,224200,313019400
2015-02-18,1359,1387,1349,1383,251000,345582700
2015-02-17,1352,1354,1332,1347,197100,265030000
2015-02-16,1344,1360,1332,1350,343300,462752700
2015-02-13,1345,1354,1319,1329,451600,602746800
2015-02-12,1309,1342,1297,1321,364500,483063700
2015-02-10,1250,1304,1244,1302,634000,811783200
2015-02-09,1266,1271,1235,1246,425600,530322800
2015-02-06,1301,1318,1243,1255,667400,844776700
2015-02-05,1346,1357,1330,1342,347600,467415200
2015-02-04,1325,1344,1316,1338,290900,388338600
2015-02-03,1325,1328,1301,1309,267700,350841200
2015-02-02,1328,1354,1316,1321,217200,287384500
2015-01-30,1348,1366,1346,1353,277800,376411000
2015-01-29,1341,1361,1336,1339,162500,218702300
2015-01-28,1329,1367,1321,1358,240400,324562300
2015-01-27,1337,1344,1325,1342,162400,217059400
2015-01-26,1317,1327,1305,1323,138600,182477700
2015-01-23,1337,1342,1321,1338,162000,215997700
