9404-T,東証1部,日テレHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1960,1973,1923,1941,764600,1481160400
2015-10-01,1953,2026,1945,1992,675900,1342196200
2015-09-30,1960,1963,1914,1926,989700,1914077400
2015-09-29,2031,2031,1920,1938,1137300,2231650300
2015-09-28,2088,2100,2047,2090,674900,1404376600
2015-09-25,1992,2123,1992,2081,2085700,4323403300
2015-09-24,1957,2034,1957,1999,1007900,2024078200
2015-09-18,1985,2003,1958,1992,574100,1142055400
2015-09-17,2010,2020,1985,2005,603000,1207279000
2015-09-16,1948,2007,1948,1997,756800,1506132300
2015-09-15,1970,1990,1935,1943,928200,1819114600
2015-09-14,2000,2011,1956,1968,502800,992347300
2015-09-11,1968,2020,1968,1985,1058800,2105717700
2015-09-10,1991,2009,1968,1976,917400,1820384900
2015-09-09,2016,2041,2002,2041,509100,1031768400
2015-09-08,1946,1989,1945,1950,636000,1246017000
2015-09-07,1930,1968,1908,1946,594300,1152290700
2015-09-04,2010,2010,1925,1944,730200,1426114200
2015-09-03,1980,2024,1956,1985,808200,1612391100
2015-09-02,1952,2007,1943,1962,864100,1708406500
2015-09-01,2084,2096,1978,1978,654600,1318990900
2015-08-31,2092,2109,2068,2103,387900,812373400
2015-08-28,2130,2147,2078,2093,625100,1308782200
2015-08-27,2066,2110,2061,2080,528400,1101639400
2015-08-26,1983,2044,1963,2032,953200,1918428200
2015-08-25,2020,2106,1993,2024,846100,1732676600
2015-08-24,2168,2208,2118,2120,733700,1584716200
2015-08-21,2249,2267,2223,2228,703900,1573239300
2015-08-20,2339,2369,2297,2299,666200,1541907200
2015-08-19,2295,2375,2290,2365,675700,1589548900
2015-08-18,2369,2369,2320,2323,363300,846314400
2015-08-17,2340,2371,2335,2369,539500,1271767000
2015-08-14,2340,2374,2335,2335,738300,1731926800
2015-08-13,2389,2389,2335,2347,1732500,4076692400
2015-08-12,2432,2480,2355,2399,2001100,4817345500
2015-08-11,2482,2490,2404,2445,891500,2172170300
2015-08-10,2417,2492,2417,2488,674700,1668720600
2015-08-07,2406,2425,2380,2411,567500,1365705100
2015-08-06,2469,2499,2409,2418,805000,1958948800
2015-08-05,2391,2460,2384,2431,709700,1723893400
2015-08-04,2395,2416,2365,2391,674900,1610953600
2015-08-03,2351,2398,2351,2394,479100,1139779800
2015-07-31,2300,2370,2296,2337,930700,2177076100
2015-07-30,2273,2289,2250,2260,657400,1492333700
2015-07-29,2253,2278,2240,2275,326000,736729800
2015-07-28,2250,2275,2231,2254,653300,1473113600
2015-07-27,2250,2294,2232,2280,1219800,2767676700
2015-07-24,2206,2291,2206,2284,1396100,3152137200
2015-07-23,2139,2200,2139,2190,960900,2093326000
2015-07-22,2120,2150,2102,2118,734200,1556641000
2015-07-21,2159,2165,2134,2138,829800,1779681300
2015-07-17,2177,2177,2137,2143,777800,1670178300
2015-07-16,2225,2225,2169,2178,833300,1818444400
2015-07-15,2211,2213,2174,2194,932800,2043150400
2015-07-14,2224,2232,2209,2214,483300,1073322800
2015-07-13,2178,2210,2154,2201,549200,1203258600
2015-07-10,2167,2191,2149,2165,1147500,2492018900
2015-07-09,2131,2166,2085,2154,765800,1630169500
