9409-T,東証1部,テレ朝HD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1846,1889,1800,1846,272400,507298900
2015-10-01,1829,1865,1812,1847,240600,443651000
2015-09-30,1792,1854,1792,1824,274300,502479200
2015-09-29,1788,1824,1751,1757,405200,722374200
2015-09-28,1779,1822,1755,1812,164200,295391000
2015-09-25,1787,1807,1765,1790,210200,374531200
2015-09-24,1769,1796,1755,1762,152800,270290800
2015-09-18,1798,1803,1765,1797,142600,255630600
2015-09-17,1814,1844,1793,1815,192700,349778600
2015-09-16,1821,1827,1802,1815,138400,251284800
2015-09-15,1787,1834,1776,1798,160900,291323300
2015-09-14,1800,1802,1761,1771,88500,157278700
2015-09-11,1794,1821,1780,1790,224600,403592200
2015-09-10,1782,1821,1776,1794,144100,258611500
2015-09-09,1796,1829,1793,1829,177800,322826200
2015-09-08,1746,1787,1745,1748,267200,470529900
2015-09-07,1716,1763,1706,1744,176300,306939500
2015-09-04,1790,1790,1715,1736,162700,283957300
2015-09-03,1731,1789,1731,1773,137100,242554700
2015-09-02,1687,1756,1687,1717,138500,238987600
2015-09-01,1802,1819,1727,1727,265000,469133200
2015-08-31,1795,1819,1781,1808,121100,218053800
2015-08-28,1797,1818,1779,1789,155700,279340900
2015-08-27,1769,1783,1743,1758,168700,297734400
2015-08-26,1709,1730,1665,1720,316600,537467600
2015-08-25,1770,1790,1715,1715,272100,476806200
2015-08-24,1830,1850,1796,1802,343500,623176800
2015-08-21,1898,1898,1848,1862,358800,669331000
2015-08-20,1993,1994,1919,1921,468400,913694600
2015-08-19,1992,2010,1979,2008,307200,613541400
2015-08-18,2026,2040,2018,2025,210500,426864600
2015-08-17,2037,2057,2012,2030,136200,275396000
2015-08-14,2057,2057,2012,2049,261600,531995000
2015-08-13,2025,2073,2005,2068,209700,428184200
2015-08-12,2045,2067,2029,2038,208300,425715600
2015-08-11,2090,2090,2037,2061,234400,482347800
2015-08-10,2054,2090,2025,2084,126900,262983300
2015-08-07,2051,2081,2044,2054,123400,253879100
2015-08-06,2062,2083,2046,2057,155700,322101400
2015-08-05,2014,2059,2002,2052,190100,388457500
2015-08-04,2000,2028,1981,2022,257800,518715800
2015-08-03,2008,2012,1972,2007,580100,1160639200
2015-07-31,1930,1957,1915,1944,420700,811434100
2015-07-30,1917,1927,1901,1916,204000,390588900
2015-07-29,1919,1934,1905,1925,111900,215115200
2015-07-28,1925,1942,1903,1920,265600,511127100
2015-07-27,1930,1955,1923,1946,236700,459690500
2015-07-24,1959,1963,1923,1951,159100,310123500
2015-07-23,1939,1957,1931,1951,139100,271029100
2015-07-22,1946,1969,1922,1925,185700,359598200
2015-07-21,1950,1965,1940,1965,139900,273690800
2015-07-17,1955,1970,1936,1944,143600,279475800
2015-07-16,1969,1971,1949,1958,109500,214444600
2015-07-15,1975,1988,1958,1969,157000,309541100
2015-07-14,1970,1997,1952,1962,181900,358172300
2015-07-13,1904,1945,1899,1930,170900,329249500
2015-07-10,1870,1920,1863,1893,191600,362999900
2015-07-09,1874,1885,1824,1875,237800,440539700
2015-07-08,1980,1982,1920,1923,262200,507767900
2015-07-07,1991,2017,1975,1977,193600,384858400
2015-07-06,2020,2043,1986,1990,192500,386014800
2015-07-03,2055,2072,2049,2057,156000,321404500
2015-07-02,2027,2074,2012,2063,230000,472110100
2015-07-01,2055,2059,1988,1994,397200,796123100
2015-06-30,2036,2069,2036,2056,191000,392682200
2015-06-29,2009,2070,2009,2060,345900,708646300
2015-06-26,2063,2087,2061,2070,230600,478156700
2015-06-25,2059,2075,2042,2063,196100,404395800
2015-06-24,2035,2071,2035,2060,245400,505181900
2015-06-23,2021,2034,2004,2020,182100,367502100
2015-06-22,1960,1997,1957,1991,163800,324285700
2015-06-19,1969,1999,1960,1964,190400,375992800
2015-06-18,1968,1996,1957,1958,225300,445569700
2015-06-17,1958,1976,1953,1969,156400,307299400
2015-06-16,1961,1982,1946,1950,439800,862773500
2015-06-15,2000,2022,1999,2007,212100,425833400
2015-06-12,2021,2030,2015,2022,418100,845725000
2015-06-11,2025,2032,2003,2029,236100,477944800
2015-06-10,2042,2051,1999,2005,588300,1182883100
2015-06-09,2039,2086,2033,2044,707500,1453095200
2015-06-08,2147,2150,2130,2139,295300,631942800
2015-06-05,2179,2204,2143,2160,268500,581741700
2015-06-04,2140,2197,2125,2179,395800,859266200
2015-06-03,2106,2134,2104,2126,301600,640794400
2015-06-02,2115,2127,2097,2107,450500,949699000
2015-06-01,2090,2125,2087,2115,526400,1108766200
2015-05-29,2132,2148,2107,2120,844400,1793232600
2015-05-28,2245,2247,2221,2224,103300,230644600
2015-05-27,2264,2265,2231,2237,97600,218814900
2015-05-26,2275,2281,2243,2263,156200,353103500
2015-05-25,2313,2317,2288,2298,245200,563716300
2015-05-22,2282,2318,2280,2305,163800,377323300
2015-05-21,2230,2294,2217,2284,246500,559956000
2015-05-20,2220,2224,2198,2223,132600,293756700
2015-05-19,2144,2218,2144,2208,290200,637309500
2015-05-18,2100,2138,2096,2129,195600,415410900
2015-05-15,2095,2128,2090,2096,243300,511199300
2015-05-14,2100,2130,2081,2104,333300,700587200
2015-05-13,2098,2107,2081,2098,285700,598611000
2015-05-12,2129,2132,2105,2121,487300,1030979200
2015-05-11,2200,2206,2087,2124,662300,1414353800
2015-05-08,2203,2249,2200,2242,196500,438281800
2015-05-07,2221,2241,2186,2203,341100,751184700
2015-05-01,2200,2230,2191,2207,232900,513810400
2015-04-30,2217,2244,2204,2216,327900,727175400
2015-04-28,2215,2245,2215,2231,170200,379925300
2015-04-27,2222,2248,2206,2211,150700,334937200
2015-04-24,2228,2240,2215,2222,257500,572448000
2015-04-23,2261,2272,2227,2240,148300,332245400
2015-04-22,2217,2267,2207,2261,228200,512720700
