9412-T,東証1部,スカパーJ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,573,577,560,571,779400,441912800
2015-10-01,564,579,562,572,864700,494737400
2015-09-30,558,562,553,561,833100,466141100
2015-09-29,552,553,540,548,1289400,707475900
2015-09-28,555,574,546,561,1394000,774741400
2015-09-25,541,560,539,554,2786500,1533705500
2015-09-24,549,559,527,532,1988700,1066317300
2015-09-18,562,567,557,559,1402100,787605000
2015-09-17,560,569,559,566,855800,484521800
2015-09-16,551,556,548,556,1236800,684536300
2015-09-15,539,550,539,543,795100,433255000
2015-09-14,546,557,541,541,680200,372065900
2015-09-11,542,551,540,541,929600,505567000
2015-09-10,540,549,533,545,795500,432069600
2015-09-09,542,556,538,555,1332700,732760100
2015-09-08,526,536,522,524,908100,479458400
2015-09-07,516,525,509,520,960200,498597800
2015-09-04,523,527,510,518,1061700,550348600
2015-09-03,515,533,513,518,1392800,726917900
2015-09-02,520,525,506,508,1446900,745456200
2015-09-01,544,549,530,530,712000,384073100
2015-08-31,553,556,541,551,737300,405299200
2015-08-28,557,559,548,554,822100,456032400
2015-08-27,534,563,534,539,1547000,848260200
2015-08-26,513,531,510,527,1352700,708982400
2015-08-25,521,537,513,514,1005000,527703500
2015-08-24,562,567,544,544,914400,507765100
2015-08-21,583,587,574,575,686300,397769300
2015-08-20,599,601,593,593,632100,377218400
2015-08-19,609,612,601,601,591400,357621400
2015-08-18,613,621,609,610,508500,311380600
2015-08-17,607,614,605,610,791300,482439600
2015-08-14,611,614,606,608,663100,404064600
2015-08-13,615,620,611,616,623100,383954700
2015-08-12,622,626,611,615,672000,414744800
2015-08-11,627,630,620,625,549500,343758300
2015-08-10,624,628,620,627,523800,327277600
2015-08-07,625,631,622,627,548700,343813500
2015-08-06,632,639,628,630,494900,312548400
2015-08-05,621,649,620,632,864600,549388300
2015-08-04,635,636,617,623,643200,401098100
2015-08-03,626,639,624,638,912400,578150400
2015-07-31,628,632,621,623,648500,405833100
2015-07-30,606,634,599,623,1071900,666095100
2015-07-29,624,638,617,636,470200,295253500
2015-07-28,617,630,613,628,726900,452375600
2015-07-27,630,630,613,621,1097700,680957200
2015-07-24,644,645,632,634,474800,302238900
2015-07-23,643,644,637,640,351000,224558300
2015-07-22,641,641,637,638,368300,235449500
2015-07-21,654,656,643,645,421600,272003700
2015-07-17,658,660,647,651,309600,201619900
2015-07-16,668,668,654,658,588300,386815000
2015-07-15,645,663,643,661,1054000,689213300
2015-07-14,647,648,637,641,680400,436899100
2015-07-13,637,644,631,637,396200,253251500
2015-07-10,631,641,627,633,876400,555456400
2015-07-09,617,626,605,625,768500,474708200
2015-07-08,646,649,633,636,836500,536051400
2015-07-07,655,658,647,649,435400,283846700
2015-07-06,653,656,645,646,693400,449581000
2015-07-03,674,674,662,666,709800,473905300
2015-07-02,658,674,658,666,725700,484752600
2015-07-01,662,664,649,652,897000,586917700
2015-06-30,655,664,653,657,870100,573109900
2015-06-29,653,666,652,659,610900,402831400
2015-06-26,675,688,671,673,683900,462208900
2015-06-25,677,678,666,673,832700,560451200
2015-06-24,668,679,665,674,888200,598377100
2015-06-23,660,670,658,660,756200,500039700
2015-06-22,654,663,654,658,558600,367154900
2015-06-19,660,663,655,656,1190100,783189300
2015-06-18,665,667,654,656,708700,466591300
2015-06-17,667,670,660,664,843600,560073600
2015-06-16,674,676,663,664,818200,545659800
2015-06-15,674,684,674,680,982800,667626300
2015-06-12,676,681,671,681,1390700,938998400
2015-06-11,680,682,673,680,807500,548828700
2015-06-10,675,679,666,677,1360800,918582500
2015-06-09,680,680,667,668,805900,542869200
2015-06-08,688,692,680,683,836400,573921800
2015-06-05,681,691,676,687,1420500,972111300
2015-06-04,689,696,686,694,797200,550349400
2015-06-03,683,694,683,691,699500,482396800
2015-06-02,697,698,687,691,587500,406609100
2015-06-01,686,693,682,692,787000,541666800
2015-05-29,694,698,688,688,583300,403313700
2015-05-28,695,698,691,693,783200,543666900
2015-05-27,702,703,688,699,982200,683765300
2015-05-26,692,697,691,694,477200,331420600
2015-05-25,693,697,690,694,476500,330386500
2015-05-22,692,697,690,695,623000,432532000
2015-05-21,691,697,688,693,685400,474575600
2015-05-20,688,689,682,687,1103300,757052300
2015-05-19,689,689,678,684,1108500,756536500
2015-05-18,698,698,683,694,844300,583407300
2015-05-15,699,702,685,691,1345800,928581800
2015-05-14,688,713,684,699,2148000,1495399400
2015-05-13,751,759,747,758,377000,284019600
2015-05-12,762,765,754,762,474200,360065100
2015-05-11,774,780,766,769,648800,500258600
2015-05-08,751,758,751,756,457600,345454300
2015-05-07,745,759,744,751,523400,392487000
2015-05-01,748,752,738,750,550900,409926100
2015-04-30,771,771,750,750,891700,673235200
2015-04-28,777,779,769,772,475000,367798500
2015-04-27,779,784,774,776,295100,229436400
2015-04-24,781,781,772,780,632400,491958700
2015-04-23,778,782,769,773,837000,648555000
2015-04-22,781,782,773,781,404000,314534200
2015-04-21,766,781,763,779,588100,456165800
2015-04-20,765,774,762,768,443700,341176600
2015-04-17,782,789,776,776,458900,358334100
2015-04-16,788,794,777,787,511300,401220400
2015-04-15,798,806,794,796,678400,542373100
2015-04-14,797,805,795,798,288400,230270500
2015-04-13,801,806,798,804,526400,421852900
2015-04-10,804,805,798,802,561700,450654100
2015-04-09,801,804,795,801,867500,693972700
2015-04-08,787,805,779,801,1148300,918144800
2015-04-07,782,788,771,778,591600,459902600
2015-04-06,771,779,767,775,392200,303729400
2015-04-03,767,783,767,776,1061800,823913500
2015-04-02,746,759,741,756,643900,484659600
2015-04-01,745,747,731,736,1074100,792209500
2015-03-31,766,766,746,746,747100,563469600
2015-03-30,756,758,746,751,546300,410453300
2015-03-27,746,769,745,753,1205900,911281300
2015-03-26,753,761,745,753,807100,607155000
2015-03-25,777,783,762,765,727500,558276900
2015-03-24,775,778,769,771,475800,367668100
2015-03-23,786,793,775,781,672200,526501900
2015-03-20,779,787,768,787,1769100,1382085300
2015-03-19,773,780,763,778,707000,548307100
2015-03-18,757,777,755,775,939400,722712000
2015-03-17,757,760,744,757,566100,426847500
2015-03-16,736,755,734,755,830400,623705300
2015-03-13,729,741,715,737,1078500,790436200
2015-03-12,737,738,721,726,1011600,736968300
2015-03-11,732,746,730,742,484500,358910300
2015-03-10,740,746,730,732,876000,643797800
2015-03-09,728,739,725,737,514000,377911000
2015-03-06,722,734,716,732,730900,532715800
2015-03-05,734,747,722,724,852400,623638700
2015-03-04,728,732,718,726,1015700,736225100
2015-03-03,732,736,721,724,494900,359700500
2015-03-02,732,739,725,732,586800,429005800
2015-02-27,738,738,723,724,768800,559196800
2015-02-26,746,749,735,739,639000,473021400
2015-02-25,744,752,737,746,787700,587237900
2015-02-24,729,742,723,739,755700,555591100
2015-02-23,733,738,725,735,784500,574900700
2015-02-20,730,738,728,737,582800,428105100
2015-02-19,717,730,714,726,538000,389826000
2015-02-18,704,711,701,708,1090500,771083900
2015-02-17,693,706,693,703,704400,493242000
2015-02-16,703,710,696,703,704700,495985700
2015-02-13,713,713,697,704,740300,522088900
2015-02-12,711,720,703,717,802000,573397400
2015-02-10,711,715,702,706,576500,407238400
2015-02-09,728,729,706,711,653000,465798700
2015-02-06,734,736,718,719,651200,471467200
2015-02-05,729,739,714,725,850400,618631200
2015-02-04,730,737,730,734,547000,401155200
2015-02-03,729,729,715,720,680500,491028000
2015-02-02,716,727,712,725,469300,338785800
2015-01-30,719,730,715,717,614600,443127400
2015-01-29,722,729,714,718,390300,281803000
2015-01-28,712,723,709,722,253800,182159000
2015-01-27,702,720,700,717,506400,359538000
2015-01-26,704,705,699,702,385400,270307700
2015-01-23,717,718,708,717,269000,192009900
2015-01-22,712,714,698,707,298000,209992900
2015-01-21,706,719,701,713,640500,456340800
2015-01-20,694,706,682,706,270600,189867400
2015-01-19,691,694,681,690,299700,206137400
2015-01-16,681,685,668,684,638000,432098400
2015-01-15,696,707,690,699,674100,469297200
2015-01-14,694,701,692,697,428900,298725500
2015-01-13,683,698,672,697,452300,313316200
2015-01-09,695,697,688,693,573200,397332500
2015-01-08,691,697,684,693,466700,322905600
2015-01-07,686,697,681,691,384400,265662200
2015-01-06,709,719,695,696,602900,424124600
2015-01-05,718,728,714,717,476000,342134800
2014-12-30,724,724,715,715,269100,193539900
2014-12-29,727,727,710,719,306500,220223800
2014-12-26,729,740,726,727,377400,275894900
2014-12-25,714,725,712,722,376000,270567900
2014-12-24,713,718,708,713,567100,404854700
2014-12-22,714,714,701,708,428100,303023900
2014-12-19,717,719,706,714,618000,440981100
2014-12-18,690,711,690,709,728400,511021600
2014-12-17,666,678,664,672,787300,529828800
2014-12-16,685,688,673,675,590100,400604000
2014-12-15,690,695,680,685,439400,301435600
2014-12-12,674,696,674,690,726000,496128900
2014-12-11,675,681,666,679,483000,325942900
2014-12-10,698,701,682,685,536000,368901800
2014-12-09,706,714,698,706,327300,230936000
2014-12-08,716,720,711,716,269800,193153700
2014-12-05,720,720,710,712,281800,200864800
2014-12-04,722,729,721,723,376200,272230800
2014-12-03,715,719,713,717,382400,273971400
2014-12-02,712,719,711,717,326100,233723800
2014-12-01,718,719,710,714,401500,286695100
2014-11-28,712,717,709,717,243300,173883700
2014-11-27,710,713,703,708,445800,315765100
2014-11-26,700,712,700,709,609000,431988000
2014-11-25,724,727,702,705,744100,527161900
2014-11-21,714,724,709,721,792400,568225900
2014-11-20,700,712,698,710,633700,448448500
2014-11-19,697,698,688,689,387700,268463100
2014-11-18,678,695,678,695,417700,288461000
2014-11-17,691,693,675,677,355500,242158400
2014-11-14,705,705,690,697,611200,426222000
2014-11-13,697,700,692,699,615000,428551000
2014-11-12,687,700,684,694,839000,582242300
2014-11-11,684,688,673,684,611000,416379400
2014-11-10,676,687,673,686,467300,319807500
2014-11-07,685,687,680,683,357300,244315600
2014-11-06,686,688,675,679,680400,463908100
2014-11-05,675,689,666,686,776700,529226400
2014-11-04,697,700,678,679,1349400,925499400
2014-10-31,665,678,654,677,1208700,804645600
2014-10-30,639,673,633,661,1251600,827045000
2014-10-29,628,636,625,632,415300,262325200
2014-10-28,621,629,618,623,403300,251442200
2014-10-27,622,625,615,624,390200,242211000
2014-10-24,614,616,608,614,421100,258063800
2014-10-23,612,612,602,606,402800,244066600
2014-10-22,601,613,600,612,439100,266505600
2014-10-21,602,604,587,591,783900,465144400
2014-10-20,593,605,588,604,557100,333753600
2014-10-17,593,596,573,574,705500,410113300
2014-10-16,598,602,593,595,507800,303240000
2014-10-15,604,613,602,608,549700,333776900
2014-10-14,605,619,604,605,628300,382667000
2014-10-10,626,631,619,622,568200,354577000
2014-10-09,646,651,630,633,760200,483577300
2014-10-08,636,645,627,642,626200,399197600
2014-10-07,648,653,623,643,773700,499449000
2014-10-06,653,658,650,653,602800,394065500
2014-10-03,633,649,630,649,756000,485890300
2014-10-02,648,648,633,634,629200,402066800
2014-10-01,651,663,648,656,729800,479474500
2014-09-30,651,654,640,645,513200,330934200
2014-09-29,650,654,647,653,360400,234891200
2014-09-26,646,664,643,645,330800,214412800
2014-09-25,642,654,640,654,424400,276077300
