9437-T,東証1部,NTTドコモ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2078.0,2101.0,2037.0,2065.0,6957200,14376175800
2015-10-01,2033.0,2080.5,2008.5,2066.0,7955600,16311740700
2015-09-30,1988.0,2009.0,1968.0,1993.0,9215200,18361454000
2015-09-29,2038.5,2066.0,1961.0,1961.0,13797000,27624621250
2015-09-28,2112.0,2134.0,2067.0,2080.0,7819500,16398173900
2015-09-25,2151.0,2183.0,2142.5,2159.5,8220300,17769396850
2015-09-24,2150.5,2197.5,2140.5,2153.5,9105900,19730048000
2015-09-18,2200.0,2253.5,2186.5,2200.0,10825700,23962035900
2015-09-17,2146.5,2230.0,2138.0,2217.0,12111100,26592690000
2015-09-16,2170.0,2190.0,2121.0,2122.5,11188100,23976652850
2015-09-15,2121.0,2204.0,2113.5,2120.5,17785500,38252275400
2015-09-14,2278.0,2293.5,2202.0,2202.5,17993300,40198606400
2015-09-11,2475.0,2478.0,2441.5,2442.5,8126100,20015524800
2015-09-10,2480.0,2497.5,2448.0,2478.0,5794500,14359751950
2015-09-09,2473.0,2549.0,2454.5,2549.0,7211200,18125887650
2015-09-08,2432.0,2484.0,2393.5,2402.5,5863200,14250509600
2015-09-07,2420.0,2464.5,2393.5,2433.0,7379800,17933628800
2015-09-04,2495.0,2512.5,2431.0,2455.5,8302100,20517451350
2015-09-03,2488.0,2598.5,2468.0,2527.5,9151500,23399582750
2015-09-02,2390.0,2495.0,2390.0,2421.5,6507600,15903215800
2015-09-01,2529.0,2564.5,2433.0,2433.0,5951300,14767353600
2015-08-31,2515.5,2560.0,2501.0,2538.5,13639300,34610086900
2015-08-28,2549.0,2557.0,2482.5,2512.5,9475200,23792171350
2015-08-27,2459.5,2574.5,2451.0,2529.0,9116000,23058026450
2015-08-26,2442.5,2471.0,2385.0,2427.5,9775700,23697497050
2015-08-25,2410.0,2538.5,2382.5,2401.0,12137700,29707260450
2015-08-24,2537.0,2599.0,2504.5,2504.5,8383700,21333523800
2015-08-21,2635.0,2676.5,2633.0,2634.5,5549700,14710659650
2015-08-20,2711.0,2746.5,2689.5,2692.5,4703000,12757353050
2015-08-19,2710.5,2748.0,2700.5,2710.5,3800400,10347306500
2015-08-18,2730.0,2744.0,2711.0,2715.0,4046700,11012758850
2015-08-17,2760.0,2770.0,2730.5,2748.0,3778100,10370620600
2015-08-14,2790.5,2796.5,2742.0,2747.5,5890900,16270971000
2015-08-13,2777.0,2798.0,2748.0,2791.5,8696400,24176068350
2015-08-12,2800.0,2830.0,2779.0,2807.5,8488000,23801326550
2015-08-11,2842.0,2873.5,2773.5,2792.5,7678300,21481001000
2015-08-10,2734.0,2800.0,2725.0,2800.0,4568900,12696060150
2015-08-07,2718.0,2734.5,2685.0,2733.5,4543400,12352799000
2015-08-06,2710.0,2768.5,2698.5,2711.5,4977200,13625815500
2015-08-05,2707.0,2727.5,2658.5,2671.0,8043800,21649602650
2015-08-04,2680.0,2689.0,2656.0,2684.5,5214500,13971687900
2015-08-03,2615.0,2677.0,2614.5,2672.5,3867200,10255589150
2015-07-31,2665.5,2670.0,2607.5,2614.5,7508000,19738128350
2015-07-30,2603.5,2682.5,2600.0,2652.5,8859400,23487209850
