9438-T,東証1部,エムティーアイ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,767,810,766,800,258800,205667200
2015-10-01,811,819,769,778,447000,349404300
2015-09-30,762,820,762,819,343800,277249400
2015-09-29,785,785,753,759,201300,154439900
2015-09-28,785,809,777,800,217100,173413500
2015-09-25,771,794,762,780,286400,223488900
2015-09-24,757,779,755,772,262300,202293100
2015-09-18,765,774,747,765,436500,332321900
2015-09-17,759,780,745,780,242600,186132800
2015-09-16,729,757,729,748,221400,164869800
2015-09-15,756,760,715,717,321300,234821600
2015-09-14,760,780,750,760,300000,230566100
2015-09-11,717,754,717,750,412700,303445700
2015-09-10,734,743,724,732,294700,215325500
2015-09-09,752,759,726,759,230800,172840300
2015-09-08,730,739,703,707,141800,101617300
2015-09-07,738,751,719,729,252900,185620800
2015-09-04,755,759,722,739,363200,268847200
2015-09-03,745,757,733,748,241600,180545200
2015-09-02,701,742,700,715,236000,170033400
2015-09-01,778,779,731,731,312500,234186700
2015-08-31,765,780,739,753,295000,223142300
2015-08-28,738,771,734,759,372100,280433800
2015-08-27,734,755,714,719,299300,219096900
2015-08-26,676,736,676,725,440700,310226400
2015-08-25,633,736,633,659,926000,629973700
2015-08-24,779,797,704,708,673300,504466900
2015-08-21,797,820,794,799,275100,221181000
2015-08-20,844,861,823,826,331700,278237500
2015-08-19,879,879,843,848,183000,156175900
2015-08-18,875,897,875,881,284300,251847000
2015-08-17,886,897,870,874,125100,110013500
2015-08-14,853,893,852,887,236400,208547300
2015-08-13,860,869,848,856,158100,135455500
2015-08-12,891,894,852,861,338900,293825900
2015-08-11,908,930,893,906,496500,453027600
2015-08-10,875,903,875,900,487900,434178800
2015-08-07,840,891,840,890,510900,445829500
2015-08-06,846,890,837,876,903900,786977000
2015-08-05,829,858,818,831,553200,463392800
2015-08-04,803,826,795,818,362700,293912300
2015-08-03,895,896,797,804,1121200,921200600
2015-07-31,867,884,848,881,224400,195278100
2015-07-30,863,872,852,860,185100,159104100
2015-07-29,842,872,840,866,204300,175514000
2015-07-28,838,854,830,844,182400,153191700
2015-07-27,885,885,852,856,209800,181300600
2015-07-24,896,896,867,885,272200,240221100
2015-07-23,855,905,855,900,846200,752860900
2015-07-22,853,869,843,854,229000,196516100
2015-07-21,857,872,850,853,312100,268894200
2015-07-17,848,859,845,857,248600,211886200
2015-07-16,852,853,827,850,295100,248878900
2015-07-15,841,853,838,845,301700,255321400
2015-07-14,826,847,813,845,367100,305991800
2015-07-13,780,822,775,819,368300,296231000
2015-07-10,779,789,762,773,194600,150999600
2015-07-09,750,775,705,774,406100,302899000
2015-07-08,810,814,775,779,522600,412884100
2015-07-07,811,822,808,813,168400,137256800
2015-07-06,810,825,795,798,362300,291802000
2015-07-03,846,846,817,819,310100,256905700
2015-07-02,829,846,818,843,311000,260034800
2015-07-01,804,818,796,817,215600,174828900
2015-06-30,797,811,783,804,414100,332542300
2015-06-29,800,819,796,797,446300,359903700
2015-06-26,843,848,835,843,172000,145002300
2015-06-25,861,863,835,836,215400,182822800
2015-06-24,859,869,850,864,211000,181717400
2015-06-23,860,871,840,853,241600,207111300
2015-06-22,823,854,815,851,392500,329088200
2015-06-19,823,831,811,820,300900,246612500
2015-06-18,838,844,807,816,386300,317730500
2015-06-17,863,868,849,853,184200,157781300
2015-06-16,884,884,856,856,215500,186965800
2015-06-15,885,895,875,885,330400,292459300
2015-06-12,856,875,855,873,423600,366939400
2015-06-11,848,871,845,855,367300,315245200
2015-06-10,827,845,813,839,380000,315834100
2015-06-09,854,859,834,836,524700,445441300
2015-06-08,835,855,830,853,542200,457627200
2015-06-05,835,835,817,826,295200,243770500
2015-06-04,818,835,812,835,449200,371201600
2015-06-03,811,816,804,805,211100,170877200
2015-06-02,815,819,811,816,279600,227771000
2015-06-01,803,818,799,813,328000,265846700
2015-05-29,807,807,795,796,188700,150695200
2015-05-28,800,810,797,808,228200,183771200
2015-05-27,786,800,786,798,176700,140487600
2015-05-26,812,815,790,795,281200,224744100
2015-05-25,791,811,791,804,241400,193601700
2015-05-22,800,803,782,787,344400,271511400
2015-05-21,820,825,798,802,279300,225367100
2015-05-20,811,832,811,820,244400,201114400
2015-05-19,819,825,803,816,322900,263115700
2015-05-18,850,866,811,820,422900,355459000
2015-05-15,829,839,819,838,251000,208329400
2015-05-14,815,830,809,822,225600,184529900
2015-05-13,826,836,813,823,435700,358416800
2015-05-12,803,845,798,844,701700,582254100
2015-05-11,787,802,772,798,701100,553317400
2015-05-08,785,791,765,772,774600,601120900
2015-05-07,791,799,762,791,799600,630495300
2015-05-01,865,877,825,839,771900,653494200
2015-04-30,886,886,853,861,573100,498405700
2015-04-28,910,910,864,871,1797700,1573978200
2015-04-27,895,919,875,899,911700,819687300
2015-04-24,876,902,874,880,782400,693136600
2015-04-23,847,906,842,891,1320200,1160646900
2015-04-22,836,848,836,841,446200,375367000
2015-04-21,807,839,806,835,363700,301396100
2015-04-20,839,848,803,803,776300,637872100
2015-04-17,816,858,812,837,1065100,890728500
2015-04-16,806,820,805,812,480000,390263800
2015-04-15,807,813,801,805,419300,337655200
2015-04-14,792,819,792,807,607600,486934700
2015-04-13,795,814,790,792,758500,608897500
2015-04-10,786,793,773,786,348100,272576900
2015-04-09,781,785,766,781,479100,372086800
2015-04-08,760,796,753,771,848000,658331700
2015-04-07,756,757,742,750,479100,358488000
2015-04-06,769,769,750,763,373100,282693900
2015-04-03,800,805,766,777,365000,284183400
2015-04-02,803,805,768,794,807300,634268700
2015-04-01,820,830,792,822,487400,395008200
2015-03-31,810,835,804,831,501700,413684900
2015-03-30,816,835,798,806,298200,240928600
2015-03-27,790,819,779,816,482300,384611300
2015-03-26,1680,1682,1618,1640,232300,383025800
2015-03-25,1638,1689,1614,1689,416000,686011000
2015-03-24,1612,1646,1594,1640,1083100,1747968000
2015-03-23,1580,1609,1577,1595,307800,491110100
2015-03-20,1492,1578,1491,1562,334800,520823200
2015-03-19,1531,1562,1496,1502,239500,362081800
2015-03-18,1586,1589,1543,1543,236300,368323200
2015-03-17,1560,1590,1553,1586,219600,344451700
2015-03-16,1590,1604,1564,1568,273600,433506000
2015-03-13,1600,1612,1586,1589,392100,626298900
2015-03-12,1617,1639,1589,1589,958700,1542778600
2015-03-11,1670,1688,1628,1640,516500,852451900
2015-03-10,1730,1757,1680,1686,333700,570084200
2015-03-09,1792,1826,1730,1762,189300,337121000
2015-03-06,1817,1848,1786,1832,222100,403808300
2015-03-05,1794,1938,1776,1857,307000,573713700
2015-03-04,1720,1850,1712,1816,534700,943846300
2015-03-03,1850,1876,1800,1810,151800,278217400
2015-03-02,1898,1960,1850,1850,258600,490627400
2015-02-27,1844,1973,1836,1929,467100,894803400
2015-02-26,1772,1844,1771,1838,306400,556152800
2015-02-25,1638,1804,1621,1771,388300,674305400
2015-02-24,1635,1668,1620,1638,104200,170952000
2015-02-23,1609,1630,1592,1618,87300,141018700
2015-02-20,1625,1643,1607,1610,121400,196399700
2015-02-19,1635,1654,1603,1626,122200,199236300
2015-02-18,1681,1715,1626,1638,165400,274452700
2015-02-17,1660,1735,1660,1681,179200,305660400
2015-02-16,1703,1707,1651,1656,213300,357605500
2015-02-13,1766,1787,1695,1705,395800,685314200
2015-02-12,1660,1790,1658,1788,613300,1062573800
2015-02-10,1546,1666,1534,1650,389300,633340100
2015-02-09,1594,1629,1546,1561,464000,736732500
2015-02-06,1431,1659,1413,1634,951600,1487313400
2015-02-05,1620,1635,1443,1445,1287700,1989669200
2015-02-04,1423,1478,1404,1438,144500,207519700
2015-02-03,1490,1513,1438,1445,204700,300594100
2015-02-02,1481,1540,1471,1509,143900,216015000
2015-01-30,1490,1519,1484,1490,82300,122976200
2015-01-29,1502,1556,1491,1495,178600,270780700
2015-01-28,1535,1535,1495,1510,122400,185041600
2015-01-27,1560,1560,1521,1528,120900,185614100
2015-01-26,1512,1559,1512,1558,142300,219405100
2015-01-23,1531,1576,1480,1540,323300,494657100
2015-01-22,1549,1599,1511,1531,216100,334172900
2015-01-21,1594,1655,1500,1549,289100,456272200
2015-01-20,1504,1601,1502,1595,255400,400384400
2015-01-19,1531,1599,1480,1536,243800,371734700
2015-01-16,1530,1566,1496,1543,292200,447777200
2015-01-15,1660,1670,1458,1533,713300,1109635800
2015-01-14,1620,1694,1600,1680,479000,796695000
2015-01-13,1500,1645,1494,1620,709300,1130511000
2015-01-09,1512,1563,1465,1512,440600,669700500
2015-01-08,1454,1525,1392,1518,655100,961504100
2015-01-07,1391,1459,1331,1439,594500,837707900
2015-01-06,1343,1490,1330,1419,1412900,1998435700
2015-01-05,1255,1331,1255,1313,430000,560206900
2014-12-30,1200,1282,1152,1266,252600,312024800
