9470-T,東証1部,学研HD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,239,239,235,238,109000,25872000
2015-10-01,237,238,234,236,213000,50343000
2015-09-30,230,236,229,231,85000,19628000
2015-09-29,234,235,228,230,156000,35962000
2015-09-28,237,237,234,236,220000,51972000
2015-09-25,241,243,239,243,633000,152520000
2015-09-24,240,242,240,240,194000,46601000
2015-09-18,240,243,240,243,114000,27498000
2015-09-17,242,244,242,243,66000,16010000
2015-09-16,244,244,241,241,62000,15026000
2015-09-15,244,244,243,244,45000,10962000
2015-09-14,245,246,243,243,42000,10249000
2015-09-11,240,246,240,245,196000,47374000
2015-09-10,239,241,239,240,26000,6239000
2015-09-09,237,241,236,241,84000,20068000
2015-09-08,236,237,235,235,58000,13688000
2015-09-07,235,239,235,236,50000,11832000
2015-09-04,240,241,236,237,78000,18507000
2015-09-03,238,242,238,240,76000,18187000
2015-09-02,234,239,234,236,95000,22459000
2015-09-01,247,247,237,237,96000,23178000
2015-08-31,239,247,237,247,92000,22278000
2015-08-28,236,238,236,237,61000,14441000
2015-08-27,237,237,234,234,127000,29929000
2015-08-26,226,234,225,231,160000,36466000
2015-08-25,222,236,221,225,198000,44947000
2015-08-24,237,240,232,232,216000,51042000
2015-08-21,247,247,243,243,172000,42205000
2015-08-20,253,253,250,250,61000,15336000
2015-08-19,252,252,251,251,30000,7538000
2015-08-18,251,253,250,252,58000,14578000
2015-08-17,250,251,248,251,89000,22219000
2015-08-14,250,251,248,250,157000,39195000
2015-08-13,252,254,250,252,147000,37052000
2015-08-12,252,253,251,252,71000,17875000
2015-08-11,253,254,250,253,127000,32079000
2015-08-10,253,255,251,255,69000,17494000
2015-08-07,251,254,251,253,68000,17182000
2015-08-06,254,255,253,254,85000,21592000
2015-08-05,252,253,250,253,69000,17368000
2015-08-04,247,253,247,252,138000,34576000
2015-08-03,249,249,245,247,60000,14831000
2015-07-31,246,251,243,246,257000,63623000
2015-07-30,245,247,245,246,81000,19919000
2015-07-29,245,247,245,246,46000,11318000
2015-07-28,245,248,245,245,87000,21421000
2015-07-27,248,248,245,246,75000,18470000
2015-07-24,246,247,245,246,45000,11071000
2015-07-23,248,248,247,248,35000,8674000
2015-07-22,245,247,245,247,58000,14285000
2015-07-21,244,247,243,246,177000,43335000
2015-07-17,247,247,244,246,137000,33641000
2015-07-16,245,246,243,245,155000,37936000
2015-07-15,249,249,238,243,637000,154445000
2015-07-14,250,250,246,249,77000,19086000
2015-07-13,246,249,246,248,39000,9661000
2015-07-10,247,249,245,245,85000,20987000
2015-07-09,245,247,237,245,229000,55526000
2015-07-08,250,252,245,245,239000,59234000
2015-07-07,250,252,250,251,20000,5028000
2015-07-06,251,252,250,250,60000,15038000
2015-07-03,256,256,251,252,115000,29083000
2015-07-02,255,258,254,256,75000,19214000
2015-07-01,252,256,252,252,82000,20789000
2015-06-30,252,252,250,252,89000,22386000
2015-06-29,252,253,250,250,112000,28145000
2015-06-26,253,253,252,252,80000,20204000
2015-06-25,252,254,252,254,54000,13700000
2015-06-24,254,254,252,253,74000,18731000
2015-06-23,254,255,251,253,179000,45381000
2015-06-22,247,251,247,250,87000,21638000
2015-06-19,251,251,247,247,210000,52205000
2015-06-18,251,254,249,249,155000,38957000
2015-06-17,251,252,250,251,61000,15313000
2015-06-16,252,253,251,251,38000,9562000
2015-06-15,252,255,251,253,81000,20486000
2015-06-12,249,252,248,252,227000,56597000
2015-06-11,250,251,248,248,126000,31452000
2015-06-10,252,252,247,248,286000,71283000
2015-06-09,252,254,252,252,60000,15169000
2015-06-08,255,256,252,252,181000,45907000
2015-06-05,256,258,254,254,110000,28148000
2015-06-04,254,257,254,255,180000,45994000
2015-06-03,257,258,256,256,65000,16708000
2015-06-02,261,261,257,257,80000,20711000
2015-06-01,257,261,256,258,147000,37948000
2015-05-29,260,262,253,253,711000,181348000
2015-05-28,264,265,260,262,110000,28849000
2015-05-27,266,266,263,265,71000,18812000
2015-05-26,266,267,264,266,89000,23663000
2015-05-25,262,267,262,266,100000,26480000
2015-05-22,264,266,263,264,71000,18743000
2015-05-21,258,265,258,264,142000,37269000
2015-05-20,263,267,260,261,255000,67168000
2015-05-19,259,261,258,261,120000,31158000
2015-05-18,258,260,256,258,93000,24010000
2015-05-15,259,263,254,258,243000,62489000
2015-05-14,249,251,248,248,105000,26110000
2015-05-13,249,249,248,248,83000,20639000
2015-05-12,250,252,250,250,36000,9028000
2015-05-11,252,253,250,250,48000,12074000
2015-05-08,249,250,248,248,91000,22640000
2015-05-07,254,254,248,248,106000,26563000
2015-05-01,251,252,250,250,53000,13298000
2015-04-30,256,256,252,253,119000,30142000
2015-04-28,257,257,255,256,43000,11000000
2015-04-27,256,257,255,255,35000,8969000
2015-04-24,255,256,254,255,60000,15305000
2015-04-23,255,257,255,256,41000,10498000
2015-04-22,256,256,255,256,92000,23501000
2015-04-21,257,257,255,256,41000,10518000
2015-04-20,257,257,255,255,56000,14363000
2015-04-17,259,265,255,257,230000,59695000
2015-04-16,257,258,255,258,64000,16394000
2015-04-15,259,259,257,258,61000,15736000
2015-04-14,258,258,256,258,64000,16440000
2015-04-13,256,258,256,257,22000,5649000
2015-04-10,256,258,256,256,67000,17205000
2015-04-09,259,259,256,257,54000,13896000
2015-04-08,257,259,257,259,66000,17028000
2015-04-07,256,258,254,255,70000,17890000
2015-04-06,257,257,255,256,19000,4860000
2015-04-03,256,256,255,256,34000,8703000
2015-04-02,254,257,253,257,64000,16403000
2015-04-01,255,256,254,254,83000,21153000
2015-03-31,259,259,256,256,40000,10283000
2015-03-30,258,258,256,258,54000,13904000
2015-03-27,257,259,255,256,160000,41113000
2015-03-26,257,258,256,258,58000,14933000
2015-03-25,257,260,257,257,56000,14431000
2015-03-24,259,260,256,257,101000,26046000
2015-03-23,259,261,258,261,41000,10644000
2015-03-20,264,264,258,258,153000,39814000
2015-03-19,263,264,261,262,46000,12066000
2015-03-18,262,264,261,264,68000,17833000
2015-03-17,263,265,261,261,84000,22069000
2015-03-16,263,264,262,263,27000,7111000
2015-03-13,262,264,261,263,127000,33292000
2015-03-12,261,264,260,264,60000,15737000
2015-03-11,261,263,261,261,32000,8381000
2015-03-10,263,264,262,262,43000,11292000
2015-03-09,262,263,262,263,17000,4464000
2015-03-06,263,264,263,264,8000,2108000
2015-03-05,262,264,262,263,21000,5529000
2015-03-04,262,263,261,262,49000,12840000
2015-03-03,267,267,264,267,32000,8503000
2015-03-02,267,269,265,265,70000,18652000
2015-02-27,266,268,263,265,135000,35808000
2015-02-26,265,266,263,266,104000,27560000
2015-02-25,264,267,260,265,180000,47458000
2015-02-24,260,264,260,264,100000,26271000
2015-02-23,265,265,260,260,58000,15163000
2015-02-20,267,267,263,265,161000,42714000
2015-02-19,259,261,257,261,112000,29096000
2015-02-18,259,260,257,259,101000,26055000
2015-02-17,258,259,256,258,49000,12641000
2015-02-16,255,258,253,258,84000,21500000
2015-02-13,255,255,253,253,58000,14748000
2015-02-12,253,255,251,253,100000,25297000
2015-02-10,253,253,252,253,37000,9352000
2015-02-09,251,252,250,252,38000,9546000
2015-02-06,249,251,249,250,64000,16001000
2015-02-05,250,251,249,251,49000,12263000
2015-02-04,247,250,247,250,64000,15920000
2015-02-03,249,249,246,246,49000,12114000
2015-02-02,247,248,246,248,36000,8910000
2015-01-30,249,250,246,248,56000,13884000
2015-01-29,251,251,249,249,23000,5743000
2015-01-28,249,251,247,251,61000,15214000
2015-01-27,250,250,248,249,41000,10236000
2015-01-26,246,249,246,248,33000,8161000
2015-01-23,246,250,245,250,93000,23053000
2015-01-22,248,249,245,246,115000,28328000
2015-01-21,248,249,247,247,38000,9422000
2015-01-20,250,251,249,249,104000,25988000
2015-01-19,249,251,249,251,60000,15012000
2015-01-16,250,252,249,249,99000,24746000
2015-01-15,251,253,249,252,77000,19337000
2015-01-14,250,253,250,251,46000,11540000
2015-01-13,250,251,249,251,35000,8751000
2015-01-09,252,253,250,252,52000,13093000
2015-01-08,251,255,251,253,45000,11367000
2015-01-07,253,255,252,252,64000,16208000
2015-01-06,258,258,254,254,96000,24617000
2015-01-05,256,260,256,258,64000,16539000
2014-12-30,256,257,255,256,39000,9976000
2014-12-29,257,257,254,256,108000,27611000
2014-12-26,251,254,251,254,56000,14157000
2014-12-25,251,253,249,253,79000,19813000
2014-12-24,250,258,249,253,244000,61802000
2014-12-22,249,249,246,249,84000,20867000
2014-12-19,250,250,247,249,81000,20143000
2014-12-18,250,251,244,244,160000,39686000
2014-12-17,247,256,242,249,362000,91106000
2014-12-16,244,244,241,242,123000,29791000
2014-12-15,246,247,244,244,64000,15708000
2014-12-12,243,246,243,245,154000,37543000
2014-12-11,250,252,246,246,105000,26043000
2014-12-10,251,253,250,251,103000,25853000
2014-12-09,252,255,252,252,70000,17676000
2014-12-08,257,257,253,254,64000,16272000
2014-12-05,256,256,254,255,79000,20153000
2014-12-04,255,257,255,257,75000,19148000
2014-12-03,256,258,256,257,86000,22073000
2014-12-02,256,259,256,259,35000,9017000
2014-12-01,257,259,257,258,49000,12632000
2014-11-28,257,259,256,259,56000,14426000
2014-11-27,260,260,258,258,54000,13983000
2014-11-26,257,261,257,261,58000,15015000
2014-11-25,258,260,258,259,45000,11649000
2014-11-21,258,260,256,256,61000,15742000
2014-11-20,257,260,257,258,50000,12898000
2014-11-19,254,261,254,260,100000,25719000
2014-11-18,261,262,255,255,205000,52946000
2014-11-17,271,271,264,264,71000,18949000
2014-11-14,274,275,271,272,116000,31708000
2014-11-13,275,277,274,277,60000,16542000
2014-11-12,276,278,275,276,82000,22678000
2014-11-11,267,277,267,277,178000,48628000
2014-11-10,260,268,260,267,131000,34465000
2014-11-07,265,265,261,261,50000,13148000
2014-11-06,263,264,262,263,56000,14750000
2014-11-05,256,264,255,263,114000,29708000
2014-11-04,255,256,253,255,97000,24717000
2014-10-31,246,254,245,252,130000,32397000
2014-10-30,247,247,243,243,99000,24212000
2014-10-29,245,247,243,247,37000,9064000
2014-10-28,242,244,240,242,31000,7505000
2014-10-27,244,244,240,242,48000,11631000
2014-10-24,240,241,238,239,67000,16029000
2014-10-23,241,241,240,240,27000,6495000
2014-10-22,240,242,240,242,41000,9892000
2014-10-21,241,241,239,239,33000,7923000
2014-10-20,245,245,240,242,61000,14778000
2014-10-17,241,241,237,238,97000,23127000
2014-10-16,242,245,240,241,86000,20798000
2014-10-15,240,246,240,246,83000,20143000
2014-10-14,241,242,237,239,125000,29939000
2014-10-10,250,253,242,242,156000,38292000
2014-10-09,261,261,251,251,116000,29667000
2014-10-08,264,264,259,259,93000,24251000
2014-10-07,269,269,266,266,65000,17410000
2014-10-06,267,269,266,269,59000,15805000
2014-10-03,263,265,263,264,78000,20567000
2014-10-02,272,272,264,264,128000,34286000
2014-10-01,277,277,272,272,127000,34734000
2014-09-30,280,280,277,277,73000,20344000
2014-09-29,282,282,280,282,63000,17715000
2014-09-26,280,283,280,280,223000,62595000
2014-09-25,285,290,284,290,633000,181084000
