9505-T,東証1部,北陸電,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1626,1651,1617,1643,558700,915413400
2015-10-01,1610,1649,1581,1639,622900,1013103300
2015-09-30,1608,1611,1573,1606,640500,1024216200
2015-09-29,1630,1630,1582,1586,685600,1094934700
2015-09-28,1659,1678,1636,1650,645800,1066835800
2015-09-25,1653,1686,1641,1684,752700,1258269400
2015-09-24,1660,1683,1644,1645,810600,1343917600
2015-09-18,1700,1708,1666,1682,830300,1398381400
2015-09-17,1676,1695,1657,1692,467200,786048400
2015-09-16,1729,1734,1666,1676,615600,1036203400
2015-09-15,1715,1748,1705,1723,578700,997830300
2015-09-14,1682,1745,1682,1711,906200,1557118800
2015-09-11,1635,1668,1635,1657,982200,1618285100
2015-09-10,1665,1698,1654,1665,996900,1664759000
2015-09-09,1672,1705,1654,1704,663800,1116130300
2015-09-08,1664,1668,1625,1632,496200,815820500
2015-09-07,1636,1678,1624,1663,406800,673718800
2015-09-04,1658,1677,1625,1648,569700,941965300
2015-09-03,1666,1705,1641,1641,560600,936422000
2015-09-02,1645,1705,1631,1648,950800,1583173600
2015-09-01,1735,1745,1673,1673,574000,975824900
2015-08-31,1763,1783,1746,1752,612800,1078363000
2015-08-28,1777,1790,1749,1775,834400,1475812500
2015-08-27,1734,1790,1732,1748,781500,1371370300
2015-08-26,1625,1696,1625,1694,992200,1655623300
2015-08-25,1615,1721,1615,1621,1407400,2326376200
2015-08-24,1734,1748,1676,1677,929100,1592240300
2015-08-21,1821,1821,1763,1763,715900,1278836800
2015-08-20,1885,1905,1846,1847,812900,1525473400
2015-08-19,1888,1909,1883,1892,619300,1173224200
2015-08-18,1893,1909,1876,1894,885800,1678669000
2015-08-17,1867,1884,1862,1881,490100,920622900
2015-08-14,1860,1889,1853,1862,864800,1615438400
2015-08-13,1836,1866,1825,1856,632700,1172479000
2015-08-12,1825,1856,1818,1849,628700,1157948300
2015-08-11,1870,1872,1815,1828,869000,1595579300
2015-08-10,1858,1869,1839,1869,543700,1011318800
2015-08-07,1849,1861,1832,1858,654800,1210229600
2015-08-06,1888,1890,1848,1849,845000,1575398800
2015-08-05,1889,1904,1872,1884,764900,1444182800
2015-08-04,1866,1895,1846,1895,881300,1652831700
2015-08-03,1886,1906,1858,1864,1102200,2066426900
2015-07-31,1896,1907,1870,1907,914500,1730020600
2015-07-30,1915,1926,1882,1885,695400,1318494700
2015-07-29,1880,1914,1861,1907,646400,1224060400
2015-07-28,1870,1908,1861,1895,528800,999973400
2015-07-27,1911,1927,1873,1877,493400,932736600
2015-07-24,1934,1945,1918,1930,277200,535169500
2015-07-23,1938,1953,1921,1936,400400,774614500
2015-07-22,1928,1962,1918,1925,709500,1373883700
2015-07-21,1899,1936,1883,1928,704100,1350029700
2015-07-17,1912,1914,1894,1913,454500,866676700
2015-07-16,1885,1912,1880,1912,470300,893175300
2015-07-15,1870,1883,1858,1875,538300,1008269800
2015-07-14,1854,1871,1846,1856,665400,1236405500
2015-07-13,1788,1834,1788,1831,658600,1196845300
2015-07-10,1785,1813,1767,1770,806700,1439489800
2015-07-09,1740,1776,1726,1774,740100,1296152700
2015-07-08,1813,1833,1768,1768,622100,1113510300
2015-07-07,1797,1834,1789,1815,692000,1257675500
2015-07-06,1775,1799,1769,1776,425800,757891600
2015-07-03,1787,1802,1780,1792,473900,850194900
