9507-T,東証1部,四国電,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1964,2024,1952,1973,440200,872126000
2015-10-01,1945,1990,1908,1981,509600,1002347500
2015-09-30,1903,1956,1883,1945,786700,1514736300
2015-09-29,1928,1932,1873,1877,686800,1302038400
2015-09-28,1959,2025,1931,1953,899000,1769779000
2015-09-25,1906,1967,1885,1953,788200,1525558000
2015-09-24,1860,1914,1850,1866,692700,1302425100
2015-09-18,1899,1905,1851,1879,704200,1325510800
2015-09-17,1870,1898,1844,1893,448900,841670300
2015-09-16,1969,1970,1853,1869,541700,1020961900
2015-09-15,1954,1964,1887,1938,663900,1283183700
2015-09-14,1899,1953,1885,1939,799300,1544218200
2015-09-11,1872,1909,1864,1887,668600,1256949400
2015-09-10,1886,1928,1871,1912,533900,1016009100
2015-09-09,1900,1933,1854,1921,1154100,2192465600
2015-09-08,1840,1857,1794,1794,467300,846110200
2015-09-07,1781,1858,1773,1848,886400,1622964300
2015-09-04,1778,1810,1759,1791,853400,1526736900
2015-09-03,1807,1845,1753,1758,694500,1242901500
2015-09-02,1764,1836,1741,1777,665300,1191956800
2015-09-01,1879,1880,1795,1795,499300,914109700
2015-08-31,1918,1945,1897,1897,752800,1437082300
2015-08-28,1974,1974,1913,1936,477900,926297400
2015-08-27,1925,1959,1895,1917,694200,1335884000
2015-08-26,1750,1867,1750,1861,926300,1689358400
2015-08-25,1769,1871,1745,1747,1173600,2107735000
2015-08-24,1890,1917,1824,1825,1173900,2200500300
2015-08-21,1963,1986,1909,1909,931700,1809991600
2015-08-20,2070,2098,2019,2023,729900,1506949300
2015-08-19,2034,2078,2030,2050,504800,1040074100
2015-08-18,2058,2070,2028,2037,476400,973521800
2015-08-17,2033,2062,2033,2051,484500,992881100
2015-08-14,2062,2089,2005,2020,867000,1765011200
2015-08-13,2013,2073,2003,2065,611700,1253171000
2015-08-12,1983,2018,1979,2016,634100,1268194300
2015-08-11,2039,2059,1978,1983,882200,1764357100
2015-08-10,2007,2042,1984,2039,668300,1348060000
2015-08-07,2003,2026,1966,2002,1038500,2067082800
2015-08-06,2118,2118,1996,1996,1327000,2699846700
2015-08-05,2094,2122,2044,2108,1516500,3179783800
2015-08-04,2090,2144,2061,2144,1018300,2158070400
2015-08-03,2098,2131,2072,2080,917100,1920985100
2015-07-31,2001,2094,2001,2087,1008800,2079974800
2015-07-30,2056,2058,1996,2000,639500,1295405100
2015-07-29,2009,2031,1987,2023,408800,823696200
2015-07-28,1951,2014,1948,2007,563300,1123409900
2015-07-27,2024,2024,1962,1966,490300,972213600
2015-07-24,2015,2034,2004,2024,304300,614589100
2015-07-23,2044,2073,2014,2021,453700,922249200
2015-07-22,2028,2037,2017,2030,560600,1137343300
2015-07-21,2021,2066,2019,2047,990100,2027795100
2015-07-17,2003,2017,1973,2009,725800,1452304700
2015-07-16,1945,2006,1926,2004,1135300,2235858500
2015-07-15,1941,1964,1913,1929,863600,1677467300
2015-07-14,1914,1935,1900,1919,674600,1292373200
2015-07-13,1819,1885,1813,1880,902800,1682262500
2015-07-10,1804,1823,1784,1792,555400,1001385900
2015-07-09,1750,1799,1749,1797,921300,1638980100
2015-07-08,1825,1838,1788,1788,617200,1113072600
2015-07-07,1797,1843,1795,1839,624400,1142341300
2015-07-06,1780,1805,1775,1781,408300,728085000
2015-07-03,1796,1809,1775,1801,531700,954454200
2015-07-02,1840,1840,1801,1806,652300,1181965200
2015-07-01,1838,1842,1807,1827,557300,1016187700
2015-06-30,1811,1850,1809,1833,886900,1627042100
2015-06-29,1790,1832,1783,1811,761100,1378669700
2015-06-26,1842,1849,1806,1825,534700,974342600
2015-06-25,1860,1875,1834,1835,725800,1339303700
2015-06-24,1904,1913,1878,1878,1022800,1932354300
2015-06-23,1879,1901,1865,1901,637500,1202782600
2015-06-22,1839,1860,1830,1859,496700,917899100
2015-06-19,1888,1918,1841,1844,1120400,2101408500
2015-06-18,1813,1873,1813,1858,1010400,1869089000
2015-06-17,1848,1865,1832,1853,1032400,1910204400
2015-06-16,1796,1837,1790,1832,848300,1545835700
2015-06-15,1800,1807,1760,1802,1447800,2582875900
2015-06-12,1883,1886,1806,1818,1370300,2535415200
2015-06-11,1900,1906,1874,1885,711400,1346554400
2015-06-10,1904,1910,1869,1881,545000,1028301400
2015-06-09,1855,1912,1843,1894,1046600,1974152100
2015-06-08,1886,1920,1862,1870,667900,1257966200
2015-06-05,1911,1915,1886,1895,832700,1578728700
2015-06-04,1945,1945,1922,1925,681400,1316329300
2015-06-03,1943,1944,1917,1939,902500,1742573800
2015-06-02,1910,1963,1910,1943,1048300,2034744700
2015-06-01,1828,1899,1819,1894,729400,1365397300
2015-05-29,1850,1870,1828,1841,766700,1413990300
2015-05-28,1860,1891,1829,1837,820300,1523447900
2015-05-27,1850,1855,1832,1849,569700,1049547400
2015-05-26,1870,1890,1859,1860,523900,978842600
2015-05-25,1830,1866,1823,1862,713300,1319886100
2015-05-22,1842,1842,1786,1806,704400,1271376200
2015-05-21,1885,1893,1775,1819,1315400,2411933500
2015-05-20,1816,1867,1804,1857,1445600,2660937000
2015-05-19,1780,1823,1772,1816,1023500,1846761200
2015-05-18,1740,1767,1730,1767,778400,1360666600
2015-05-15,1715,1747,1715,1746,813700,1410255800
2015-05-14,1712,1724,1684,1717,702000,1200210300
2015-05-13,1703,1720,1692,1698,505100,860999000
2015-05-12,1695,1724,1693,1713,752400,1287290100
2015-05-11,1675,1719,1675,1679,784100,1331329200
2015-05-08,1660,1681,1645,1665,810100,1345584900
2015-05-07,1620,1662,1604,1662,854200,1407791600
2015-05-01,1601,1632,1592,1609,787300,1268861900
2015-04-30,1632,1657,1602,1628,1033300,1681899400
2015-04-28,1645,1672,1644,1662,591900,983014100
2015-04-27,1627,1648,1622,1643,421500,690123400
2015-04-24,1584,1625,1584,1620,696300,1119840400
2015-04-23,1620,1629,1581,1592,676000,1086750200
2015-04-22,1596,1632,1581,1620,816500,1314794200
2015-04-21,1537,1597,1527,1596,1100200,1723412400
2015-04-20,1544,1553,1520,1523,734100,1124831000
2015-04-17,1562,1571,1536,1549,820300,1271067200
2015-04-16,1570,1585,1554,1582,427700,673209500
2015-04-15,1531,1577,1531,1570,537700,841183900
2015-04-14,1521,1555,1517,1552,514700,793965800
2015-04-13,1543,1548,1508,1521,460000,701678200
2015-04-10,1540,1550,1522,1543,624900,964107200
2015-04-09,1540,1551,1525,1541,431100,662391100
2015-04-08,1514,1533,1498,1533,812300,1234187600
2015-04-07,1511,1520,1498,1507,768000,1158659600
2015-04-06,1505,1526,1491,1499,282600,424600100
2015-04-03,1505,1508,1492,1505,295700,444252100
